,predicted_cases,actual_cases,error,perc_error
UChicagoCHATTOPADHYAY-UnIT,1351637.4,1332557,19080.4,1.4%
LANL-GrowthRate,1371337.0,1332557,38780.0,2.9%
CU-select,1442809.0,1332557,110252.0,8.3%
UCF-AEM,1470888.0,1332557,138331.0,10.4%
UCLA-SuEIR,1479331.2,1332557,146774.2,11.0%
OneQuietNight-ML,1489210.0,1332557,156653.0,11.8%
IBF-TimeSeries,1491885.0,1332557,159328.0,12.0%
CEID-Walk,1504379.2,1332557,171822.2,12.9%
TTU-squider,1506005.7,1332557,173448.7,13.0%
COVIDhub-baseline,1512372.0,1332557,179815.0,13.5%
LNQ-ens1,1521657.4,1332557,189100.4,14.2%
QJHong-Encounter,1524541.0,1332557,191984.0,14.4%
Covid19Sim-Simulator,1534474.2,1332557,201917.2,15.2%
COVIDhub-ensemble,1536602.0,1332557,204045.0,15.3%
USC-SI_kJalpha,1536602.0,1332557,204045.0,15.3%
JHU_IDD-CovidSP,1106565.0,1332557,-225992.0,-17.0%
IowaStateLW-STEM,1574544.0,1332557,241987.0,18.2%
IEM_MED-CovidProject,1575943.5,1332557,243386.5,18.3%
Geneva-DetGrowth,1580067.1,1332557,247510.1,18.6%
CovidAnalytics-DELPHI,1581346.0,1332557,248789.0,18.7%
Microsoft-DeepSTIA,1582860.5,1332557,250303.5,18.8%
UMich-RidgeTfReg,1596708.7,1332557,264151.7,19.8%
BPagano-RtDriven,1628172.4,1332557,295615.4,22.2%
JHUAPL-Bucky,1637032.6,1332557,304475.6,22.8%
RobertWalraven-ESG,1642069.2,1332557,309512.2,23.2%
DDS-NBDS,1669952.0,1332557,337395.0,25.3%
OliverWyman-Navigator,1686317.0,1332557,353760.0,26.5%
JCB-PRM,1745132.8,1332557,412575.8,31.0%
Karlen-pypm,1752166.9,1332557,419609.9,31.5%
Columbia_UNC-SurvCon,1875594.0,1332557,543037.0,40.8%
UVA-Ensemble,2353034.9,1332557,1020477.9,76.6%
Google_Harvard-CPF,,1332557,,
JHU_CSSE-DECOM,,1332557,,
JHU_UNC_GAS-StatMechPool,,1332557,,
UCSB-ACTS,,1332557,,
Wadhwani_AI-BayesOpt,,1332557,,
