,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,301,440.0,,447.7,,360.0,304.0,,,,,245.5,,348.2,,,298.0,,497.3,192.6,359.0,,451.0,397.4,,464.0,414.0,333.0,,,,,406.7,408.1,,,,472.3,139.0,,146.7,,59.0,3.0,,,,,-55.5,,47.2,,,-3.0,,196.3,-108.4,58.0,,150.0,96.4,,163.0,113.0,32.0,,,,,105.7,107.1,,,,171.3,,False,,True,True,,,,,True,,True,,,True,,False,True,True,,False,True,,False,True,True,,,,,True,True,,,,False
01003,986,1057.0,,1075.6,,1011.0,1011.0,,,,,736.5,,1100.3,,,758.0,,1150.6,587.9,1115.5,,1042.0,986.1,,1341.0,1138.0,1119.1,,,,,983.6,862.0,770.0,,,1021.3,71.0,,89.6,,25.0,25.0,,,,,-249.5,,114.3,,,-228.0,,164.6,-398.1,129.5,,56.0,0.1,,355.0,152.0,133.1,,,,,-2.4,-124.0,-216.0,,,35.3,,False,,True,True,,,,,False,,False,,,False,,False,False,False,,True,True,,False,False,False,,,,,True,False,False,,,True
01005,68,61.0,,60.1,,60.0,45.0,,,,,50.5,,73.6,,,101.0,,51.4,33.9,,,60.0,63.8,,66.0,76.0,62.6,,,,,,71.7,,,,70.8,-7.0,,-7.9,,-8.0,-23.0,,,,,-17.5,,5.6,,,33.0,,-16.6,-34.1,,,-8.0,-4.2,,-2.0,8.0,-5.4,,,,,,3.7,,,,2.8,,False,,False,False,,,,,False,,True,,,False,,False,False,,,False,True,,True,False,True,,,,,,True,,,,True
01007,138,184.0,,176.1,,145.0,94.0,,,,,105.9,,151.2,,,118.0,,315.3,80.6,,,157.0,140.8,,204.0,174.0,148.4,,,,,,167.6,,,,167.1,46.0,,38.1,,7.0,-44.0,,,,,-32.1,,13.2,,,-20.0,,177.3,-57.4,,,19.0,2.8,,66.0,36.0,10.4,,,,,,29.6,,,,29.1,,True,,True,True,,,,,True,,True,,,True,,False,False,,,True,True,,False,True,True,,,,,,True,,,,True
01009,255,447.0,,452.0,,409.0,400.0,,,,,254.5,,454.7,,,376.0,,484.3,233.8,443.0,,481.0,418.2,,556.0,444.0,363.0,,,,,411.0,314.3,,,,406.0,192.0,,197.0,,154.0,145.0,,,,,-0.5,,199.7,,,121.0,,229.3,-21.2,188.0,,226.0,163.2,,301.0,189.0,108.0,,,,,156.0,59.3,,,,151.0,,False,,True,True,,,,,True,,False,,,True,,False,True,True,,False,True,,False,True,True,,,,,True,True,,,,True
01011,73,27.0,,27.0,,23.0,0.0,,,,,26.1,,30.2,,,40.0,,13.8,12.6,,,19.0,23.9,,27.0,35.0,24.7,,,,,,29.7,,,,13.3,-46.0,,-46.0,,-50.0,-73.0,,,,,-46.9,,-42.8,,,-33.0,,-59.2,-60.4,,,-54.0,-49.1,,-46.0,-38.0,-48.3,,,,,,-43.3,,,,-59.7,,True,,False,False,,,,,False,,True,,,True,,False,False,,,False,False,,False,True,False,,,,,,True,,,,False
01013,55,87.0,,90.4,,80.0,10.0,,,,,65.2,,65.3,,,80.0,,89.9,54.4,,,77.0,73.8,,105.0,97.0,82.0,,,,,,82.5,,,,57.7,32.0,,35.4,,25.0,-45.0,,,,,10.2,,10.3,,,25.0,,34.9,-0.6,,,22.0,18.8,,50.0,42.0,27.0,,,,,,27.5,,,,2.7,,False,,True,False,,,,,True,,True,,,True,,False,True,,,True,True,,False,False,True,,,,,,True,,,,True
01015,604,834.0,,843.5,,744.0,728.0,,,,,497.6,,916.5,,,680.0,,495.8,406.7,749.0,,869.0,775.8,,943.0,827.0,724.1,,,,,777.3,709.1,,,,560.3,230.0,,239.5,,140.0,124.0,,,,,-106.4,,312.5,,,76.0,,-108.2,-197.3,145.0,,265.0,171.8,,339.0,223.0,120.1,,,,,173.3,105.1,,,,-43.7,,False,,True,True,,,,,True,,False,,,True,,True,True,True,,False,True,,False,True,True,,,,,True,True,,,,True
01017,87,119.0,,121.4,,119.0,132.0,,,,,89.4,,152.7,,,150.0,,69.4,74.0,114.0,,99.0,110.3,,120.0,132.0,105.8,,,,,,106.4,,,,90.1,32.0,,34.4,,32.0,45.0,,,,,2.4,,65.7,,,63.0,,-17.6,-13.0,27.0,,12.0,23.3,,33.0,45.0,18.8,,,,,,19.4,,,,3.1,,False,,False,False,,,,,True,,False,,,False,,True,True,True,,True,True,,False,False,True,,,,,,True,,,,True
01019,90,91.0,,90.5,,93.0,85.0,,,,,65.7,,88.5,,,150.0,,81.1,52.3,,,95.0,99.0,,112.0,112.0,117.6,,,,,,78.6,,,,63.6,1.0,,0.5,,3.0,-5.0,,,,,-24.3,,-1.5,,,60.0,,-8.9,-37.7,,,5.0,9.0,,22.0,22.0,27.6,,,,,,-11.4,,,,-26.4,,True,,False,False,,,,,False,,False,,,False,,False,False,,,False,False,,False,False,False,,,,,,False,,,,False
