,predicted_cases,actual_cases,error,perc_error
JCB-PRM,8121324.6,8023461,97863.6,1.2%
UCLA-SuEIR,8188829.3,8023461,165368.3,2.1%
BPagano-RtDriven,8710222.4,8023461,686761.4,8.6%
CU-select,7051931.0,8023461,-971530.0,-12.1%
IBF-TimeSeries,6585680.0,8023461,-1437781.0,-17.9%
IowaStateLW-STEM,6144509.0,8023461,-1878952.0,-23.4%
COVIDhub-baseline,6106860.0,8023461,-1916601.0,-23.9%
JHU_IDD-CovidSP,6025961.8,8023461,-1997499.2,-24.9%
LANL-GrowthRate,10069667.5,8023461,2046206.5,25.5%
CovidAnalytics-DELPHI,5737051.0,8023461,-2286410.0,-28.5%
UCF-AEM,5539700.0,8023461,-2483761.0,-31.0%
USACE-ERDC_SEIR,5182731.5,8023461,-2840729.5,-35.4%
USC-SI_kJalpha,3577192.0,8023461,-4446269.0,-55.4%
JHUAPL-Bucky,15064350.8,8023461,7040889.8,87.8%
Columbia_UNC-SurvCon,23652107.0,8023461,15628646.0,194.8%
