,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,139940,71379.0,135718.3,,67100.0,27044.0,,59552.0,63942.3,72717.0,29110.9,50181.0,-68561.0,-4221.7,,-72840.0,-112896.0,,-80388.0,-75997.7,-67223.0,-110829.1,-89759.0,True,,False,False,,False,False,True,False,False
Alaska,26173,20657.0,4333.5,,19792.6,10259.0,,,17113.5,49371.2,17689.5,76.0,-5516.0,-21839.5,,-6380.4,-15914.0,,,-9059.5,23198.2,-8483.5,-26097.0,False,,False,False,,,False,False,False,False
Arizona,235657,80066.0,132535.9,,84267.3,5446.0,,48192.0,62363.7,60876.3,32202.6,90066.0,-155591.0,-103121.1,,-151389.7,-230211.0,,-187465.0,-173293.3,-174780.7,-203454.4,-145591.0,True,,True,False,,False,False,False,False,True
Arkansas,93141,60466.0,58643.3,,56610.7,30330.0,,57955.0,50238.1,65888.5,23116.1,37822.0,-32675.0,-34497.7,,-36530.3,-62811.0,,-35186.0,-42902.9,-27252.5,-70024.9,-55319.0,False,,False,False,,False,False,True,False,False
California,1170261,260533.0,321515.5,,267071.1,36297.0,,162721.0,175196.0,219743.4,129658.4,314476.0,-909728.0,-848745.5,,-903189.9,-1133964.0,,-1007540.0,-995065.0,-950517.6,-1040602.6,-855785.0,True,,True,False,,False,False,False,False,True
Colorado,195652,144319.0,369576.3,,142594.7,892309.0,,110417.0,117752.9,122993.9,120515.7,92074.0,-51333.0,173924.3,,-53057.3,696657.0,,-85235.0,-77899.1,-72658.1,-75136.3,-103578.0,False,,False,False,,False,False,False,False,False
Connecticut,94618,48426.0,58135.7,,59160.9,49461.0,,32918.0,55410.1,35675.5,46492.5,51205.0,-46192.0,-36482.3,,-35457.1,-45157.0,,-61700.0,-39207.9,-58942.5,-48125.5,-43413.0,True,,True,True,,False,True,False,False,True
Delaware,28215,9149.0,3414.6,,11154.9,4689.0,,6915.0,6803.0,7587.8,5486.7,11465.0,-19066.0,-24800.4,,-17060.1,-23526.0,,-21300.0,-21412.0,-20627.2,-22728.3,-16750.0,False,,True,False,,False,False,False,False,True
District of Columbia,9819,4375.0,27579.3,,4576.3,609.0,,2686.0,3436.7,2773.1,3122.0,5957.0,-5444.0,17760.3,,-5242.7,-9210.0,,-7133.0,-6382.3,-7045.9,-6697.0,-3862.0,False,,True,False,,False,False,False,False,True
Florida,427511,241710.0,276220.7,,272079.7,35232.0,,149678.0,211269.2,202070.3,101211.4,148107.0,-185801.0,-151290.3,,-155431.3,-392279.0,,-277833.0,-216241.8,-225440.7,-326299.6,-279404.0,True,,True,False,,False,False,False,False,False
