,mean_rank
LANL-GrowthRate,10.2
MSRA-DeepST,10.3
COVIDhub-ensemble,10.5
LNQ-ens1,11.1
OneQuietNight-ML,11.5
DDS-NBDS,11.8
JHU_CSSE-DECOM,11.8
IowaStateLW-STEM,12.1
CU-select,12.2
JHUAPL-Bucky,12.8
COVIDhub-baseline,12.8
JHU_IDD-CovidSP,12.9
UVA-Ensemble,13.2
Covid19Sim-Simulator,13.2
USC-SI_kJalpha,13.3
CEID-Walk,13.3
UCLA-SuEIR,13.6
RobertWalraven-ESG,13.6
Google_Harvard-CPF,13.9
Karlen-pypm,14.3
BPagano-RtDriven,14.6
JCB-PRM,14.7
CovidAnalytics-DELPHI,16.7
UCSB-ACTS,18.7
USACE-ERDC_SEIR,19.0
TTU-squider,19.1
