,mean_rank
LANL-GrowthRate,9.6
COVIDhub-ensemble,10.9
LNQ-ens1,11.0
Microsoft-DeepSTIA,11.1
USC-SI_kJalpha,11.2
OliverWyman-Navigator,11.6
MSRA-DeepST,11.7
CU-select,13.8
OneQuietNight-ML,13.8
JHU_UNC_GAS-StatMechPool,14.0
COVIDhub-baseline,14.1
CEID-Walk,14.3
JHUAPL-Bucky,14.4
JHU_CSSE-DECOM,14.5
IEM_MED-CovidProject,14.7
IowaStateLW-STEM,15.2
Covid19Sim-Simulator,15.8
Karlen-pypm,16.0
UCLA-SuEIR,16.2
Google_Harvard-CPF,16.4
JHU_IDD-CovidSP,16.7
DDS-NBDS,16.9
RobertWalraven-ESG,17.2
UVA-Ensemble,18.7
TTU-squider,18.8
JCB-PRM,18.9
BPagano-RtDriven,19.3
CovidAnalytics-DELPHI,19.5
UCSB-ACTS,22.3
Wadhwani_AI-BayesOpt,26.2
