,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,149845,72072.0,52825.1,,95757.5,,64612.0,79906.3,112329.0,18795.7,50620.0,-77773.0,-97019.9,,-54087.5,,-85233.0,-69938.7,-37516.0,-131049.3,-99225.0,False,,True,,False,True,True,False,False
Alaska,29124,22480.0,1575.3,,22459.1,,,22855.4,70982.7,19117.5,1995.0,-6644.0,-27548.7,,-6664.9,,,-6268.6,41858.7,-10006.5,-27129.0,False,,False,,,True,False,False,False
Arizona,247095,73392.0,61151.4,,70169.3,,47444.0,70003.3,46882.5,29465.9,95743.0,-173703.0,-185943.6,,-176925.7,,-199651.0,-177091.7,-200212.5,-217629.1,-151352.0,False,,False,,False,False,False,False,True
Arkansas,101779,54976.0,39910.0,,57366.5,,57891.0,63647.0,72002.2,14350.2,38044.0,-46803.0,-61869.0,,-44412.5,,-43888.0,-38132.0,-29776.8,-87428.8,-63735.0,False,,True,,True,True,True,False,False
California,1208399,227672.0,371634.6,,280681.9,,166343.0,287455.8,208438.6,93224.9,309217.0,-980727.0,-836764.4,,-927717.1,,-1042056.0,-920943.2,-999960.4,-1115174.1,-899182.0,True,,True,,False,True,False,False,True
Colorado,216269,111600.0,33234.1,,119862.0,,97717.0,99867.9,93034.8,95076.4,88111.0,-104669.0,-183034.9,,-96407.0,,-118552.0,-116401.1,-123234.2,-121192.6,-128158.0,False,,True,,False,False,False,False,False
Connecticut,101536,41240.0,56207.2,,52457.6,,27319.0,37882.5,24078.2,34172.7,28651.0,-60296.0,-45328.8,,-49078.4,,-74217.0,-63653.5,-77457.8,-67363.3,-72885.0,True,,True,,False,False,False,False,False
Delaware,29522,8832.0,10093.4,,9558.5,,7128.0,9341.7,5798.8,5749.9,7388.0,-20690.0,-19428.6,,-19963.5,,-22394.0,-20180.3,-23723.2,-23772.1,-22134.0,True,,True,,False,True,False,False,False
District of Columbia,10444,4480.0,257.5,,5048.1,,3504.0,2979.6,2362.3,2669.3,6687.0,-5964.0,-10186.5,,-5395.9,,-6940.0,-7464.4,-8081.7,-7774.7,-3757.0,False,,True,,False,False,False,False,True
Florida,462041,210368.0,127397.1,,182789.5,,147650.0,248236.9,173539.9,84525.6,144553.0,-251673.0,-334643.9,,-279251.5,,-314391.0,-213804.1,-288501.1,-377515.4,-317488.0,False,,False,,False,True,False,False,False
