,mean_rank
OneQuietNight-ML,9.5
CU-select,10.2
LNQ-ens1,10.5
LANL-GrowthRate,11.0
COVIDhub-ensemble,12.1
COVIDhub-baseline,12.6
CEID-Walk,12.7
DDS-NBDS,13.1
UCLA-SuEIR,13.7
JHU_UNC_GAS-StatMechPool,13.7
UChicagoCHATTOPADHYAY-UnIT,14.0
USC-SI_kJalpha,14.1
Covid19Sim-Simulator,14.6
JHU_IDD-CovidSP,15.1
Wadhwani_AI-BayesOpt,15.4
JHU_CSSE-DECOM,15.5
OliverWyman-Navigator,16.0
RobertWalraven-ESG,16.4
Microsoft-DeepSTIA,17.0
IQVIA_ACOE-STAN,17.2
JHUAPL-Bucky,17.6
Google_Harvard-CPF,17.8
IEM_MED-CovidProject,18.9
Karlen-pypm,19.1
IowaStateLW-STEM,19.3
JCB-PRM,19.7
CovidAnalytics-DELPHI,19.7
TTU-squider,20.4
BPagano-RtDriven,21.2
UVA-Ensemble,23.3
UCSB-ACTS,24.8
