,count,mean,median,std,min,25%,75%,max
LNQ-ens1,51,7581.6,3515.8,9483.5,2.3,2705.8,9075.3,57117.0
CU-select,51,7659.0,4331.0,9175.8,24.0,663.0,9538.0,36969.0
LANL-GrowthRate,51,7943.9,4774.5,11852.3,187.5,954.8,8878.5,70326.0
OneQuietNight-ML,51,8487.6,3134.0,17732.8,63.0,928.5,8157.0,114802.0
COVIDhub-ensemble,51,9817.7,5235.0,13106.4,152.0,2838.5,11322.0,63569.0
USC-SI_kJalpha,51,10384.0,6397.0,11514.8,3.0,2871.0,14846.0,54234.0
RobertWalraven-ESG,50,11448.8,7564.1,11808.4,111.1,3215.5,16716.1,65072.2
Covid19Sim-Simulator,51,11581.8,6430.6,17163.9,78.1,2464.5,12777.3,100258.2
COVIDhub-baseline,51,11592.0,4361.0,22183.5,23.0,1917.5,13177.5,146465.0
CEID-Walk,51,11642.6,4649.7,21916.4,97.0,2186.3,13426.8,144920.9
JHU_CSSE-DECOM,50,12093.9,6949.0,18140.1,104.0,2411.0,16598.0,114552.3
OliverWyman-Navigator,51,12149.7,9527.0,13790.3,176.0,3169.0,16839.5,72478.0
Microsoft-DeepSTIA,50,12627.4,7360.2,17848.5,26.2,4294.1,15794.4,111672.9
UCLA-SuEIR,51,12634.8,5266.8,21629.7,42.8,2097.1,10775.7,102383.2
UChicagoCHATTOPADHYAY-UnIT,51,12672.8,5290.4,26077.6,312.4,2333.5,12617.6,177184.8
Wadhwani_AI-BayesOpt,45,12984.5,6351.8,18856.9,3.2,1831.2,15728.4,114552.3
Google_Harvard-CPF,51,14205.7,6706.0,18508.8,148.1,3165.5,16761.0,97969.2
JHU_UNC_GAS-StatMechPool,51,14657.7,5446.0,26919.5,105.0,2027.8,14854.2,150293.5
IowaStateLW-STEM,49,14787.6,8426.0,21912.5,77.0,4853.0,15625.0,135717.0
BPagano-RtDriven,51,15344.1,10153.8,14118.2,65.6,5930.7,20372.7,53098.1
JCB-PRM,51,15348.4,10219.4,16896.5,164.9,3754.9,22690.5,81896.0
IQVIA_ACOE-STAN,49,15854.9,6977.0,32039.1,12.0,3153.0,17099.0,220645.0
JHU_IDD-CovidSP,51,16463.2,7948.6,43650.9,234.5,1930.2,14419.8,309598.2
Karlen-pypm,51,16782.0,12378.8,19126.4,256.2,3551.2,21912.2,90337.0
DDS-NBDS,51,16882.6,3630.8,40239.3,74.8,1213.1,11457.2,241679.3
JHUAPL-Bucky,51,17106.4,7538.0,28932.6,191.2,3235.1,15446.8,147032.5
IEM_MED-CovidProject,51,17718.7,11444.2,26634.4,128.0,3865.8,20337.4,167137.2
TTU-squider,51,18446.7,10538.9,25426.8,224.6,4519.8,23672.2,165665.4
CovidAnalytics-DELPHI,51,21965.8,10365.0,26775.6,282.0,2631.5,31585.0,116936.0
UVA-Ensemble,51,24195.1,11160.7,41848.4,95.5,5998.2,27618.4,271539.4
UCSB-ACTS,51,26747.6,17142.4,29107.6,89.4,8937.6,31019.8,147793.4
