,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Alabama,98465,57140.0,52988.1,55185.3,60517.0,53650.0,,60675.7,66132.0,83760.3,76578.3,,55311.0,80039.0,63813.8,73888.0,39144.3,71951.8,66552.5,60339.2,70729.2,84392.0,,90135.2,60140.7,,45933.0,105659.5,,35018.0,59414.0,70436.9,-41325.0,-45476.9,-43279.7,-37948.0,-44815.0,,-37789.3,-32333.0,-14704.7,-21886.7,,-43154.0,-18426.0,-34651.2,-24577.0,-59320.7,-26513.2,-31912.5,-38125.8,-27735.8,-14073.0,,-8329.8,-38324.3,,-52532.0,7194.5,,-63447.0,-39051.0,-28028.1,False,False,True,False,,True,True,True,True,,False,True,True,True,False,True,True,True,True,True,,True,True,,False,True,,False,True,True
Alaska,14035,16880.0,18263.2,17073.4,16835.0,10535.0,,15130.1,15503.0,14507.7,23217.4,,,23336.1,11519.8,18512.0,4236.3,19387.6,15778.5,16375.5,19086.5,21304.0,,11633.9,28000.9,,20798.5,32643.7,,10542.5,17873.0,22798.3,2845.0,4228.2,3038.4,2800.0,-3500.0,,1095.1,1468.0,472.7,9182.4,,,9301.1,-2515.2,4477.0,-9798.7,5352.6,1743.5,2340.5,5051.5,7269.0,,-2401.1,13965.9,,6763.5,18608.7,,-3492.5,3838.0,8763.3,False,False,True,False,,True,True,True,False,,,False,True,False,False,False,True,True,False,False,,True,False,,False,False,,False,False,False
Arizona,170267,109760.0,121388.6,110796.9,117697.0,111911.0,,105455.4,274915.0,189971.2,152635.6,,103529.0,146628.2,214713.3,156243.0,117734.7,214820.3,145180.0,100952.8,135562.2,135232.0,,178987.8,86963.4,,100739.2,192785.6,,72157.1,112902.0,160415.6,-60507.0,-48878.4,-59470.1,-52570.0,-58356.0,,-64811.6,104648.0,19704.2,-17631.4,,-66738.0,-23638.8,44446.3,-14024.0,-52532.3,44553.3,-25087.0,-69314.2,-34704.8,-35035.0,,8720.8,-83303.6,,-69527.8,22518.6,,-98109.9,-57365.0,-9851.4,True,True,True,True,,False,False,True,True,,False,True,True,True,True,True,True,False,True,True,,True,False,,False,True,,False,True,True
Arkansas,58943,44820.0,40399.7,45076.9,45219.0,40526.0,,44346.4,60612.0,50332.9,54999.7,,57389.0,71727.4,41809.0,57250.0,30346.8,82292.1,42118.5,41511.9,48340.6,61828.0,,68948.7,20224.5,,49512.8,88262.4,,20638.8,42153.0,53538.6,-14123.0,-18543.3,-13866.1,-13724.0,-18417.0,,-14596.6,1669.0,-8610.1,-3943.3,,-1554.0,12784.4,-17134.0,-1693.0,-28596.2,23349.1,-16824.5,-17431.1,-10602.4,2885.0,,10005.7,-38718.5,,-9430.2,29319.4,,-38304.2,-16790.0,-5404.4,False,True,True,False,,False,True,True,True,,True,True,False,True,False,False,False,False,True,True,,True,False,,True,False,,False,False,True
California,919986,380756.0,693611.0,393780.2,455810.0,398625.0,,392859.5,675782.0,582523.6,551051.2,,383642.0,540496.5,763144.0,462599.0,395185.1,798769.5,505363.0,456263.9,385733.2,502971.0,,479739.2,8937.6,,480867.0,727613.6,,383230.0,350553.0,626831.4,-539230.0,-226375.0,-526205.8,-464176.0,-521361.0,,-527126.5,-244204.0,-337462.4,-368934.8,,-536344.0,-379489.5,-156842.0,-457387.0,-524800.9,-121216.5,-414623.0,-463722.1,-534252.8,-417015.0,,-440246.8,-911048.4,,-439119.0,-192372.4,,-536756.0,-569433.0,-293154.6,True,True,True,True,,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,True,False,,True,True,,True,False,True
Colorado,98336,122416.0,126948.7,122894.9,121494.0,82872.0,,116014.1,180386.0,123715.2,199583.5,,118170.0,209342.2,122117.1,155180.0,88578.2,96976.7,104200.0,102176.0,138490.5,137070.0,,239607.0,260624.9,,134216.0,309918.0,,58405.6,102952.0,170503.7,24080.0,28612.7,24558.9,23158.0,-15464.0,,17678.1,82050.0,25379.2,101247.5,,19834.0,111006.2,23781.1,56844.0,-9757.8,-1359.3,5864.0,3840.0,40154.5,38734.0,,141271.0,162288.9,,35880.0,211582.0,,-39930.4,4616.0,72167.7,False,False,True,True,,True,False,False,False,,True,False,True,False,True,True,True,True,False,False,,False,False,,False,False,,False,True,False
Connecticut,60162,44448.0,51766.8,45715.8,45517.0,29894.0,,44010.1,70002.0,140513.9,65141.6,,45034.0,71771.3,46232.0,62558.0,55477.0,124210.0,59999.5,37805.8,58188.8,56777.0,,18624.5,85190.4,,56968.5,107634.6,,12888.9,25294.0,58756.2,-15714.0,-8395.2,-14446.2,-14645.0,-30268.0,,-16151.9,9840.0,80351.9,4979.6,,-15128.0,11609.3,-13930.0,2396.0,-4685.0,64048.0,-162.5,-22356.2,-1973.2,-3385.0,,-41537.5,25028.4,,-3193.5,47472.6,,-47273.1,-34868.0,-1405.8,True,True,True,False,,False,True,False,True,,True,True,True,True,True,False,True,False,True,True,,False,False,,True,False,,False,False,True
Delaware,19803,13396.0,22964.7,13446.4,15265.0,14380.0,,12150.6,22185.0,14780.4,18677.4,,13595.0,17493.0,16927.9,16851.0,10987.5,27796.2,16748.0,14983.7,20774.0,18089.0,,21264.1,4976.0,,14920.9,19302.3,,12682.1,16411.0,19919.4,-6407.0,3161.7,-6356.6,-4538.0,-5423.0,,-7652.4,2382.0,-5022.6,-1125.6,,-6208.0,-2310.0,-2875.1,-2952.0,-8815.5,7993.2,-3055.0,-4819.3,971.0,-1714.0,,1461.1,-14827.0,,-4882.1,-500.7,,-7120.9,-3392.0,116.4,True,True,True,True,,False,True,True,True,,True,True,True,True,False,False,True,True,True,True,,True,False,,True,True,,False,True,True
District of Columbia,6402,4308.0,4593.2,4318.9,5128.0,3718.0,,4121.7,6974.0,8490.1,4750.4,,5243.0,6497.7,4764.4,5189.0,6438.3,9148.5,6344.0,6608.9,,2828.0,,5166.2,7401.8,,3034.6,8757.4,,8411.8,3775.0,6061.7,-2094.0,-1808.8,-2083.1,-1274.0,-2684.0,,-2280.3,572.0,2088.1,-1651.6,,-1159.0,95.7,-1637.6,-1213.0,36.3,2746.5,-58.0,206.9,,-3574.0,,-1235.8,999.8,,-3367.4,2355.4,,2009.8,-2627.0,-340.3,True,True,True,False,,False,True,True,True,,True,True,True,True,True,False,True,True,,False,,True,True,,False,False,,True,False,True
Florida,279291,213880.0,296706.5,204129.2,251306.0,213684.0,,194136.1,432831.0,294781.9,292939.7,,203471.0,285735.1,278660.3,297633.0,248672.5,397710.5,287747.5,228878.8,258178.5,274968.0,,367720.4,249849.4,,254290.1,487979.0,,179634.3,156706.0,213589.0,-65411.0,17415.5,-75161.8,-27985.0,-65607.0,,-85154.9,153540.0,15490.9,13648.7,,-75820.0,6444.1,-630.7,18342.0,-30618.5,118419.5,8456.5,-50412.2,-21112.5,-4323.0,,88429.4,-29441.6,,-25000.9,208688.0,,-99656.7,-122585.0,-65702.0,True,False,True,False,,False,False,True,True,,False,True,True,True,True,False,True,True,True,True,,False,True,,True,False,,False,False,False
