,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
01001,1831,888.0,,,,,568.0,,602.6,581.7,1469.0,-943.0,,,,,-1263.0,,-1228.4,-1249.3,-362.0,,,,,False,,False,False,True
01003,5753,2424.0,,,,,2750.0,,2028.3,1056.3,26.0,-3329.0,,,,,-3003.0,,-3724.7,-4696.7,-5727.0,,,,,True,,False,False,False
01005,339,232.0,,,,,242.0,,349.9,178.5,79.0,-107.0,,,,,-97.0,,10.9,-160.5,-260.0,,,,,True,,True,False,False
01007,862,360.0,,,,,297.0,,485.2,,213.0,-502.0,,,,,-565.0,,-376.8,,-649.0,,,,,False,,True,,False
01009,2337,1192.0,,,,,830.0,,960.2,453.5,153.0,-1145.0,,,,,-1507.0,,-1376.8,-1883.5,-2184.0,,,,,False,,False,False,False
01011,173,40.0,,,,,109.0,,87.1,,2.0,-133.0,,,,,-64.0,,-85.9,,-171.0,,,,,True,,True,,False
01013,433,120.0,,,,,198.0,,95.3,96.9,39.0,-313.0,,,,,-235.0,,-337.7,-336.1,-394.0,,,,,True,,False,False,False
01015,4315,2352.0,,,,,1659.0,,5996.6,1177.9,31.0,-1963.0,,,,,-2656.0,,1681.6,-3137.1,-4284.0,,,,,False,,True,False,False
01017,811,312.0,,,,,385.0,,296.6,101.9,112.0,-499.0,,,,,-426.0,,-514.4,-709.1,-699.0,,,,,True,,False,False,False
01019,586,400.0,,,,,439.0,,333.1,,334.0,-186.0,,,,,-147.0,,-252.9,,-252.0,,,,,True,,False,,False
01021,861,552.0,,,,,601.0,,551.6,244.5,216.0,-309.0,,,,,-260.0,,-309.4,-616.5,-645.0,,,,,True,,False,False,False
01023,91,40.0,,,,,144.0,,55.2,,11.0,-51.0,,,,,53.0,,-35.8,,-80.0,,,,,False,,True,,False
01025,881,408.0,,,,,500.0,,699.7,197.6,44.0,-473.0,,,,,-381.0,,-181.3,-683.4,-837.0,,,,,True,,True,False,False
01027,330,248.0,,,,,169.0,,238.5,,97.0,-82.0,,,,,-161.0,,-91.5,,-233.0,,,,,False,,False,,False
01029,402,216.0,,,,,255.0,,416.2,,75.0,-186.0,,,,,-147.0,,14.2,,-327.0,,,,,True,,True,,False
01031,1519,816.0,,,,,548.0,,1296.2,447.4,343.0,-703.0,,,,,-971.0,,-222.8,-1071.6,-1176.0,,,,,False,,True,False,False
01033,2098,1168.0,,,,,965.0,,1188.5,623.4,989.0,-930.0,,,,,-1133.0,,-909.5,-1474.6,-1109.0,,,,,False,,True,False,False
01035,248,128.0,,,,,114.0,,51.2,,90.0,-120.0,,,,,-134.0,,-196.8,,-158.0,,,,,False,,False,,False
01037,248,152.0,,,,,89.0,,149.2,,195.0,-96.0,,,,,-159.0,,-98.8,,-53.0,,,,,False,,False,,True
01039,906,1168.0,,,,,505.0,,639.8,411.1,266.0,262.0,,,,,-401.0,,-266.2,-494.9,-640.0,,,,,False,,False,False,False
01041,278,112.0,,,,,146.0,,96.6,,34.0,-166.0,,,,,-132.0,,-181.4,,-244.0,,,,,True,,False,,False
01043,3904,2728.0,,,,,1455.0,,3459.1,1150.3,793.0,-1176.0,,,,,-2449.0,,-444.9,-2753.7,-3111.0,,,,,False,,True,False,False
01045,1238,1240.0,,,,,559.0,,1631.5,566.7,635.0,2.0,,,,,-679.0,,393.5,-671.3,-603.0,,,,,False,,False,False,False
01047,784,328.0,,,,,428.0,,130.8,195.8,399.0,-456.0,,,,,-356.0,,-653.2,-588.2,-385.0,,,,,True,,False,False,True
01049,3024,2160.0,,,,,1562.0,,2217.6,535.3,574.0,-864.0,,,,,-1462.0,,-806.4,-2488.7,-2450.0,,,,,False,,True,False,False
01051,2637,872.0,,,,,729.0,,918.6,450.1,470.0,-1765.0,,,,,-1908.0,,-1718.4,-2186.9,-2167.0,,,,,False,,True,False,False
01053,748,328.0,,,,,640.0,,252.7,225.7,368.0,-420.0,,,,,-108.0,,-495.3,-522.3,-380.0,,,,,True,,False,False,True
01055,5097,1976.0,,,,,1739.0,,1827.3,710.3,670.0,-3121.0,,,,,-3358.0,,-3269.7,-4386.7,-4427.0,,,,,False,,False,False,False
01057,768,272.0,,,,,231.0,,322.9,,131.0,-496.0,,,,,-537.0,,-445.1,,-637.0,,,,,False,,True,,False
01059,959,544.0,,,,,669.0,,373.8,380.1,2351.0,-415.0,,,,,-290.0,,-585.2,-578.9,1392.0,,,,,True,,False,False,False
01061,612,568.0,,,,,351.0,,945.4,,278.0,-44.0,,,,,-261.0,,333.4,,-334.0,,,,,False,,False,,False
01063,275,72.0,,,,,62.0,,52.4,,26.0,-203.0,,,,,-213.0,,-222.6,,-249.0,,,,,False,,False,,False
01065,580,208.0,,,,,205.0,,216.5,,52.0,-372.0,,,,,-375.0,,-363.5,,-528.0,,,,,False,,True,,False
01067,411,288.0,,,,,150.0,,1127.9,,119.0,-123.0,,,,,-261.0,,716.9,,-292.0,,,,,False,,False,,False
01069,2553,1216.0,,,,,1329.0,,7237.5,721.9,616.0,-1337.0,,,,,-1224.0,,4684.5,-1831.1,-1937.0,,,,,True,,False,False,False
