,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
01001,1713,756.0,,,,,,337.0,,681.0,424.3,1075.0,-957.0,,,,,,-1376.0,,-1032.0,-1288.7,-638.0,,,,,,False,,False,False,True
01003,5482,1736.0,,,,,,1025.0,,1691.5,808.1,0.0,-3746.0,,,,,,-4457.0,,-3790.5,-4673.9,-5482.0,,,,,,False,,False,False,False
01005,303,224.0,,,,,,146.0,,162.3,304.5,87.0,-79.0,,,,,,-157.0,,-140.7,1.5,-216.0,,,,,,False,,False,True,False
01007,805,357.0,,,,,,151.0,,340.9,,420.0,-448.0,,,,,,-654.0,,-464.1,,-385.0,,,,,,False,,False,,True
01009,2144,1484.0,,,,,,568.0,,1940.7,584.1,0.0,-660.0,,,,,,-1576.0,,-203.3,-1559.9,-2144.0,,,,,,False,,True,False,False
01011,162,70.0,,,,,,66.0,,59.8,,0.0,-92.0,,,,,,-96.0,,-102.2,,-162.0,,,,,,False,,False,,False
01013,405,168.0,,,,,,115.0,,104.8,153.4,68.0,-237.0,,,,,,-290.0,,-300.2,-251.6,-337.0,,,,,,False,,False,False,False
01015,4019,2044.0,,,,,,1128.0,,1883.0,1262.6,0.0,-1975.0,,,,,,-2891.0,,-2136.0,-2756.4,-4019.0,,,,,,False,,False,False,False
01017,718,658.0,,,,,,218.0,,575.9,502.7,1782.0,-60.0,,,,,,-500.0,,-142.1,-215.3,1064.0,,,,,,False,,False,False,False
01019,527,371.0,,,,,,247.0,,559.9,,421.0,-156.0,,,,,,-280.0,,32.9,,-106.0,,,,,,False,,True,,True
01021,803,441.0,,,,,,339.0,,365.1,348.5,202.0,-362.0,,,,,,-464.0,,-437.9,-454.5,-601.0,,,,,,False,,False,False,False
01023,79,84.0,,,,,,87.0,,34.3,,124.0,5.0,,,,,,8.0,,-44.7,,45.0,,,,,,False,,False,,False
01025,841,287.0,,,,,,179.0,,197.6,239.0,9.0,-554.0,,,,,,-662.0,,-643.4,-602.0,-832.0,,,,,,False,,False,False,False
01027,289,280.0,,,,,,106.0,,224.1,,273.0,-9.0,,,,,,-183.0,,-64.9,,-16.0,,,,,,False,,False,,False
01029,367,273.0,,,,,,145.0,,247.7,,106.0,-94.0,,,,,,-222.0,,-119.3,,-261.0,,,,,,False,,False,,False
01031,1410,735.0,,,,,,323.0,,512.2,504.0,304.0,-675.0,,,,,,-1087.0,,-897.8,-906.0,-1106.0,,,,,,False,,False,False,False
01033,1942,2093.0,,,,,,768.0,,2924.5,988.4,791.0,151.0,,,,,,-1174.0,,982.5,-953.6,-1151.0,,,,,,False,,False,False,False
01035,221,189.0,,,,,,65.0,,130.5,,64.0,-32.0,,,,,,-156.0,,-90.5,,-157.0,,,,,,False,,False,,False
01037,239,91.0,,,,,,61.0,,120.8,,43.0,-148.0,,,,,,-178.0,,-118.2,,-196.0,,,,,,False,,True,,False
01039,853,385.0,,,,,,283.0,,813.0,198.1,258.0,-468.0,,,,,,-570.0,,-40.0,-654.9,-595.0,,,,,,False,,True,False,False
01041,256,147.0,,,,,,76.0,,131.2,,86.0,-109.0,,,,,,-180.0,,-124.8,,-170.0,,,,,,False,,False,,False
01043,3535,2513.0,,,,,,1082.0,,3665.8,1003.2,633.0,-1022.0,,,,,,-2453.0,,130.8,-2531.8,-2902.0,,,,,,False,,True,False,False
01045,1121,847.0,,,,,,328.0,,1016.7,391.5,390.0,-274.0,,,,,,-793.0,,-104.3,-729.5,-731.0,,,,,,False,,True,False,False
01047,706,525.0,,,,,,223.0,,352.4,275.9,612.0,-181.0,,,,,,-483.0,,-353.6,-430.1,-94.0,,,,,,False,,False,False,True
01049,2821,1393.0,,,,,,854.0,,1541.2,478.3,410.0,-1428.0,,,,,,-1967.0,,-1279.8,-2342.7,-2411.0,,,,,,False,,True,False,False
01051,2493,903.0,,,,,,470.0,,588.9,705.7,981.0,-1590.0,,,,,,-2023.0,,-1904.1,-1787.3,-1512.0,,,,,,False,,False,False,True
01053,693,399.0,,,,,,308.0,,290.2,235.5,577.0,-294.0,,,,,,-385.0,,-402.8,-457.5,-116.0,,,,,,False,,False,False,True
01055,4736,2387.0,,,,,,1120.0,,2367.9,1367.7,678.0,-2349.0,,,,,,-3616.0,,-2368.1,-3368.3,-4058.0,,,,,,False,,False,False,False
01057,715,350.0,,,,,,149.0,,231.2,,373.0,-365.0,,,,,,-566.0,,-483.8,,-342.0,,,,,,False,,False,,True
01059,888,875.0,,,,,,497.0,,764.2,496.7,1579.0,-13.0,,,,,,-391.0,,-123.8,-391.3,691.0,,,,,,False,,False,False,False
