,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Alabama,50617,50504.0,57261.7,48882.2,56644.0,51002.0,,53141.8,59537.0,50882.8,65657.7,,69517.2,54337.0,55542.0,62852.5,60398.8,56827.0,27158.3,38016.0,75113.0,55391.5,57344.3,55700.4,67216.0,50374.0,,64470.5,40201.8,,43860.8,59665.0,48792.6,,60445.0,68255.9,56968.8,-113.0,6644.7,-1734.8,6027.0,385.0,,2524.8,8920.0,265.8,15040.7,,18900.2,3720.0,4925.0,12235.5,9781.8,6210.0,-23458.7,-12601.0,24496.0,4774.5,6727.3,5083.4,16599.0,-243.0,,13853.5,-10415.2,,-6756.2,9048.0,-1824.4,,9828.0,17638.9,6351.8,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,,False,False,False
Alaska,4982,8452.0,10627.5,8298.8,8755.0,8366.0,,10326.4,6700.0,8801.0,10345.0,,9002.1,,,10351.1,14453.7,9225.0,4273.4,7049.0,9596.2,7444.0,7812.9,10102.1,9079.0,7405.0,,9151.0,8390.4,,8073.5,13740.8,7216.1,,8801.0,10798.8,10511.5,3470.0,5645.5,3316.8,3773.0,3384.0,,5344.4,1718.0,3819.0,5363.0,,4020.1,,,5369.1,9471.7,4243.0,-708.6,2067.0,4614.2,2462.0,2830.9,5120.1,4097.0,2423.0,,4169.0,3408.4,,3091.5,8758.8,2234.1,,3819.0,5816.8,5529.5,False,True,False,True,,False,True,False,False,,False,,,False,False,False,True,True,False,True,True,False,False,True,,False,True,,True,False,True,,False,False,False
Arizona,90452,87378.0,120783.9,87006.2,97211.0,90684.0,,97750.2,149105.0,97151.4,105326.6,,111820.2,95590.0,95674.0,114220.1,112961.2,89724.0,66891.6,92925.0,131453.6,103378.5,95473.1,98284.4,100620.0,91320.0,,109906.9,48911.1,,85103.0,109282.3,70697.6,,94221.0,142125.1,124242.1,-3074.0,30331.9,-3445.8,6759.0,232.0,,7298.2,58653.0,6699.4,14874.6,,21368.2,5138.0,5222.0,23768.1,22509.2,-728.0,-23560.4,2473.0,41001.6,12926.5,5021.1,7832.4,10168.0,868.0,,19454.9,-41540.9,,-5349.0,18830.3,-19754.4,,3769.0,51673.1,33790.1,False,False,False,True,,False,False,False,False,,False,False,False,False,False,True,False,True,False,False,False,False,False,True,,False,False,,False,False,False,,False,False,False
Arkansas,29717,29740.0,47601.3,29877.8,30439.0,26662.0,,30519.7,30727.0,28453.3,34578.5,,35525.4,32624.0,35636.0,35850.8,27047.0,32616.0,16279.5,32398.5,25983.1,29529.5,30210.6,31617.0,38355.0,26957.0,,36108.2,27284.0,,30200.8,38615.5,28018.0,,31778.0,36556.8,29929.4,23.0,17884.3,160.8,722.0,-3055.0,,802.7,1010.0,-1263.7,4861.5,,5808.4,2907.0,5919.0,6133.8,-2670.0,2899.0,-13437.5,2681.5,-3733.9,-187.5,493.6,1900.0,8638.0,-2760.0,,6391.2,-2433.0,,483.8,8898.5,-1699.0,,2061.0,6839.8,212.4,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,,False,False,False
California,571434,422470.0,611478.5,424014.1,505366.0,585201.0,,468676.8,486032.0,463639.8,533644.9,,736072.2,348290.0,433218.0,487039.0,715967.5,,259336.8,418641.5,638371.1,639261.0,571890.5,457262.1,496457.0,454133.0,,540346.4,403269.6,,466551.8,421141.6,391750.2,,531573.0,840474.4,,-148964.0,40044.5,-147419.9,-66068.0,13767.0,,-102757.2,-85402.0,-107794.2,-37789.1,,164638.2,-223144.0,-138216.0,-84395.0,144533.5,,-312097.2,-152792.5,66937.1,67827.0,456.5,-114171.9,-74977.0,-117301.0,,-31087.6,-168164.4,,-104882.2,-150292.4,-179683.8,,-39861.0,269040.4,,True,True,True,True,,True,True,True,True,,False,False,True,True,True,,False,False,True,True,True,True,True,True,,True,False,,True,False,False,,True,False,
Colorado,37985,56574.0,85562.7,56516.7,53513.0,51502.0,,58964.5,53022.0,41135.1,71094.9,,51282.5,63653.0,60733.0,69488.8,44474.2,54647.0,36222.0,53384.0,52707.5,43394.0,47174.6,54772.9,51469.0,41675.0,,54952.8,37127.4,,54412.1,90114.0,53674.5,,57097.0,73462.7,53164.2,18589.0,47577.7,18531.7,15528.0,13517.0,,20979.5,15037.0,3150.1,33109.9,,13297.5,25668.0,22748.0,31503.8,6489.2,16662.0,-1763.0,15399.0,14722.5,5409.0,9189.6,16787.9,13484.0,3690.0,,16967.8,-857.6,,16427.1,52129.0,15689.5,,19112.0,35477.7,15179.2,False,True,True,True,,False,True,True,False,,True,False,False,False,True,True,True,True,True,True,True,True,True,True,,True,True,,True,False,True,,False,False,True
Connecticut,25982,38092.0,36904.6,37835.3,37961.0,46369.0,,39410.2,28542.0,153953.8,32456.7,,48547.8,26475.0,40715.0,39350.1,49017.9,45065.0,32024.7,34217.0,59243.6,32040.0,33543.6,42275.8,29716.0,36346.0,,37620.6,50276.6,,37831.4,43124.4,36153.2,,35647.0,47743.0,42259.7,12110.0,10922.6,11853.3,11979.0,20387.0,,13428.2,2560.0,127971.8,6474.7,,22565.8,493.0,14733.0,13368.1,23035.9,19083.0,6042.7,8235.0,33261.6,6058.0,7561.6,16293.8,3734.0,10364.0,,11638.6,24294.6,,11849.4,17142.4,10171.2,,9665.0,21761.0,16277.7,True,True,True,False,,False,True,False,True,,False,True,False,False,False,False,True,True,False,True,True,False,True,True,,True,False,,True,False,True,,True,False,False
Delaware,9597,11560.0,16355.1,11477.7,12666.0,12323.0,,10360.7,14063.0,8494.4,13449.1,,15448.5,9609.0,12586.0,12252.3,15963.3,12672.0,6807.6,11689.0,16854.3,13234.5,11405.4,13885.5,13483.0,12011.0,,14697.9,14611.6,,11672.8,12017.1,10386.7,,12888.0,12357.3,16233.3,1963.0,6758.1,1880.7,3069.0,2726.0,,763.7,4466.0,-1102.6,3852.1,,5851.5,12.0,2989.0,2655.3,6366.3,3075.0,-2789.4,2092.0,7257.3,3637.5,1808.4,4288.5,3886.0,2414.0,,5100.9,5014.6,,2075.8,2420.1,789.7,,3291.0,2760.3,6636.3,False,True,False,False,,True,False,True,False,,False,True,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,,False,False,True,,False,False,False
District of Columbia,3067,3542.0,4191.4,3545.8,3957.0,3043.0,,4059.5,3587.0,3684.8,5253.9,,4915.9,3051.0,4405.0,4067.8,5451.0,4480.0,2528.5,3583.5,5033.3,4009.5,3720.5,,4972.0,3004.0,,4409.8,4616.5,,3351.9,4528.1,3527.8,,3743.0,5865.1,4947.3,475.0,1124.4,478.8,890.0,-24.0,,992.5,520.0,617.8,2186.9,,1848.9,-16.0,1338.0,1000.8,2384.0,1413.0,-538.5,516.5,1966.3,942.5,653.5,,1905.0,-63.0,,1342.8,1549.5,,284.9,1461.1,460.8,,676.0,2798.1,1880.3,False,False,False,True,,False,False,False,False,,False,True,False,False,False,False,False,False,False,False,False,,False,True,,False,False,,True,False,True,,False,False,False
Florida,147615,134670.0,157883.3,135824.2,143696.0,147441.0,,142892.8,204817.0,163431.8,172710.8,,160309.1,138072.0,155333.0,160195.8,137741.8,131081.0,132970.3,125402.5,179992.1,133648.0,147612.7,156636.0,165564.0,137661.0,,162706.2,147232.9,,144268.3,179350.4,137589.3,,143072.0,171164.8,,-12945.0,10268.3,-11790.8,-3919.0,-174.0,,-4722.2,57202.0,15816.8,25095.8,,12694.1,-9543.0,7718.0,12580.8,-9873.2,-16534.0,-14644.7,-22212.5,32377.1,-13967.0,-2.3,9021.0,17949.0,-9954.0,,15091.2,-382.1,,-3346.7,31735.4,-10025.7,,-4543.0,23549.8,,True,True,True,True,,True,False,False,False,,True,True,True,True,True,False,False,False,False,False,True,True,False,True,,False,True,,True,False,True,,True,False,
