,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,1264,552.0,,568.1,,527.0,406.0,,,,,442.6,,568.0,,365.4,,365.7,,440.0,538.7,,831.0,,,,,604.8,,,,,729.8,-712.0,,-695.9,,-737.0,-858.0,,,,,-821.4,,-696.0,,-898.6,,-898.3,,-824.0,-725.3,,-433.0,,,,,-659.2,,,,,-534.2,,True,,False,False,,,,,False,,True,,False,,False,,False,False,,True,,,,,True,,,,,True
01003,3975,2408.0,,2416.6,,2635.0,2908.0,,,,,1776.8,,1501.0,,3967.1,,1652.7,,3579.5,2503.9,,3592.0,,,,,2086.2,3673.0,,,,3340.9,-1567.0,,-1558.4,,-1340.0,-1067.0,,,,,-2198.2,,-2474.0,,-7.9,,-2322.3,,-395.5,-1471.1,,-383.0,,,,,-1888.8,-302.0,,,,-634.1,,True,,True,True,,,,,False,,False,,True,,False,,True,True,,True,,,,,False,True,,,,True
01005,225,64.0,,55.3,,66.0,65.0,,,,,92.2,,214.0,,82.9,,99.8,,31.0,79.3,,139.0,,,,,,,,,,85.5,-161.0,,-169.7,,-159.0,-160.0,,,,,-132.8,,-11.0,,-142.1,,-125.2,,-194.0,-145.7,,-86.0,,,,,,,,,,-139.5,,False,,True,True,,,,,True,,True,,True,,True,,False,True,,True,,,,,,,,,,True
01007,560,572.0,,561.8,,465.0,465.0,,,,,177.3,,278.0,,1899.2,,196.2,,180.0,218.3,,555.0,,,,,,,,,,807.9,12.0,,1.8,,-95.0,-95.0,,,,,-382.7,,-282.0,,1339.2,,-363.8,,-380.0,-341.7,,-5.0,,,,,,,,,,247.9,,True,,False,False,,,,,False,,False,,False,,False,,False,False,,True,,,,,,,,,,False
01009,1524,748.0,,734.4,,700.0,611.0,,,,,597.9,,793.0,,483.5,,555.6,,655.0,699.6,,1080.0,,,,,834.3,,,,,860.6,-776.0,,-789.6,,-824.0,-913.0,,,,,-926.1,,-731.0,,-1040.5,,-968.4,,-869.0,-824.4,,-444.0,,,,,-689.7,,,,,-663.4,,False,,False,False,,,,,False,,True,,False,,False,,False,False,,True,,,,,True,,,,,True
01011,130,32.0,,30.3,,32.0,19.0,,,,,37.9,,82.0,,29.3,,34.5,,22.0,59.8,,104.0,,,,,,,,,,68.9,-98.0,,-99.7,,-98.0,-111.0,,,,,-92.1,,-48.0,,-100.7,,-95.5,,-108.0,-70.2,,-26.0,,,,,,,,,,-61.1,,False,,False,False,,,,,True,,True,,False,,True,,False,True,,True,,,,,,,,,,True
01013,291,132.0,,150.1,,150.0,58.0,,,,,120.4,,154.0,,208.7,,121.8,,188.0,165.7,,217.0,,,,,,,,,,146.5,-159.0,,-140.9,,-141.0,-233.0,,,,,-170.6,,-137.0,,-82.3,,-169.2,,-103.0,-125.3,,-74.0,,,,,,,,,,-144.5,,True,,True,False,,,,,False,,True,,True,,False,,True,True,,True,,,,,,,,,,True
01015,2897,1508.0,,1427.6,,1522.0,1677.0,,,,,2121.4,,1468.0,,851.5,,803.2,,1627.0,1608.3,,2110.0,,,,,1463.8,,,,,1507.5,-1389.0,,-1469.4,,-1375.0,-1220.0,,,,,-775.6,,-1429.0,,-2045.5,,-2093.8,,-1270.0,-1288.7,,-787.0,,,,,-1433.2,,,,,-1389.5,,False,,True,True,,,,,True,,False,,False,,False,,True,True,,True,,,,,False,,,,,False
01017,435,396.0,,405.7,,335.0,432.0,,,,,225.0,,309.0,,660.3,,258.5,,296.0,281.8,,464.0,,,,,,,,,,309.3,-39.0,,-29.3,,-100.0,-3.0,,,,,-210.0,,-126.0,,225.3,,-176.5,,-139.0,-153.2,,29.0,,,,,,,,,,-125.7,,True,,False,True,,,,,False,,False,,False,,False,,False,False,,True,,,,,,,,,,False
01019,346,172.0,,145.9,,178.0,260.0,,,,,139.2,,314.0,,283.9,,192.7,,169.0,208.3,,343.0,,,,,,,,,,183.9,-174.0,,-200.1,,-168.0,-86.0,,,,,-206.8,,-32.0,,-62.1,,-153.3,,-177.0,-137.7,,-3.0,,,,,,,,,,-162.1,,False,,True,True,,,,,False,,True,,True,,True,,False,True,,True,,,,,,,,,,True
01021,578,360.0,,362.0,,383.0,304.0,,,,,300.2,,478.0,,416.7,,291.1,,380.0,410.4,,666.0,,,,,280.7,,,,,428.8,-218.0,,-216.0,,-195.0,-274.0,,,,,-277.8,,-100.0,,-161.3,,-286.9,,-198.0,-167.6,,88.0,,,,,-297.3,,,,,-149.2,,True,,True,False,,,,,False,,True,,True,,False,,True,True,,True,,,,,False,,,,,True
01023,64,24.0,,21.6,,25.0,11.0,,,,,22.2,,113.0,,19.9,,23.4,,31.0,40.5,,138.0,,,,,,,,,,39.4,-40.0,,-42.4,,-39.0,-53.0,,,,,-41.8,,49.0,,-44.1,,-40.6,,-33.0,-23.5,,74.0,,,,,,,,,,-24.6,,False,,True,False,,,,,False,,False,,False,,False,,True,True,,False,,,,,,,,,,True
01025,699,148.0,,147.5,,164.0,168.0,,,,,159.9,,234.0,,91.8,,160.8,,178.0,179.2,,357.0,,,,,,,,,,229.0,-551.0,,-551.5,,-535.0,-531.0,,,,,-539.1,,-465.0,,-607.2,,-538.2,,-521.0,-519.8,,-342.0,,,,,,,,,,-470.0,,False,,True,True,,,,,True,,True,,False,,True,,True,True,,True,,,,,,,,,,True
01027,184,144.0,,149.8,,143.0,117.0,,,,,110.7,,147.0,,158.6,,61.0,,121.0,130.5,,216.0,,,,,,,,,,161.1,-40.0,,-34.2,,-41.0,-67.0,,,,,-73.3,,-37.0,,-25.4,,-123.0,,-63.0,-53.5,,32.0,,,,,,,,,,-22.9,,True,,False,False,,,,,False,,True,,True,,False,,False,False,,True,,,,,,,,,,True
01029,221,128.0,,68.1,,134.0,159.0,,,,,104.4,,167.0,,408.0,,74.2,,36.0,132.9,,222.0,,,,,,,,,,209.4,-93.0,,-152.9,,-87.0,-62.0,,,,,-116.6,,-54.0,,187.0,,-146.8,,-185.0,-88.1,,1.0,,,,,,,,,,-11.6,,False,,True,True,,,,,False,,True,,False,,False,,False,True,,True,,,,,,,,,,True
01031,940,692.0,,712.9,,577.0,444.0,,,,,454.3,,447.0,,371.2,,484.4,,632.0,587.3,,939.0,,,,,590.9,,,,,820.5,-248.0,,-227.1,,-363.0,-496.0,,,,,-485.7,,-493.0,,-568.8,,-455.6,,-308.0,-352.7,,-1.0,,,,,-349.1,,,,,-119.5,,True,,False,False,,,,,False,,False,,False,,False,,False,False,,True,,,,,False,,,,,True
01033,1282,784.0,,790.0,,709.0,578.0,,,,,647.2,,893.0,,295.0,,521.7,,832.0,794.8,,1116.0,,,,,441.1,,,,,742.6,-498.0,,-492.0,,-573.0,-704.0,,,,,-634.8,,-389.0,,-987.0,,-760.3,,-450.0,-487.2,,-166.0,,,,,-840.9,,,,,-539.4,,True,,False,False,,,,,False,,True,,False,,False,,True,True,,True,,,,,False,,,,,False
01035,142,64.0,,67.4,,55.0,41.0,,,,,45.9,,100.0,,40.7,,63.7,,1.0,51.5,,144.0,,,,,,,,,,73.6,-78.0,,-74.6,,-87.0,-101.0,,,,,-96.1,,-42.0,,-101.3,,-78.3,,-141.0,-90.5,,2.0,,,,,,,,,,-68.4,,True,,False,False,,,,,False,,True,,False,,False,,False,False,,True,,,,,,,,,,True
01037,133,160.0,,149.3,,132.0,131.0,,,,,63.6,,84.0,,476.4,,39.7,,104.0,119.4,,185.0,,,,,,,,,,186.6,27.0,,16.3,,-1.0,-2.0,,,,,-69.4,,-49.0,,343.4,,-93.3,,-29.0,-13.6,,52.0,,,,,,,,,,53.6,,True,,True,True,,,,,False,,False,,False,,False,,False,True,,False,,,,,,,,,,False
01039,604,292.0,,328.4,,296.0,150.0,,,,,262.3,,352.0,,313.4,,249.5,,274.5,322.9,,529.0,,,,,233.6,,,,,413.0,-312.0,,-275.6,,-308.0,-454.0,,,,,-341.7,,-252.0,,-290.6,,-354.5,,-329.5,-281.1,,-75.0,,,,,-370.4,,,,,-191.0,,True,,True,False,,,,,False,,True,,True,,False,,False,True,,True,,,,,False,,,,,True
01041,188,44.0,,59.5,,53.0,79.0,,,,,54.4,,114.0,,36.7,,62.7,,17.0,65.0,,195.0,,,,,,,,,,66.5,-144.0,,-128.5,,-135.0,-109.0,,,,,-133.6,,-74.0,,-151.3,,-125.3,,-171.0,-123.0,,7.0,,,,,,,,,,-121.5,,True,,True,True,,,,,True,,True,,False,,True,,False,True,,True,,,,,,,,,,True
01043,2331,1316.0,,1215.0,,1255.0,935.0,,,,,2799.6,,1385.0,,665.5,,932.4,,1237.5,1338.7,,1727.0,,,,,1400.0,,,,,1590.2,-1015.0,,-1116.0,,-1076.0,-1396.0,,,,,468.6,,-946.0,,-1665.5,,-1398.6,,-1093.5,-992.3,,-604.0,,,,,-931.0,,,,,-740.8,,False,,False,False,,,,,True,,True,,False,,False,,False,True,,True,,,,,True,,,,,True
01045,836,336.0,,374.2,,333.0,315.0,,,,,338.5,,453.0,,97.2,,249.1,,250.0,357.2,,569.0,,,,,267.6,,,,,443.0,-500.0,,-461.8,,-503.0,-521.0,,,,,-497.5,,-383.0,,-738.8,,-586.9,,-586.0,-478.8,,-267.0,,,,,-568.4,,,,,-393.0,,True,,False,False,,,,,True,,True,,False,,False,,False,True,,True,,,,,False,,,,,True
01047,428,296.0,,293.0,,303.0,540.0,,,,,238.1,,327.0,,1154.7,,284.5,,303.0,268.2,,487.0,,,,,165.4,,,,,384.7,-132.0,,-135.0,,-125.0,112.0,,,,,-189.9,,-101.0,,726.7,,-143.5,,-125.0,-159.8,,59.0,,,,,-262.6,,,,,-43.3,,False,,True,True,,,,,False,,True,,False,,False,,True,False,,True,,,,,False,,,,,True
01049,1855,1112.0,,997.2,,1106.0,1602.0,,,,,1788.9,,1086.0,,1795.8,,681.1,,975.0,1101.5,,1477.0,,,,,1030.6,,,,,1447.4,-743.0,,-857.8,,-749.0,-253.0,,,,,-66.1,,-769.0,,-59.2,,-1173.9,,-880.0,-753.5,,-378.0,,,,,-824.4,,,,,-407.6,,False,,False,True,,,,,True,,False,,True,,False,,False,False,,True,,,,,False,,,,,True
01051,1873,732.0,,750.9,,725.0,485.0,,,,,863.8,,682.0,,1218.3,,585.3,,576.0,749.9,,1248.0,,,,,728.1,,,,,742.1,-1141.0,,-1122.1,,-1148.0,-1388.0,,,,,-1009.2,,-1191.0,,-654.7,,-1287.7,,-1297.0,-1123.1,,-625.0,,,,,-1144.9,,,,,-1130.9,,True,,False,False,,,,,True,,False,,True,,False,,False,True,,True,,,,,False,,,,,True
01053,536,172.0,,172.9,,175.0,240.0,,,,,169.8,,361.0,,328.8,,140.2,,121.0,158.2,,354.0,,,,,,,,,,253.6,-364.0,,-363.1,,-361.0,-296.0,,,,,-366.2,,-175.0,,-207.2,,-395.8,,-415.0,-377.8,,-182.0,,,,,,,,,,-282.4,,True,,True,True,,,,,False,,True,,True,,False,,False,False,,True,,,,,,,,,,True
