,mean_rank
CU-select,9.1
LANL-GrowthRate,10.1
LNQ-ens1,10.2
DDS-NBDS,12.2
Geneva-DetGrowth,12.4
COVIDhub-ensemble,12.5
USC-SI_kJalpha,12.6
UChicagoCHATTOPADHYAY-UnIT,12.8
JHU_UNC_GAS-StatMechPool,12.8
OneQuietNight-ML,12.9
CEID-Walk,13.2
COVIDhub-baseline,13.2
JHUAPL-Bucky,13.2
UCLA-SuEIR,13.6
IEM_MED-CovidProject,14.6
RobertWalraven-ESG,15.0
JHU_IDD-CovidSP,15.6
Covid19Sim-Simulator,15.7
JHU_CSSE-DECOM,16.7
Microsoft-DeepSTIA,16.9
CovidAnalytics-DELPHI,16.9
IowaStateLW-STEM,19.2
Karlen-pypm,19.4
BPagano-RtDriven,19.5
UMich-RidgeTfReg,19.7
TTU-squider,22.2
UCSB-ACTS,22.7
Google_Harvard-CPF,23.5
JCB-PRM,24.2
OliverWyman-Navigator,24.2
Wadhwani_AI-BayesOpt,24.5
UVA-Ensemble,26.8
