,predicted_cases,actual_cases,error,perc_error
Covid19Sim-Simulator,6510281.1,9933586,-3423304.9,-34.5%
JHUAPL-Bucky,5725104.4,9933586,-4208481.6,-42.4%
BPagano-RtDriven,5126080.7,9933586,-4807505.3,-48.4%
JCB-PRM,4736823.1,9933586,-5196762.9,-52.3%
IBF-TimeSeries,4621801.0,9933586,-5311785.0,-53.5%
COVIDhub-baseline,4389312.0,9933586,-5544274.0,-55.8%
UCLA-SuEIR,4227046.1,9933586,-5706539.9,-57.4%
IowaStateLW-STEM,4202273.0,9933586,-5731313.0,-57.7%
USC-SI_kJalpha,4114672.0,9933586,-5818914.0,-58.6%
Columbia_UNC-SurvCon,23920967.0,9933586,13987381.0,140.8%
