,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Alabama,75869,67788.0,81329.8,64873.6,72086.0,81529.0,,56540.9,65125.0,73757.9,77126.3,,99261.2,72207.0,67884.2,75420.6,76912.0,34984.8,50046.5,105386.7,74536.5,73937.6,66362.3,69746.3,84196.0,85440.0,,96204.7,59005.1,,56913.0,71537.6,,80258.0,69695.4,12305.1,-8081.0,5460.8,-10995.4,-3783.0,5660.0,,-19328.1,-10744.0,-2111.1,1257.3,,23392.2,-3662.0,-7984.8,-448.4,1043.0,-40884.2,-25822.5,29517.7,-1332.5,-1931.4,-9506.7,-6122.7,8327.0,9571.0,,20335.7,-16863.9,,-18956.0,-4331.4,,4389.0,-6173.6,-63563.9,True,False,True,True,,False,False,True,True,,False,True,True,True,True,False,False,False,True,True,False,True,False,False,,False,False,,False,True,,True,True,False
Alaska,9208,14481.0,13840.7,14548.1,15451.0,11453.0,,15772.9,10483.0,11665.3,15241.8,,17415.3,,17773.9,30078.5,15389.0,8022.6,16382.0,14819.3,16715.0,15986.8,15533.6,15789.6,13616.0,14910.0,,18978.5,13058.0,,15133.9,22218.4,,16371.0,23971.2,2195.3,5273.0,4632.7,5340.1,6243.0,2245.0,,6564.9,1275.0,2457.3,6033.8,,8207.3,,8565.9,20870.5,6181.0,-1185.4,7174.0,5611.3,7507.0,6778.8,6325.6,6581.6,4408.0,5702.0,,9770.5,3850.0,,5925.9,13010.4,,7163.0,14763.2,-7012.7,True,False,False,True,,False,True,True,False,,False,,False,False,False,True,False,False,False,False,False,False,True,False,,False,True,,False,False,,False,False,False
Arizona,134141,108378.0,151431.2,107239.1,124274.0,120536.0,,108371.4,203472.0,149752.0,202429.3,,164703.7,115602.0,126958.4,168101.8,124898.0,92041.6,128683.5,178361.4,129961.0,125279.3,120654.9,128721.7,128004.0,125280.0,,115849.4,68153.1,,112550.0,152612.2,,111186.0,89241.9,22370.9,-25763.0,17290.2,-26901.9,-9867.0,-13605.0,,-25769.6,69331.0,15611.0,68288.3,,30562.7,-18539.0,-7182.6,33960.8,-9243.0,-42099.4,-5457.5,44220.4,-4180.0,-8861.7,-13486.1,-5419.3,-6137.0,-8861.0,,-18291.6,-65987.9,,-21591.0,18471.2,,-22955.0,-44899.1,-111770.1,True,False,True,True,,False,False,True,False,,False,True,True,False,True,False,True,False,True,True,True,True,True,True,,True,False,,True,True,,True,False,False
Arkansas,44587,43068.0,38903.5,42543.7,44537.0,41705.0,,38131.5,45415.0,38624.9,59328.9,,45244.0,48280.0,50962.4,41078.4,50081.0,24411.9,46245.0,54475.4,43262.5,47236.9,43715.1,44349.7,52316.0,49190.0,,57001.3,41133.7,,50959.6,59382.6,,43442.0,42224.9,5739.7,-1519.0,-5683.5,-2043.3,-50.0,-2882.0,,-6455.5,828.0,-5962.1,14741.9,,657.0,3693.0,6375.4,-3508.6,5494.0,-20175.1,1658.0,9888.4,-1324.5,2649.9,-871.9,-237.3,7729.0,4603.0,,12414.3,-3453.3,,6372.6,14795.6,,-1145.0,-2362.1,-38847.3,False,False,True,False,,False,True,False,False,,True,False,False,False,False,False,False,False,True,False,True,True,False,False,,False,False,,False,False,,True,False,False
California,788391,411951.0,612939.8,415460.6,533841.0,592583.0,,454261.7,523828.0,590708.8,518677.4,,803469.0,410054.0,454508.8,614926.2,236742.0,370235.6,477824.0,667121.8,677112.5,662992.2,357097.0,393690.8,525704.0,506685.0,,404203.9,5606.1,,463197.4,547391.3,,584418.0,579077.8,,-376440.0,-175451.2,-372930.4,-254550.0,-195808.0,,-334129.3,-264563.0,-197682.2,-269713.6,,15078.0,-378337.0,-333882.2,-173464.8,-551649.0,-418155.4,-310567.0,-121269.2,-111278.5,-125398.8,-431294.0,-394700.2,-262687.0,-281706.0,,-384187.1,-782784.9,,-325193.6,-240999.7,,-203973.0,-209313.2,,True,True,True,True,,True,True,True,True,,True,False,True,True,False,False,True,True,True,True,False,False,True,True,,False,False,,True,True,,True,True,
Colorado,66272,96192.0,126071.1,97420.5,93604.0,96130.0,,103315.6,100580.0,106585.7,90187.3,,91644.3,91192.0,120206.5,78843.3,80564.0,57649.7,104438.0,74423.3,86084.5,87692.1,86519.6,87876.7,87293.0,93934.0,,90872.7,61976.9,,102798.6,166938.8,,86452.0,115584.5,15577.3,29920.0,59799.1,31148.5,27332.0,29858.0,,37043.6,34308.0,40313.7,23915.3,,25372.3,24920.0,53934.5,12571.3,14292.0,-8622.3,38166.0,8151.3,19812.5,21420.1,20247.6,21604.7,21021.0,27662.0,,24600.7,-4295.1,,36526.6,100666.8,,20180.0,49312.5,-50694.7,False,False,True,True,,False,False,False,True,,True,True,False,True,True,True,False,True,True,True,True,True,True,True,,True,True,,False,False,,True,False,False
Connecticut,45028,45402.0,54907.8,44544.5,45152.0,59681.0,,40202.5,37604.0,231834.8,72839.8,,28349.4,43521.0,54661.0,50544.4,54046.0,47832.3,44219.0,87448.3,36243.0,39501.5,45138.5,46032.8,38048.0,53982.0,,42219.1,70846.2,,54015.1,66362.4,,40234.0,56736.9,6274.3,374.0,9879.8,-483.5,124.0,14653.0,,-4825.5,-7424.0,186806.8,27811.8,,-16678.6,-1507.0,9633.0,5516.4,9018.0,2804.3,-809.0,42420.3,-8785.0,-5526.5,110.5,1004.8,-6980.0,8954.0,,-2808.9,25818.2,,8987.1,21334.4,,-4794.0,11708.9,-38753.7,False,False,True,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,,False,False,,False,False,False
Delaware,15377,13278.0,21228.9,12999.2,16237.0,17354.0,,13728.7,18778.0,13558.3,15762.1,,22616.3,13178.0,16575.4,19160.6,15627.0,9832.9,13215.5,22227.8,17021.5,16392.0,15276.5,16043.8,17207.0,15912.0,,18198.3,20204.4,,13654.1,16476.4,,17476.0,19597.0,3449.3,-2099.0,5851.9,-2377.8,860.0,1977.0,,-1648.3,3401.0,-1818.7,385.1,,7239.3,-2199.0,1198.4,3783.6,250.0,-5544.1,-2161.5,6850.8,1644.5,1015.0,-100.5,666.8,1830.0,535.0,,2821.3,4827.4,,-1722.9,1099.4,,2099.0,4220.0,-11927.7,False,False,True,True,,True,False,True,True,,False,False,True,False,True,False,False,False,True,True,True,True,True,True,,False,False,,True,True,,False,False,False
District of Columbia,4838,4692.0,5879.1,4674.1,5807.0,6363.0,,4469.3,5362.0,6129.4,8369.1,,7301.1,5767.0,6470.8,5059.6,6823.0,4137.8,4816.5,7320.8,6232.5,6495.2,,,7375.0,4016.0,,6891.7,6355.1,,4251.8,6888.3,,5815.0,6465.8,868.3,-146.0,1041.1,-163.9,969.0,1525.0,,-368.7,524.0,1291.4,3531.1,,2463.1,929.0,1632.8,221.6,1985.0,-700.2,-21.5,2482.8,1394.5,1657.2,,,2537.0,-822.0,,2053.7,1517.1,,-586.2,2050.3,,977.0,1627.8,-3969.7,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,,,False,False,,False,False,,False,False,,False,False,False
Florida,214950,193023.0,240454.3,196788.3,219014.0,208898.0,,187657.9,322391.0,295215.0,172986.2,,256233.9,177881.0,251315.5,200493.6,170452.0,172920.6,201800.0,296599.8,212032.5,223879.2,237033.5,237976.9,251638.0,251335.0,,215653.5,194813.5,,226450.7,272834.3,,220872.0,154875.9,,-21927.0,25504.3,-18161.7,4064.0,-6052.0,,-27292.1,107441.0,80265.0,-41963.8,,41283.9,-37069.0,36365.5,-14456.4,-44498.0,-42029.4,-13150.0,81649.8,-2917.5,8929.2,22083.5,23026.9,36688.0,36385.0,,703.5,-20136.5,,11500.7,57884.3,,5922.0,-60074.1,,False,True,True,True,,False,False,False,False,,False,False,False,True,False,False,True,False,True,True,False,False,False,False,,True,True,,True,False,,True,False,
