,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Alabama,23554,27063.0,23196.1,26487.3,28089.0,24995.0,,27637.8,29829.0,24570.2,28775.9,34971.8,,29794.1,29049.0,30387.0,27081.1,27113.0,14917.2,26809.0,36472.4,27996.0,26986.2,28652.6,31291.0,28360.0,,30593.2,30838.9,,27684.2,27905.8,22682.9,30510.5,28089.0,38122.9,37277.1,3509.0,-357.9,2933.3,4535.0,1441.0,,4083.8,6275.0,1016.2,5221.9,11417.8,,6240.1,5495.0,6833.0,3527.1,3559.0,-8636.8,3255.0,12918.4,4442.0,3432.2,5098.6,7737.0,4806.0,,7039.2,7284.9,,4130.2,4351.8,-871.1,6956.5,4535.0,14568.9,13723.1,True,True,False,True,,False,False,True,False,False,,False,False,False,False,False,False,True,False,False,True,False,False,False,,False,False,,False,False,True,False,False,False,False
Alaska,1791,3191.0,3025.4,3047.8,2863.0,2844.0,,3564.7,3178.0,2744.0,2552.1,3639.7,,2511.8,,4385.4,2839.4,3272.0,2083.7,1343.5,2822.2,1630.0,2200.2,3061.6,3677.0,2878.0,,2405.9,3945.0,,2708.5,5084.5,2588.7,3380.5,2909.0,3611.6,4525.3,1400.0,1234.4,1256.8,1072.0,1053.0,,1773.7,1387.0,953.0,761.1,1848.7,,720.8,,2594.4,1048.4,1481.0,292.7,-447.5,1031.2,-161.0,409.2,1270.6,1886.0,1087.0,,614.9,2154.0,,917.5,3293.5,797.7,1589.5,1118.0,1820.6,2734.3,True,True,True,True,,False,True,True,True,False,,True,,False,True,False,True,True,True,True,True,True,False,True,,True,False,,True,False,True,False,True,False,False
Arizona,44810,45642.0,62935.6,45550.2,47973.0,48906.0,,51480.1,50725.0,42788.5,50489.5,53850.4,,49265.1,47000.0,49867.6,57740.7,46028.0,39804.0,46474.0,53415.0,37958.5,41403.8,47964.8,51458.0,48427.0,,47960.0,65109.2,,41890.1,49139.5,36449.7,46076.9,47973.0,78133.0,68930.6,832.0,18125.6,740.2,3163.0,4096.0,,6670.1,5915.0,-2021.5,5679.5,9040.4,,4455.1,2190.0,5057.6,12930.7,1218.0,-5006.0,1664.0,8605.0,-6851.5,-3406.2,3154.8,6648.0,3617.0,,3150.0,20299.2,,-2919.9,4329.5,-8360.3,1266.9,3163.0,33323.0,24120.6,False,True,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False
Arkansas,13855,15862.0,18887.6,15873.6,15930.0,14031.0,,15756.0,15396.0,13071.7,15743.2,19945.5,,17323.3,18088.0,18158.1,13110.1,16608.0,9352.7,15445.0,16499.7,15094.0,15171.2,15881.4,17954.0,15460.0,,17194.8,14202.2,,16075.1,16163.1,13588.4,17644.6,16941.0,20133.9,18013.3,2007.0,5032.6,2018.6,2075.0,176.0,,1901.0,1541.0,-783.3,1888.2,6090.5,,3468.3,4233.0,4303.1,-744.9,2753.0,-4502.3,1590.0,2644.7,1239.0,1316.2,2026.4,4099.0,1605.0,,3339.8,347.2,,2220.1,2308.1,-266.6,3789.6,3086.0,6278.9,4158.3,False,False,False,True,,True,True,True,True,False,,False,False,False,True,False,False,True,False,True,True,False,False,True,,False,True,,False,False,True,False,False,False,False
California,274773,293381.0,357908.5,295181.0,320271.0,312580.0,,297931.5,404187.0,278586.5,354950.1,394173.5,,398299.7,281022.0,332892.6,412661.1,,167590.5,173251.5,379227.4,381413.5,336863.6,309017.0,303122.0,319855.0,,333879.5,218734.6,,299760.6,239792.8,250274.7,406513.4,317060.0,789950.2,,18608.0,83135.5,20408.0,45498.0,37807.0,,23158.5,129414.0,3813.5,80177.1,119400.5,,123526.7,6249.0,58119.6,137888.1,,-107182.5,-101521.5,104454.4,106640.5,62090.6,34244.0,28349.0,45082.0,,59106.5,-56038.4,,24987.6,-34980.2,-24498.3,131740.4,42287.0,515177.2,,False,False,False,False,,False,False,True,False,False,,False,True,False,False,,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,
Colorado,17021,20964.0,27530.4,20891.2,19565.0,17305.0,,22205.2,16279.0,16972.8,15029.3,25231.0,,18679.5,22601.0,29426.2,14267.6,20490.0,17720.4,19209.0,20891.8,16565.0,18356.9,19538.4,24819.0,16174.0,,18092.1,19830.9,,19597.4,31544.8,19923.1,13426.0,20257.0,32649.7,23880.5,3943.0,10509.4,3870.2,2544.0,284.0,,5184.2,-742.0,-48.2,-1991.7,8210.0,,1658.5,5580.0,12405.2,-2753.4,3469.0,699.4,2188.0,3870.8,-456.0,1335.9,2517.4,7798.0,-847.0,,1071.1,2809.9,,2576.4,14523.8,2902.1,-3595.0,3236.0,15628.7,6859.5,False,True,True,True,,False,True,True,True,False,,True,False,False,True,True,True,True,True,True,True,True,False,True,,True,True,,True,False,True,True,True,False,False
Connecticut,9961,16021.0,14767.5,15393.6,16021.0,16613.0,,17309.7,17601.0,74858.9,17381.7,16639.9,,17824.0,16200.0,19511.3,16010.3,18000.0,16958.8,14586.0,16111.0,14954.0,14379.3,18699.0,15687.0,15751.0,,12916.2,22113.5,,15228.6,20044.6,14154.4,21804.7,12723.0,15703.1,26129.8,6060.0,4806.5,5432.6,6060.0,6652.0,,7348.7,7640.0,64897.9,7420.7,6678.9,,7863.0,6239.0,9550.3,6049.3,8039.0,6997.8,4625.0,6150.0,4993.0,4418.3,8738.0,5726.0,5790.0,,2955.2,12152.5,,5267.6,10083.6,4193.4,11843.7,2762.0,5742.1,16168.8,True,True,False,False,,False,False,False,False,False,,False,False,False,True,False,False,True,False,True,True,False,True,True,,True,False,,True,False,True,False,True,True,False
Delaware,4337,5260.0,7290.7,5170.0,5683.0,4800.0,,5824.0,6147.0,5666.6,4798.7,7048.9,,5505.9,5921.0,6837.3,5769.2,6087.0,3634.4,5474.5,8032.6,5576.0,4620.5,5868.5,6213.0,5429.0,,5272.6,7490.1,,5476.6,5862.8,4878.1,5843.9,5375.0,5818.1,8560.5,923.0,2953.7,833.0,1346.0,463.0,,1487.0,1810.0,1329.6,461.7,2711.9,,1168.9,1584.0,2500.3,1432.2,1750.0,-702.6,1137.5,3695.6,1239.0,283.5,1531.5,1876.0,1092.0,,935.6,3153.1,,1139.6,1525.8,541.1,1506.9,1038.0,1481.1,4223.5,False,True,False,True,,False,False,False,True,False,,False,False,False,False,False,True,False,False,False,True,False,False,False,,False,False,,False,False,True,False,False,False,False
District of Columbia,1368,1699.0,1784.2,1678.7,1738.0,1534.0,,1815.3,2254.0,1649.6,1805.9,2225.7,,1829.3,1718.0,2043.6,1615.6,1948.0,1903.9,1683.5,2358.0,1942.5,1693.0,,1966.0,1566.0,,1835.3,2624.3,,1696.3,1932.6,1440.2,,1697.0,2849.9,2556.9,331.0,416.2,310.7,370.0,166.0,,447.3,886.0,281.6,437.9,857.7,,461.3,350.0,675.6,247.6,580.0,535.9,315.5,990.0,574.5,325.0,,598.0,198.0,,467.3,1256.3,,328.3,564.6,72.2,,329.0,1481.9,1188.9,False,True,False,True,,False,False,True,False,False,,False,False,False,True,False,False,True,False,False,True,,False,True,,False,False,,True,False,True,,True,False,False
Florida,71423,76192.0,69277.4,76862.5,75772.0,77345.0,,75048.6,83810.0,71433.1,83757.8,95770.4,,82037.6,72512.0,78562.9,66224.4,72489.0,64210.5,70838.5,92808.5,72490.0,75352.4,82348.1,84499.0,83797.0,,79484.0,74933.7,,78613.7,71899.2,72197.7,78854.7,73312.0,110221.2,,4769.0,-2145.6,5439.5,4349.0,5922.0,,3625.6,12387.0,10.1,12334.8,24347.4,,10614.6,1089.0,7139.9,-5198.6,1066.0,-7212.5,-584.5,21385.5,1067.0,3929.4,10925.1,13076.0,12374.0,,8061.0,3510.7,,7190.7,476.2,774.7,7431.7,1889.0,38798.2,,True,False,True,False,,True,False,True,False,False,,False,True,False,False,True,False,True,False,True,True,False,False,False,,False,True,,False,True,True,False,True,False,
