,mean_rank
COVIDhub-ensemble,9.9
CMU-TimeSeries,9.9
LNQ-ens1,10.4
UMass-MechBayes,10.9
UCLA-SuEIR,12.1
USC-SI_kJalpha,13.0
Covid19Sim-Simulator,13.3
YYG-ParamSearch,13.4
OliverWyman-Navigator,13.4
COVIDhub-baseline,13.5
CovidAnalytics-DELPHI,13.6
GT-DeepCOVID,13.9
UA-EpiCovDA,14.1
Karlen-pypm,14.5
IHME-CurveFit,14.6
Auquan-SEIR,15.1
JCB-PRM,15.4
CU-select,15.9
IowaStateLW-STEM,16.0
LANL-GrowthRate,16.0
DDS-NBDS,16.1
MITCovAlliance-SIR,16.3
MOBS-GLEAM_COVID,16.4
RobertWalraven-ESG,17.0
UT-Mobility,18.7
USACE-ERDC_SEIR,18.9
NotreDame-mobility,20.4
PSI-DRAFT,20.9
JHU_IDD-CovidSP,21.4
