,count,mean,median,std,min,25%,75%,max
COVIDhub-ensemble,51,2629.2,225.0,10922.0,0.0,16.0,1601.0,77841.0
USC-SI_kJalpha,51,3380.6,324.0,8733.0,0.0,42.5,1937.0,50176.0
YYG-ParamSearch,51,3406.8,99.6,14910.4,0.0,15.9,1078.3,105452.8
UMass-MechBayes,51,4265.2,441.0,10465.5,1.0,16.0,2500.0,65536.0
JCB-PRM,51,4664.7,349.8,16433.4,0.0,15.4,1712.4,102611.7
LNQ-ens1,51,5005.0,916.6,14298.4,0.0,37.1,3110.8,76123.8
CMU-TimeSeries,51,5573.7,225.0,24607.1,0.0,9.0,1806.5,166464.0
OliverWyman-Navigator,51,6289.0,191.5,38403.9,0.0,19.3,1233.6,274890.4
CovidAnalytics-DELPHI,51,7592.1,784.0,21270.3,0.0,37.0,4225.0,136161.0
MOBS-GLEAM_COVID,50,9063.4,496.1,27782.0,0.0,57.0,3538.3,142877.8
DDS-NBDS,51,11023.2,474.1,29828.6,2.7,27.8,5413.2,155576.0
Baseline,51,11509.8,169.0,68105.2,0.0,36.9,2387.5,487403.4
UCLA-SuEIR,51,12452.2,241.4,51389.3,0.0,18.1,2781.3,337751.9
CEID-Walk,51,13031.4,175.6,70914.9,0.1,24.1,2990.5,507157.6
COVIDhub-baseline,51,13076.7,484.0,70864.7,0.0,25.0,3871.3,506986.3
NotreDame-mobility,51,14509.6,541.6,54872.0,0.3,69.6,5513.6,307896.3
UA-EpiCovDA,51,17828.6,144.0,104356.6,0.0,30.5,2320.0,744769.0
LANL-GrowthRate,51,18251.4,1210.8,60999.2,0.2,47.7,8191.0,371500.3
IowaStateLW-STEM,49,19148.3,1849.0,51731.3,0.0,65.0,5954.0,276676.0
CU-select,51,20115.8,1156.0,85431.8,0.0,197.0,6972.5,606841.0
GT-DeepCOVID,46,22484.2,259.4,76348.3,0.1,21.2,4417.6,453896.9
JHU_IDD-CovidSP,51,23636.1,5154.8,59807.7,6.2,561.1,19392.7,390033.6
Karlen-pypm,51,31830.8,571.2,143940.4,0.2,17.9,3198.1,962949.7
Google_Harvard-CPF,51,35443.7,1327.9,146824.0,14.5,358.3,7426.7,1011591.4
RobertWalraven-ESG,50,35536.4,1816.5,117990.5,0.0,146.9,12909.2,611508.4
USACE-ERDC_SEIR,51,36217.2,1305.1,78818.5,0.2,131.9,20465.6,370030.4
UT-Mobility,51,57330.7,552.2,247827.9,0.0,52.6,10201.0,1577536.0
epiforecasts-ensemble1,45,59757.6,5329.0,173506.6,1.0,162.2,21658.0,863041.0
Auquan-SEIR,51,80003.0,5329.0,256395.6,1.0,420.5,25028.0,1648656.0
PSI-DRAFT,51,113076.7,2500.0,425989.0,0.0,148.0,19038.5,2477476.0
MITCovAlliance-SIR,51,769986.1,6989.6,3155713.9,0.0,249.7,35153.4,19785175.5
TTU-squider,51,20492957.0,1237000.0,50311389.0,243.1,29169.4,9087091.9,266876004.6
