,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,2152,1424.0,1176.7,690.0,1103.8,-728.0,-975.3,-1462.0,-1048.2,False,False,False
Alaska,37,10.0,11.3,,11.5,-27.0,-25.7,,-25.5,True,,True
Arizona,5007,2477.7,2030.7,1557.0,2104.5,-2529.3,-2976.3,-3450.0,-2902.5,False,False,False
Arkansas,772,365.4,305.1,1132.0,340.5,-406.6,-466.9,360.0,-431.5,False,True,False
California,12894,10876.6,6887.4,6819.0,6946.9,-2018.4,-6007.6,-6076.0,-5948.1,False,False,False
Colorado,1942,2953.3,1851.0,1991.0,2523.7,1011.3,-91.0,49.0,581.7,True,True,True
Connecticut,4465,7642.3,4806.1,4200.0,5075.7,3177.3,341.1,-265.0,610.7,True,True,True
Delaware,604,824.9,499.0,435.0,488.2,220.9,-105.0,-169.0,-115.8,True,True,True
District of Columbia,605,1111.0,591.1,682.0,959.2,506.0,-13.9,77.0,354.2,True,True,True
Florida,11105,5895.3,3184.0,2996.0,4300.2,-5209.7,-7921.0,-8109.0,-6804.8,False,False,False
Georgia,5576,4834.0,2685.1,2461.0,2459.7,-742.0,-2890.9,-3115.0,-3116.3,False,False,False
Hawaii,62,17.0,18.1,,19.4,-45.0,-43.9,,-42.6,True,,True
Idaho,358,162.1,123.5,90.0,99.3,-195.9,-234.5,-268.0,-258.7,False,False,False
Illinois,8217,14265.0,8067.9,7904.0,9235.2,6048.0,-149.1,-313.0,1018.2,True,True,True
Indiana,3285,5093.9,2709.1,2811.0,2707.4,1808.9,-575.9,-474.0,-577.6,True,True,True
Iowa,1100,1911.0,722.5,796.0,878.4,811.0,-377.5,-304.0,-221.6,True,True,True
Kansas,449,343.6,346.9,421.0,355.6,-105.4,-102.1,-28.0,-93.4,True,True,True
Kentucky,921,1180.9,559.4,480.0,706.5,259.9,-361.6,-441.0,-214.5,False,False,True
Louisiana,4904,5462.4,3386.2,4484.0,3251.3,558.4,-1517.8,-420.0,-1652.7,False,True,False
Maine,132,188.9,163.3,322.0,101.6,56.9,31.3,190.0,-30.4,True,False,True
Maryland,3746,6226.3,4275.0,3526.0,4129.5,2480.3,529.0,-220.0,383.5,True,True,True
Massachusetts,9036,14339.9,8352.9,8493.0,9355.5,5303.9,-683.1,-543.0,319.5,True,True,True
Michigan,6712,9897.9,6166.9,6239.0,6383.4,3423.9,-307.1,-235.0,-90.6,True,True,True
Minnesota,1863,2915.0,1994.7,9904.0,1864.2,1052.0,131.7,8041.0,1.2,True,False,True
Mississippi,2427,2066.1,1372.4,1130.0,1060.3,-360.9,-1054.6,-1297.0,-1366.7,False,False,False
Missouri,1528,1877.7,875.9,1063.0,1610.1,431.7,-570.1,-383.0,164.1,False,True,True
Montana,104,16.0,17.0,18.0,21.4,-88.0,-87.0,-86.0,-82.6,True,True,True
Nebraska,392,479.6,427.3,436.0,377.8,87.6,35.3,44.0,-14.2,True,True,True
Nevada,1302,795.7,491.5,588.0,567.7,-506.3,-810.5,-714.0,-734.3,False,False,False
New Hampshire,432,721.7,268.1,326.0,517.7,289.7,-163.9,-106.0,85.7,True,True,True
New Jersey,15933,21877.3,12811.4,13164.0,14184.1,7733.3,-1332.6,-980.0,40.1,True,True,True
New Mexico,769,1037.6,481.1,582.0,663.7,268.6,-287.9,-187.0,-105.3,False,True,True
New York,32891,41737.1,32442.5,32448.0,32131.1,9830.1,535.5,541.0,224.1,True,True,True
North Carolina,2683,2142.0,1935.9,1832.0,1895.5,-541.0,-747.1,-851.0,-787.5,False,False,False
North Dakota,141,191.6,140.4,1302.0,106.7,50.6,-0.6,1161.0,-34.3,True,False,True
Ohio,4252,6735.9,3286.1,2568.0,3274.3,2483.9,-965.9,-1684.0,-977.7,True,True,True
Oklahoma,797,629.7,422.7,1413.0,392.1,-167.3,-374.3,616.0,-404.9,False,False,False
Oregon,454,300.4,183.2,160.0,223.8,-153.6,-270.8,-294.0,-230.2,False,False,False
Pennsylvania,7656,14018.4,6551.4,5826.0,8350.3,6362.4,-1104.6,-1830.0,694.3,True,True,True
Rhode Island,1046,2118.4,789.8,874.0,977.4,1083.4,-245.2,-161.0,-57.6,True,True,True
South Carolina,2698,1127.9,669.0,679.0,1020.3,-1570.1,-2029.0,-2019.0,-1677.7,False,False,False
South Dakota,167,133.1,146.0,441.0,82.8,-33.9,-21.0,274.0,-84.2,True,False,False
Tennessee,1725,862.6,806.6,744.0,450.6,-862.4,-918.4,-981.0,-1274.4,False,False,False
Texas,12607,4091.6,3579.3,6396.0,2922.8,-8430.4,-8942.7,-6126.0,-9599.2,False,True,False
Utah,407,332.6,380.1,126.0,247.6,-74.4,-26.9,-281.0,-159.4,True,False,False
Vermont,58,54.0,56.4,55.0,71.0,-4.0,-1.6,-3.0,13.0,True,True,False
Virginia,2568,3402.0,2183.2,1721.0,2024.1,834.0,-384.8,-847.0,-543.9,True,False,True
Washington,1905,1892.4,1365.0,1238.0,1271.2,-12.6,-540.0,-667.0,-633.8,False,False,False
West Virginia,215,141.3,97.8,75.0,156.9,-73.7,-117.2,-140.0,-58.1,False,False,True
Wisconsin,1119,1299.9,986.9,1392.0,872.5,180.9,-132.1,273.0,-246.5,True,False,False
Wyoming,37,67.4,26.0,13.0,14.5,30.4,-11.0,-24.0,-22.5,True,True,True
US,182714,210766.6,133936.9,145522.0,131430.3,31240.6,-45589.1,-34004.0,-48095.7,False,False,False
