,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,2152,2376.4,,2279.0,2730.0,2313.0,2147.0,2614.5,2406.0,1939.5,2013.0,,2115.5,2581.0,,,2159.8,2422.3,2172.0,2575.0,224.4,,127.0,578.0,161.0,-5.0,462.5,254.0,-212.5,-139.0,,-36.5,429.0,,,7.8,270.3,20.0,423.0,,True,False,True,True,False,False,True,True,,True,False,,,True,False,True,False
Alaska,37,29.7,,54.6,46.0,19.0,,93.3,57.1,41.5,39.4,,44.9,41.0,,,33.0,53.5,40.0,34.3,-7.3,,17.6,9.0,-18.0,,56.3,20.1,4.5,2.4,,7.9,4.0,,,-4.0,16.5,3.0,-2.7,,False,False,False,,False,False,True,True,,False,True,,,True,False,True,True
Arizona,5007,5947.3,,4716.7,4831.0,5028.4,5359.0,5078.2,5497.4,4840.6,3312.4,,7673.9,8785.5,,,5185.6,5166.7,5069.0,5492.1,940.3,,-290.3,-176.0,21.4,352.0,71.2,490.4,-166.4,-1694.6,,2666.9,3778.5,,,178.6,159.7,62.0,485.1,,True,True,True,True,True,True,True,False,,False,False,,,True,True,True,True
Arkansas,772,614.7,,752.0,694.0,618.7,584.0,1013.9,598.0,532.7,525.4,,645.0,581.0,,,569.9,654.5,595.0,634.3,-157.3,,-20.0,-78.0,-153.3,-188.0,241.9,-174.0,-239.3,-246.6,,-127.0,-191.0,,,-202.1,-117.5,-177.0,-137.7,,True,True,True,False,False,False,False,False,,True,False,,,False,True,False,True
California,12894,12008.3,,12957.2,14152.0,13005.8,12006.0,15530.9,13761.7,10095.2,13411.5,,10159.6,14119.0,,,11576.7,13515.2,11329.0,12337.9,-885.7,,63.2,1258.0,111.8,-888.0,2636.9,867.7,-2798.8,517.5,,-2734.4,1225.0,,,-1317.3,621.2,-1565.0,-556.1,,True,False,True,False,False,True,False,True,,False,False,,,False,True,False,True
Colorado,1942,1998.0,,2048.0,1990.0,2090.0,1959.0,2276.5,1929.1,1943.7,2210.8,,1895.1,1873.0,,,2046.8,2705.1,2042.0,2068.5,56.0,,106.0,48.0,148.0,17.0,334.5,-12.9,1.7,268.8,,-46.9,-69.0,,,104.8,763.1,100.0,126.5,,False,True,False,True,False,True,True,False,,True,False,,,False,False,False,False
Connecticut,4465,4495.6,,4447.9,4428.0,4580.1,4478.0,4570.8,4466.3,4589.5,4479.5,,4449.2,4457.0,,,4419.8,4739.2,4615.0,4503.3,30.6,,-17.1,-37.0,115.1,13.0,105.8,1.3,124.5,14.5,,-15.8,-8.0,,,-45.2,274.2,150.0,38.3,,True,False,False,True,False,True,False,True,,True,True,,,False,False,False,False
Delaware,604,851.0,,598.1,621.0,543.8,606.0,696.1,593.3,603.1,579.7,,540.7,579.0,,,938.4,722.2,709.0,617.1,247.0,,-5.9,17.0,-60.2,2.0,92.1,-10.7,-0.9,-24.3,,-63.3,-25.0,,,334.4,118.2,105.0,13.1,,True,True,True,True,True,True,True,True,,True,True,,,False,True,True,True
District of Columbia,605,595.6,,603.4,605.0,626.7,588.0,631.3,619.3,636.1,583.5,,599.8,588.0,,,583.1,704.1,602.0,606.1,-9.4,,-1.6,0.0,21.7,-17.0,26.3,14.3,31.1,-21.5,,-5.2,-17.0,,,-21.9,99.1,-3.0,1.1,,True,True,False,False,False,False,False,False,,True,False,,,False,False,True,True
Florida,11105,10089.4,,12340.1,11360.0,10477.5,9617.0,10400.4,22929.0,8984.1,6205.8,,10232.2,19458.0,,,10009.6,10772.6,8940.0,10114.8,-1015.6,,1235.1,255.0,-627.5,-1488.0,-704.6,11824.0,-2120.9,-4899.2,,-872.8,8353.0,,,-1095.4,-332.4,-2165.0,-990.2,,False,True,True,False,True,False,False,False,,True,False,,,False,True,False,True
Georgia,5576,5071.7,,5427.2,5597.0,4982.3,4411.0,5143.4,6786.5,4303.9,3923.4,,3800.7,3988.0,,,5437.4,5647.8,4947.0,5229.0,-504.3,,-148.8,21.0,-593.7,-1165.0,-432.6,1210.5,-1272.1,-1652.6,,-1775.3,-1588.0,,,-138.6,71.8,-629.0,-347.0,,True,True,False,False,True,False,False,False,,False,False,,,True,True,False,True
Hawaii,62,35.7,,39.5,29.0,27.5,,98.2,34.9,44.9,28.6,,102.6,273.0,,,29.3,66.4,56.0,42.6,-26.3,,-22.5,-33.0,-34.5,,36.2,-27.1,-17.1,-33.4,,40.6,211.0,,,-32.7,4.4,-6.0,-19.4,,True,False,False,,False,False,True,False,,False,False,,,False,True,True,True
Idaho,358,277.1,,500.1,292.0,195.8,245.0,522.1,324.2,213.9,243.4,,265.5,1386.5,,,250.6,267.5,289.0,327.0,-80.9,,142.1,-66.0,-162.2,-113.0,164.1,-33.8,-144.1,-114.6,,-92.5,1028.5,,,-107.4,-90.5,-69.0,-31.0,,False,True,False,False,False,True,False,False,,False,False,,,False,False,True,True
Illinois,8217,8085.4,,8201.7,7656.0,8002.8,8075.0,8851.7,8089.7,8052.1,8642.0,8266.0,7780.4,7960.0,,,8223.8,9838.4,8162.0,8197.7,-131.6,,-15.3,-561.0,-214.2,-142.0,634.7,-127.3,-164.9,425.0,49.0,-436.6,-257.0,,,6.8,1621.4,-55.0,-19.3,,True,False,False,False,False,True,False,False,True,False,False,,,True,False,True,True
Indiana,3285,3296.4,,3225.4,3265.0,3127.0,3146.0,3498.7,3364.7,3181.3,3462.9,3502.0,3044.5,3017.0,,,3292.5,4251.7,3444.0,3516.7,11.4,,-59.6,-20.0,-158.0,-139.0,213.7,79.7,-103.7,177.9,217.0,-240.5,-268.0,,,7.5,966.7,159.0,231.7,,False,False,False,False,False,False,False,False,False,False,False,,,True,False,False,False
Iowa,1100,1003.9,,1110.6,924.0,1112.1,959.0,1243.1,1293.1,924.0,970.0,,950.3,857.0,,,941.7,1162.8,983.0,1084.5,-96.1,,10.6,-176.0,12.1,-141.0,143.1,193.1,-176.0,-130.0,,-149.7,-243.0,,,-158.3,62.8,-117.0,-15.5,,True,False,True,False,False,False,False,False,,False,False,,,False,True,False,True
Kansas,449,437.9,,600.5,368.0,365.1,450.0,721.9,420.2,386.5,405.7,,373.8,405.0,,,436.1,523.3,416.0,439.1,-11.1,,151.5,-81.0,-83.9,1.0,272.9,-28.8,-62.5,-43.3,,-75.2,-44.0,,,-12.9,74.3,-33.0,-9.9,,False,False,False,True,False,False,False,False,,False,False,,,False,False,False,True
Kentucky,921,845.7,,973.5,953.0,881.5,806.0,1322.7,1151.9,837.5,1141.5,967.0,978.2,995.0,,,822.6,1214.8,873.0,1033.7,-75.3,,52.5,32.0,-39.5,-115.0,401.7,230.9,-83.5,220.5,46.0,57.2,74.0,,,-98.4,293.8,-48.0,112.7,,True,True,True,False,False,False,False,False,True,True,True,,,False,False,True,False
Louisiana,4904,4831.6,,4670.2,4905.0,4326.3,4866.0,4673.6,5053.4,4603.3,3890.2,,4094.4,4395.0,,,4909.2,6110.3,4729.0,4683.8,-72.4,,-233.8,1.0,-577.7,-38.0,-230.4,149.4,-300.7,-1013.8,,-809.6,-509.0,,,5.2,1206.3,-175.0,-220.2,,False,True,False,True,False,False,False,False,,False,False,,,True,False,False,False
Maine,132,128.7,,122.8,124.0,139.6,145.0,164.9,132.1,125.6,145.9,,130.9,126.0,,,120.6,143.7,132.0,133.0,-3.3,,-9.2,-8.0,7.6,13.0,32.9,0.1,-6.4,13.9,,-1.1,-6.0,,,-11.4,11.7,0.0,1.0,,False,False,False,False,False,True,False,False,,True,False,,,False,False,True,True
Maryland,3746,3746.0,,3734.7,3662.0,3823.5,3791.0,3957.3,3707.2,3710.4,3725.3,,3655.2,3600.0,,,3779.3,4618.0,3857.0,3974.1,0.0,,-11.3,-84.0,77.5,45.0,211.3,-38.8,-35.6,-20.7,,-90.8,-146.0,,,33.3,872.0,111.0,228.1,,False,False,False,False,False,False,False,False,,False,False,,,False,False,False,False
Massachusetts,9036,9005.0,,8558.1,8585.0,9286.1,8732.0,9031.2,8647.8,9144.2,8461.3,,8676.0,8602.0,,,8858.9,9443.2,9165.0,8879.9,-31.0,,-477.9,-451.0,250.1,-304.0,-4.8,-388.2,108.2,-574.7,,-360.0,-434.0,,,-177.1,407.2,129.0,-156.1,,False,False,False,False,True,False,False,False,,False,False,,,False,False,False,False
Michigan,6712,6565.1,,6736.7,6710.0,6858.9,6748.0,7404.5,6717.4,6644.5,7349.5,14122.5,6882.0,6452.0,,,6569.4,8140.1,6539.0,6580.5,-146.9,,24.7,-2.0,146.9,36.0,692.5,5.4,-67.5,637.5,7410.5,170.0,-260.0,,,-142.6,1428.1,-173.0,-131.5,,True,True,False,True,False,True,True,False,False,False,False,,,True,False,False,True
Minnesota,1863,1774.3,,1938.4,1719.0,1755.6,1812.0,1975.5,1905.2,1775.8,1821.1,1783.0,1657.0,1635.0,,,1769.8,2457.2,1805.0,1845.0,-88.7,,75.4,-144.0,-107.4,-51.0,112.5,42.2,-87.2,-41.9,-80.0,-206.0,-228.0,,,-93.2,594.2,-58.0,-18.0,,True,False,False,True,False,True,True,True,True,False,False,,,False,False,True,True
Mississippi,2427,2163.3,,2305.4,2268.0,2032.0,1924.0,2249.6,2018.0,2008.3,2050.7,,2059.2,2428.0,,,2079.3,2682.3,2307.0,2229.1,-263.7,,-121.6,-159.0,-395.0,-503.0,-177.4,-409.0,-418.7,-376.3,,-367.8,1.0,,,-347.7,255.3,-120.0,-197.9,,True,True,False,False,True,False,False,False,,False,True,,,False,True,True,True
