,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2152,1427.1,1408.0,1171.5,858.0,1018.5,2039.3,-724.9,-744.0,-980.5,-1294.0,-1133.5,-112.7,False,False,False,False,True
Alaska,37,10.0,15.0,11.2,,11.0,11.5,-27.0,-22.0,-25.8,,-26.0,-25.5,True,True,,True,True
Arizona,5007,2758.4,1735.7,5800.9,1847.0,2921.5,3356.4,-2248.6,-3271.3,793.9,-3160.0,-2085.5,-1650.6,False,True,False,True,True
Arkansas,772,403.0,456.6,1738.8,392.0,439.8,549.0,-369.0,-315.4,966.8,-380.0,-332.2,-223.0,True,False,False,True,True
California,12894,10086.3,8737.8,9909.6,6672.0,7305.6,12782.3,-2807.7,-4156.2,-2984.4,-6222.0,-5588.4,-111.7,False,False,False,False,True
Colorado,1942,2499.3,1826.4,2176.4,1722.0,2471.6,2769.2,557.3,-115.6,234.4,-220.0,529.6,827.2,True,True,True,True,False
Connecticut,4465,5576.9,4528.3,4322.9,4427.0,5009.5,5105.4,1111.9,63.3,-142.1,-38.0,544.5,640.4,True,True,True,True,True
Delaware,604,777.4,463.0,484.2,466.0,510.8,719.0,173.4,-141.0,-119.8,-138.0,-93.2,115.0,True,True,True,True,True
District of Columbia,605,761.7,573.9,609.2,651.0,841.9,706.5,156.7,-31.1,4.2,46.0,236.9,101.5,True,True,True,False,True
Florida,11105,5652.4,3666.1,5090.4,4274.0,4786.4,7083.3,-5452.6,-7438.9,-6014.6,-6831.0,-6318.6,-4021.7,False,False,False,False,True
Georgia,5576,3685.9,2964.0,5415.3,2624.0,2913.8,4086.4,-1890.1,-2612.0,-160.7,-2952.0,-2662.2,-1489.6,False,True,False,False,True
