,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,2152,1627.6,1698.8,1645.2,1404.0,,1477.3,1770.6,1119.4,2073.6,-524.4,-453.2,-506.8,-748.0,,-674.7,-381.4,-1032.6,-78.4,True,True,False,,False,True,False,True
Alaska,37,31.7,26.8,15.6,,,15.1,32.6,21.0,27.6,-5.3,-10.2,-21.4,,,-21.9,-4.4,-16.0,-9.4,False,False,,,False,True,False,False
Arizona,5007,3764.0,6356.0,3673.7,2414.0,,3473.3,5781.0,3947.7,4235.0,-1243.0,1349.0,-1333.3,-2593.0,,-1533.7,774.0,-1059.3,-772.0,False,False,False,,False,True,True,True
Arkansas,772,609.4,780.8,639.6,521.0,,438.7,818.5,347.7,727.6,-162.6,8.8,-132.4,-251.0,,-333.3,46.5,-424.3,-44.4,True,True,False,,False,True,False,True
California,12894,9625.4,11030.0,9050.6,6999.0,,9031.3,12137.0,7277.0,11542.5,-3268.6,-1864.0,-3843.4,-5895.0,,-3862.7,-757.0,-5617.0,-1351.5,True,False,False,,False,True,False,True
Colorado,1942,1932.9,1907.8,1962.4,1827.0,,1840.7,1949.4,2145.2,2150.9,-9.1,-34.2,20.4,-115.0,,-101.3,7.4,203.2,208.9,False,False,False,,False,True,False,False
Connecticut,4465,4812.0,4503.4,4548.2,4419.0,,4526.7,4572.8,4454.0,4715.6,347.0,38.4,83.2,-46.0,,61.7,107.8,-11.0,250.6,True,True,True,,True,True,True,True
Delaware,604,1144.7,535.4,568.0,609.0,,561.2,546.4,722.7,654.1,540.7,-68.6,-36.0,5.0,,-42.8,-57.6,118.7,50.1,True,True,True,,True,True,True,True
District of Columbia,605,700.6,589.5,619.2,661.0,,620.8,602.1,574.6,672.4,95.6,-15.5,14.2,56.0,,15.8,-2.9,-30.4,67.4,True,True,True,,True,True,True,True
Florida,11105,5704.1,16626.5,8471.6,5346.0,,6186.6,18955.7,28944.4,6915.4,-5400.9,5521.5,-2633.4,-5759.0,,-4918.4,7850.7,17839.4,-4189.6,False,True,False,,True,False,False,True
