,mean_rank
COVIDhub-ensemble,8.6
YYG-ParamSearch,9.9
CEID-Walk,10.3
OliverWyman-Navigator,10.4
COVIDhub-baseline,10.5
USC-SI_kJalpha,10.5
UMass-MechBayes,11.7
LNQ-ens1,11.8
CMU-TimeSeries,12.0
UA-EpiCovDA,12.1
UCLA-SuEIR,12.6
GT-DeepCOVID,13.1
JCB-PRM,13.2
CovidAnalytics-DELPHI,13.5
MOBS-GLEAM_COVID,14.2
Karlen-pypm,15.0
CU-select,15.2
UMich-RidgeTfReg,15.3
LANL-GrowthRate,15.6
Auquan-SEIR,16.0
IHME-CurveFit,16.1
PSI-DRAFT,17.5
NotreDame-mobility,17.6
USACE-ERDC_SEIR,17.8
DDS-NBDS,18.0
RobertWalraven-ESG,19.3
JHU_IDD-CovidSP,20.3
