,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,2152,2259.3,,2179.2,2622.0,1841.8,1945.0,2015.0,2206.6,,2350.7,3885.5,,2102.3,2992.0,2906.7,2518.8,107.3,,27.2,470.0,-310.2,-207.0,-137.0,54.6,,198.7,1733.5,,-49.7,840.0,754.7,366.8,,True,False,False,False,False,True,,False,False,,True,False,False,False
Alaska,37,23.9,,56.2,39.0,22.7,,31.7,39.9,,57.0,60.5,,26.2,53.9,52.8,24.5,-13.1,,19.2,2.0,-14.3,,-5.3,2.9,,20.0,23.5,,-10.8,16.9,15.8,-12.5,,False,True,False,,True,True,,False,False,,True,False,False,True
Arizona,5007,5830.1,,5047.2,5072.0,4046.9,5082.0,4275.9,2684.9,,6587.6,8970.5,,4950.2,8526.6,5315.9,5145.7,823.1,,40.2,65.0,-960.1,75.0,-731.1,-2322.1,,1580.6,3963.5,,-56.8,3519.6,308.9,138.7,,True,True,False,True,True,False,,False,False,,True,False,True,True
Arkansas,772,567.9,,737.7,671.0,508.1,521.0,494.6,506.3,,644.9,701.0,,501.8,1037.0,613.5,609.4,-204.1,,-34.3,-101.0,-263.9,-251.0,-277.4,-265.7,,-127.1,-71.0,,-270.2,265.0,-158.5,-162.6,,True,True,False,False,False,False,,True,True,,False,False,True,True
California,12894,11604.1,,13166.0,14000.0,14258.1,11692.0,9622.9,13834.4,,10365.1,11598.5,,11136.0,17416.2,12192.5,11711.6,-1289.9,,272.0,1106.0,1364.1,-1202.0,-3271.1,940.4,,-2528.9,-1295.5,,-1758.0,4522.2,-701.5,-1182.4,,True,True,False,True,False,True,,False,False,,False,False,True,True
Colorado,1942,1910.1,,2029.2,1920.0,1897.0,1906.0,1886.7,2122.7,,1919.9,2080.0,,1931.7,2131.0,2239.6,2145.0,-31.9,,87.2,-22.0,-45.0,-36.0,-55.3,180.7,,-22.1,138.0,,-10.3,189.0,297.6,203.0,,False,True,False,False,False,False,,True,False,,True,False,False,False
Connecticut,4465,4677.1,,4455.2,4416.0,4417.4,4520.0,4531.6,4442.0,,4435.4,4639.0,,4564.8,4610.8,4491.5,4506.9,212.1,,-9.8,-49.0,-47.6,55.0,66.6,-23.0,,-29.6,174.0,,99.8,145.8,26.5,41.9,,True,True,True,True,True,True,,True,True,,True,True,True,True
Delaware,604,558.1,,614.0,576.0,539.0,563.0,560.7,584.8,,534.3,674.0,,572.4,656.5,543.7,584.2,-45.9,,10.0,-28.0,-65.0,-41.0,-43.3,-19.2,,-69.7,70.0,,-31.6,52.5,-60.3,-19.8,,True,True,False,True,True,True,,False,False,,True,False,False,True
District of Columbia,605,636.6,,599.4,606.0,629.8,623.0,646.7,574.3,,601.3,691.0,,623.2,698.3,711.9,629.3,31.6,,-5.6,1.0,24.8,18.0,41.7,-30.7,,-3.7,86.0,,18.2,93.3,106.9,24.3,,True,True,True,True,False,True,,True,False,,True,False,False,True
Florida,11105,9316.3,,13583.4,11747.0,10254.2,10003.0,9120.1,5284.2,,9553.1,15643.0,,8827.4,21861.3,8540.2,11082.4,-1788.7,,2478.4,642.0,-850.8,-1102.0,-1984.9,-5820.8,,-1551.9,4538.0,,-2277.6,10756.3,-2564.8,-22.6,,False,True,True,True,False,False,,True,False,,False,False,False,True
