,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,2152,1652.4,1773.1,2654.3,1063.0,,1484.9,1793.1,1961.0,-499.6,-378.9,502.3,-1089.0,,-667.1,-358.9,-191.0,True,False,False,,False,True,True
Alaska,37,33.7,21.5,27.2,,,13.9,34.7,13.9,-3.3,-15.5,-9.8,,,-23.1,-2.3,-23.1,False,False,,,False,True,False
Arizona,5007,2711.0,5523.0,5228.4,2999.0,,2536.1,5708.4,3381.2,-2296.0,516.0,221.4,-2008.0,,-2470.9,701.4,-1625.8,True,True,True,,False,True,True
Arkansas,772,450.4,583.4,896.9,997.0,,532.3,607.7,578.1,-321.6,-188.6,124.9,225.0,,-239.7,-164.3,-193.9,True,True,True,,True,True,True
California,12894,10169.3,9922.7,10416.9,7319.0,,7633.1,10808.2,12825.1,-2724.7,-2971.3,-2477.1,-5575.0,,-5260.9,-2085.8,-68.9,False,True,False,,False,True,True
Colorado,1942,2368.9,1998.5,3970.7,1751.0,,1889.3,1875.1,2592.7,426.9,56.5,2028.7,-191.0,,-52.7,-66.9,650.7,True,False,True,,True,True,False
Connecticut,4465,5612.4,4731.1,4414.7,4507.0,,4655.5,4370.0,5099.7,1147.4,266.1,-50.3,42.0,,190.5,-95.0,634.7,True,True,True,,True,True,True
Delaware,604,682.6,527.4,542.3,483.0,,517.8,482.6,683.7,78.6,-76.6,-61.7,-121.0,,-86.2,-121.4,79.7,True,True,False,,False,False,False
District of Columbia,605,797.3,664.0,645.4,655.0,,629.7,594.5,716.8,192.3,59.0,40.4,50.0,,24.7,-10.5,111.8,True,True,True,,True,True,True
Florida,11105,5439.0,6119.2,9373.3,6242.0,,4839.1,6141.0,6918.7,-5666.0,-4985.8,-1731.7,-4863.0,,-6265.9,-4964.0,-4186.3,True,True,True,,False,True,True
Georgia,5576,5393.3,3389.5,6573.4,2948.0,,4336.5,3284.2,5038.8,-182.7,-2186.5,997.4,-2628.0,,-1239.5,-2291.8,-537.2,False,False,False,,False,False,False
Hawaii,62,17.0,19.3,22.9,,,18.2,23.1,20.1,-45.0,-42.7,-39.1,,,-43.8,-38.9,-41.9,True,True,,,True,True,True
Idaho,358,130.4,147.6,101.2,88.0,,97.4,112.4,104.4,-227.6,-210.4,-256.8,-270.0,,-260.6,-245.6,-253.6,True,False,False,,False,False,False
Illinois,8217,10694.3,7587.9,7802.8,8127.0,,7648.1,7093.8,10566.5,2477.3,-629.1,-414.2,-90.0,,-568.9,-1123.2,2349.5,True,True,True,,True,True,True
Indiana,3285,3714.0,3152.9,3116.4,2514.0,,2833.3,3200.4,3785.9,429.0,-132.1,-168.6,-771.0,,-451.7,-84.6,500.9,True,True,False,,False,True,False
Iowa,1100,1162.3,1205.2,1123.7,821.0,,897.0,889.7,1072.8,62.3,105.2,23.7,-279.0,,-203.0,-210.3,-27.2,False,True,False,,False,False,True
Kansas,449,375.3,313.8,379.3,339.0,,292.1,202.7,368.7,-73.7,-135.2,-69.7,-110.0,,-156.9,-246.3,-80.3,False,True,False,,False,False,False
Kentucky,921,813.9,729.0,759.7,597.0,,787.7,744.2,1065.4,-107.1,-192.0,-161.3,-324.0,,-133.3,-176.8,144.4,False,False,False,,False,False,False
Louisiana,4904,3860.9,3760.6,3995.8,4013.0,,3348.8,3256.5,4050.5,-1043.1,-1143.4,-908.2,-891.0,,-1555.2,-1647.5,-853.5,False,True,True,,False,False,True
Maine,132,110.9,130.7,159.7,132.0,,110.3,174.2,143.8,-21.1,-1.3,27.7,0.0,,-21.7,42.2,11.8,True,False,True,,False,False,True
Maryland,3746,5001.9,4008.0,4471.5,3896.0,,3562.8,3765.2,4847.8,1255.9,262.0,725.5,150.0,,-183.2,19.2,1101.8,True,True,True,,True,True,True
Massachusetts,9036,10968.0,8505.3,8428.1,8929.0,,8515.3,8302.0,9446.0,1932.0,-530.7,-607.9,-107.0,,-520.7,-734.0,410.0,True,True,True,,True,True,True
Michigan,6712,6982.3,6481.8,7652.3,7698.0,,6697.9,6308.2,6862.6,270.3,-230.2,940.3,986.0,,-14.1,-403.8,150.6,True,False,False,,True,False,True
Minnesota,1863,2762.1,2082.2,2533.6,2789.0,,1867.5,1461.2,2854.4,899.1,219.2,670.6,926.0,,4.5,-401.8,991.4,True,True,False,,True,True,False
Mississippi,2427,1694.4,1954.4,1302.7,1170.0,,1219.6,1451.0,1918.9,-732.6,-472.6,-1124.3,-1257.0,,-1207.4,-976.0,-508.1,True,False,False,,False,False,True
