,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,2152,1645.7,1425.7,766.0,1183.4,-506.3,-726.3,-1386.0,-968.6,False,False,False
Alaska,37,10.0,11.7,,11.6,-27.0,-25.3,,-25.4,True,,True
Arizona,5007,2269.9,1479.8,1672.0,2117.4,-2737.1,-3527.2,-3335.0,-2889.6,False,False,False
Arkansas,772,351.6,369.3,850.0,287.5,-420.4,-402.7,78.0,-484.5,True,True,False
California,12894,9559.1,7999.7,7632.0,9012.8,-3334.9,-4894.3,-5262.0,-3881.2,False,False,False
Colorado,1942,2897.9,1774.0,1937.0,2501.7,955.9,-168.0,-5.0,559.7,True,True,True
Connecticut,4465,7171.1,4659.1,4355.0,5079.9,2706.1,194.1,-110.0,614.9,True,True,True
Delaware,604,880.3,468.9,460.0,515.0,276.3,-135.1,-144.0,-89.0,True,True,True
District of Columbia,605,903.1,579.4,719.0,877.5,298.1,-25.6,114.0,272.5,True,True,True
Florida,11105,5202.4,3399.1,3319.0,5278.9,-5902.6,-7705.9,-7786.0,-5826.1,False,False,True
Georgia,5576,4958.7,2857.0,2634.0,2875.5,-617.3,-2719.0,-2942.0,-2700.5,False,False,False
Hawaii,62,17.0,17.8,,18.9,-45.0,-44.2,,-43.1,True,,True
Idaho,358,120.6,132.5,87.0,94.8,-237.4,-225.5,-271.0,-263.2,True,False,False
Illinois,8217,12255.7,7461.0,7979.0,8945.4,4038.7,-756.0,-238.0,728.4,True,True,True
Indiana,3285,4165.4,2642.3,2862.0,2754.3,880.4,-642.7,-423.0,-530.7,True,True,True
Iowa,1100,1550.7,842.1,829.0,881.2,450.7,-257.9,-271.0,-218.8,True,True,True
Kansas,449,343.6,306.9,341.0,306.7,-105.4,-142.1,-108.0,-142.3,False,False,False
