,actual_deaths,Baseline,Auquan-SEIR,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,2152,2170.9,2214.0,2211.9,2315.0,2211.0,2211.0,2256.0,,2147.0,2833.9,2179.7,,2097.3,2326.9,2454.7,2531.4,2072.6,2099.0,2211.2,,2380.5,2227.0,2035.0,,2354.2,2142.5,,2198.0,2156.7,,2163.0,2286.6,2300.9,2144.0,2180.9,2109.0,18.9,62.0,59.9,163.0,59.0,59.0,104.0,,-5.0,681.9,27.7,,-54.7,174.9,302.7,379.4,-79.4,-53.0,59.2,,228.5,75.0,-117.0,,202.2,-9.5,,46.0,4.7,,11.0,134.6,148.9,-8.0,28.9,-43.0,False,False,False,False,False,False,,True,False,False,,False,False,False,False,False,False,False,,False,False,False,,False,True,,False,True,,True,False,False,True,False,False
Alaska,37,31.7,42.0,32.2,37.0,32.0,34.0,26.0,,40.0,44.2,33.4,,32.9,41.6,72.5,39.3,30.9,28.2,36.2,,51.7,32.6,43.0,,,32.2,,37.0,30.9,,34.0,31.0,38.4,27.0,34.9,,-5.3,5.0,-4.8,0.0,-5.0,-3.0,-11.0,,3.0,7.2,-3.6,,-4.1,4.6,35.5,2.3,-6.1,-8.8,-0.8,,14.7,-4.4,6.0,,,-4.8,,0.0,-6.1,,-3.0,-6.0,1.4,-10.0,-2.1,,True,True,True,True,True,False,,True,False,True,,True,True,False,True,False,False,True,,False,True,False,,,True,,True,False,,True,False,True,False,True,
Arizona,5007,5250.0,5311.0,5312.0,5467.0,5307.1,5224.0,4815.0,,5271.0,7367.0,,,5268.0,5130.7,4978.2,5399.0,4698.1,4776.5,4955.3,,5426.5,4804.3,4919.0,,6066.6,5381.8,,4796.0,5013.4,,4786.0,6093.3,5070.3,4787.0,5201.8,4657.0,243.0,304.0,305.0,460.0,300.1,217.0,-192.0,,264.0,2360.0,,,261.0,123.7,-28.8,392.0,-308.9,-230.5,-51.7,,419.5,-202.7,-88.0,,1059.6,374.8,,-211.0,6.4,,-221.0,1086.3,63.3,-220.0,194.8,-350.0,False,False,False,False,True,True,,False,False,,,False,True,True,False,False,True,True,,False,True,True,,False,False,,True,True,,True,False,True,True,True,False
Arkansas,772,772.6,763.0,763.7,728.0,766.0,733.0,788.0,,694.0,869.9,728.1,,720.9,741.3,920.0,725.8,690.6,743.1,752.4,,765.6,847.1,722.0,,,627.7,,978.0,734.5,,707.0,746.2,703.0,757.0,729.0,679.0,0.6,-9.0,-8.3,-44.0,-6.0,-39.0,16.0,,-78.0,97.9,-43.9,,-51.1,-30.7,148.0,-46.2,-81.4,-28.9,-19.6,,-6.4,75.1,-50.0,,,-144.3,,206.0,-37.5,,-65.0,-25.8,-69.0,-15.0,-43.0,-93.0,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,,False,False,False,False,False,False
California,12894,13179.9,12914.0,13129.8,13287.0,13192.7,12962.0,12608.0,,13117.0,14239.9,12679.6,,12997.6,13013.9,14081.2,14233.3,12028.4,13045.6,13133.1,,11923.2,12833.4,14019.0,,13501.7,16996.8,,12921.0,12771.4,11669.0,12482.0,12949.9,13342.0,12507.0,13009.1,12173.0,285.9,20.0,235.8,393.0,298.7,68.0,-286.0,,223.0,1345.9,-214.4,,103.6,119.9,1187.2,1339.3,-865.6,151.6,239.1,,-970.8,-60.6,1125.0,,607.7,4102.8,,27.0,-122.6,-1225.0,-412.0,55.9,448.0,-387.0,115.1,-721.0,True,True,False,False,True,False,,True,False,True,,True,True,False,False,False,True,True,,False,True,False,,False,False,,True,True,False,False,True,False,False,True,False
Colorado,1942,1898.0,2073.0,1893.7,1994.0,1907.4,1966.0,1985.0,,1978.0,1950.6,1963.4,,2101.9,2018.0,2101.7,2032.4,1919.4,1909.3,1897.2,,1939.9,1903.2,1987.0,,2025.1,1960.3,,1959.0,1894.0,,1935.0,1963.9,2217.2,1923.0,1987.7,,-44.0,131.0,-48.3,52.0,-34.6,24.0,43.0,,36.0,8.6,21.4,,159.9,76.0,159.7,90.4,-22.6,-32.7,-44.8,,-2.1,-38.8,45.0,,83.1,18.3,,17.0,-48.0,,-7.0,21.9,275.2,-19.0,45.7,,False,False,False,True,True,True,,True,True,True,,False,False,False,False,True,True,False,,True,True,False,,False,True,,True,False,,True,True,False,True,False,
Connecticut,4465,4466.7,4640.0,4474.0,4486.0,4515.6,4474.0,4468.0,,4448.0,4465.5,4517.7,,4502.8,4486.4,4506.6,4476.7,4458.4,4454.3,4511.2,,4454.9,4467.2,4473.5,,4548.1,4479.5,,4459.0,4466.7,,4458.0,4505.4,4611.4,4459.0,4479.3,,1.7,175.0,9.0,21.0,50.6,9.0,3.0,,-17.0,0.5,52.7,,37.8,21.4,41.6,11.7,-6.6,-10.7,46.2,,-10.1,2.2,8.5,,83.1,14.5,,-6.0,1.7,,-7.0,40.4,146.4,-6.0,14.3,,False,False,False,False,False,False,,False,True,False,,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,True,,False,False,False,False,False,
Delaware,604,608.1,656.0,645.2,609.0,610.3,611.0,611.0,,615.0,630.6,678.0,,605.5,610.2,631.1,598.7,600.5,599.2,625.1,,691.3,609.4,609.0,,,767.9,,609.0,608.8,,607.0,648.3,661.4,596.0,613.0,,4.1,52.0,41.2,5.0,6.3,7.0,7.0,,11.0,26.6,74.0,,1.5,6.2,27.1,-5.3,-3.5,-4.8,21.1,,87.3,5.4,5.0,,,163.9,,5.0,4.8,,3.0,44.3,57.4,-8.0,9.0,,False,False,False,False,False,False,,False,False,False,,True,False,False,False,True,False,False,,False,False,False,,,False,,False,False,,True,False,False,False,False,
District of Columbia,605,605.3,644.0,608.0,605.0,607.0,607.0,620.0,,608.0,603.0,605.7,,589.8,608.2,608.4,605.2,609.4,595.2,,,594.9,606.7,592.0,,,,,608.0,608.1,,609.0,,658.4,604.0,608.6,,0.3,39.0,3.0,0.0,2.0,2.0,15.0,,3.0,-2.0,0.7,,-15.2,3.2,3.4,0.2,4.4,-9.8,,,-10.1,1.7,-13.0,,,,,3.0,3.1,,4.0,,53.4,-1.0,3.6,,False,False,True,False,False,False,,False,False,False,,False,False,False,True,False,False,,,False,False,False,,,,,False,False,,False,,False,False,False,
Florida,11105,11334.6,11378.0,11411.6,11779.0,11370.2,11222.0,10489.0,,10380.0,15056.6,10232.4,,12009.0,11282.4,11399.4,12277.2,10397.7,10974.2,10130.0,,11605.5,10911.6,10122.5,,13140.0,14685.2,,11183.0,10556.4,,10764.0,11870.6,10869.4,10910.0,11314.6,10583.0,229.6,273.0,306.6,674.0,265.2,117.0,-616.0,,-725.0,3951.6,-872.6,,904.0,177.4,294.4,1172.2,-707.3,-130.8,-975.0,,500.5,-193.4,-982.5,,2035.0,3580.2,,78.0,-548.6,,-341.0,765.6,-235.6,-195.0,209.6,-522.0,False,False,False,False,True,False,,False,False,False,,False,True,False,False,False,True,False,,False,True,False,,False,False,,True,False,,False,False,False,True,True,False
