,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,2152,1489.6,1810.4,1717.3,1225.0,,1650.9,1750.9,1839.3,-662.4,-341.6,-434.7,-927.0,,-501.1,-401.1,-312.7,True,True,False,,True,True,True
Alaska,37,12.0,21.9,21.6,,,13.6,34.7,20.3,-25.0,-15.1,-15.4,,,-23.4,-2.3,-16.7,True,True,,,True,True,True
Arizona,5007,2906.4,5366.4,4433.2,3439.0,,3766.4,7636.7,3600.0,-2100.6,359.4,-573.8,-1568.0,,-1240.6,2629.7,-1407.0,True,True,True,,True,False,True
Arkansas,772,678.4,658.4,856.3,1087.0,,608.2,733.8,671.9,-93.6,-113.6,84.3,315.0,,-163.8,-38.2,-100.1,False,True,False,,False,True,False
California,12894,9615.6,10062.2,10184.1,7711.0,,8033.6,11511.4,11035.7,-3278.4,-2831.8,-2709.9,-5183.0,,-4860.4,-1382.6,-1858.3,True,True,False,,False,True,True
Colorado,1942,2130.0,1922.4,1843.0,1763.0,,1864.7,1949.9,2266.2,188.0,-19.6,-99.0,-179.0,,-77.3,7.9,324.2,True,True,True,,True,True,False
Connecticut,4465,4841.6,4582.6,4500.6,4431.0,,4607.5,4514.5,4660.9,376.6,117.6,35.6,-34.0,,142.5,49.5,195.9,True,True,True,,True,True,True
Delaware,604,563.1,522.0,500.2,475.0,,513.3,473.5,584.0,-40.9,-82.0,-103.8,-129.0,,-90.7,-130.5,-20.0,False,False,False,,False,False,True
District of Columbia,605,710.4,610.5,648.9,646.0,,641.1,605.7,646.3,105.4,5.5,43.9,41.0,,36.1,0.7,41.3,True,True,True,,True,True,True
Florida,11105,5428.1,7949.4,10019.6,5735.0,,4956.1,9531.2,6706.1,-5676.9,-3155.6,-1085.4,-5370.0,,-6148.9,-1573.8,-4398.9,True,True,True,,False,True,True
Georgia,5576,4535.6,3780.4,5513.0,3215.0,,3701.2,3731.2,4951.7,-1040.4,-1795.6,-63.0,-2361.0,,-1874.8,-1844.8,-624.3,False,True,False,,False,False,True
Hawaii,62,17.0,21.3,28.5,,,18.2,23.9,20.0,-45.0,-40.7,-33.5,,,-43.8,-38.1,-42.0,True,True,,,True,True,True
Idaho,358,108.7,165.0,116.4,131.0,,96.9,133.5,122.8,-249.3,-193.0,-241.6,-227.0,,-261.1,-224.5,-235.2,True,True,True,,False,True,True
Illinois,8217,9988.6,7456.6,8287.7,8087.0,,7653.6,7222.8,9144.7,1771.6,-760.4,70.7,-130.0,,-563.4,-994.2,927.7,True,True,True,,True,True,True
Indiana,3285,3703.1,3055.9,3131.4,2681.0,,2847.5,3351.0,3818.3,418.1,-229.1,-153.6,-604.0,,-437.5,66.0,533.3,True,True,False,,False,True,False
Iowa,1100,1021.1,1044.7,856.0,800.0,,888.5,891.1,1022.3,-78.9,-55.3,-244.0,-300.0,,-211.5,-208.9,-77.7,True,False,False,,False,False,True
Kansas,449,375.3,332.4,388.2,332.0,,293.3,218.1,388.6,-73.7,-116.6,-60.8,-117.0,,-155.7,-230.9,-60.4,False,True,False,,False,False,True
Kentucky,921,792.1,731.3,778.0,644.0,,814.7,744.0,867.0,-128.9,-189.7,-143.0,-277.0,,-106.3,-177.0,-54.0,False,False,False,,True,False,True
Louisiana,4904,4002.0,3737.1,3979.8,4167.0,,3338.9,3290.8,3916.3,-902.0,-1166.9,-924.2,-737.0,,-1565.1,-1613.2,-987.7,False,False,True,,False,False,False
Maine,132,121.7,128.8,114.8,114.0,,109.8,139.9,129.7,-10.3,-3.2,-17.2,-18.0,,-22.2,7.9,-2.3,True,False,False,,False,True,True
Maryland,3746,4317.9,3768.1,3554.7,3707.0,,3549.6,3627.9,4143.1,571.9,22.1,-191.3,-39.0,,-196.4,-118.1,397.1,True,True,True,,True,True,True
Massachusetts,9036,10153.7,8405.0,8703.7,8672.0,,8562.9,8271.6,8922.7,1118.7,-630.0,-331.3,-363.0,,-472.1,-763.4,-112.3,True,True,True,,True,True,True
Michigan,6712,6819.4,6382.7,6462.1,7016.0,,6602.6,6354.4,6540.5,107.4,-329.3,-249.9,304.0,,-109.4,-357.6,-171.5,False,False,False,,False,False,False
Minnesota,1863,2230.1,1898.8,1801.8,2633.0,,1851.1,1513.3,2479.6,367.1,35.8,-61.2,770.0,,-11.9,-349.7,616.6,True,True,False,,True,True,False
