,actual_deaths,Baseline,Auquan-SEIR,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,MITCovAlliance-SIR,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-MITCovAlliance-SIR,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-MITCovAlliance-SIR,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Pennsylvania,7656,7908.0,7304.0,,7625.3,7745.0,8330.6,7603.0,7248.1,,7606.8,7704.6,9675.6,8009.9,252.0,-352.0,,-30.7,89.0,674.6,-53.0,-407.9,,-49.2,48.6,2019.6,353.9,False,,True,True,False,True,False,,True,True,False,False
Rhode Island,1046,1219.3,1058.0,,1074.2,1060.0,1167.4,1236.0,1024.6,,1093.1,1010.5,1071.7,1137.5,193.3,32.0,,48.2,34.0,141.4,210.0,-1.4,,67.1,-15.5,45.7,111.5,True,,True,True,True,False,True,,True,True,True,True
South Carolina,2698,1637.1,1215.0,,2375.7,2011.0,2026.0,2098.0,1046.5,,1445.3,2282.9,2578.8,1885.3,-1060.9,-1483.0,,-322.3,-687.0,-672.0,-600.0,-1651.5,,-1252.7,-415.1,-119.2,-812.7,False,,True,True,True,True,False,,False,True,True,True
South Dakota,167,144.1,136.0,,138.3,130.0,174.6,129.0,267.5,,110.7,117.9,169.6,169.4,-22.9,-31.0,,-28.7,-37.0,7.6,-38.0,100.5,,-56.3,-49.1,2.6,2.4,False,,False,False,True,False,False,,False,False,True,True
Tennessee,1725,1124.3,943.0,,1571.8,1793.0,1258.4,1642.0,1125.3,,1006.6,1416.2,2317.0,1471.8,-600.7,-782.0,,-153.2,68.0,-466.6,-83.0,-599.7,,-718.4,-308.8,592.0,-253.2,False,,True,True,True,True,True,,False,True,True,True
Texas,12611,4403.7,3776.0,,9073.3,8620.0,6333.2,7133.0,4110.6,6085.0,4160.9,7166.2,9060.3,5577.2,-7829.3,-8457.0,,-3159.7,-3613.0,-5899.8,-5100.0,-8122.4,-6148.0,-8072.1,-5066.8,-3172.7,-6655.8,False,,True,True,True,True,False,True,False,True,True,True
Utah,407,317.6,329.0,,647.3,571.0,283.6,417.0,315.1,,322.3,408.3,312.3,380.1,-89.4,-78.0,,240.3,164.0,-123.4,10.0,-91.9,,-84.7,1.3,-94.7,-26.9,True,,False,False,False,True,False,,True,True,False,True
Vermont,58,56.0,62.0,,59.9,57.0,58.5,56.0,59.6,,58.0,56.1,58.5,64.2,-2.0,4.0,,1.9,-1.0,0.5,-2.0,1.6,,0.0,-1.9,0.5,6.2,False,,True,True,True,False,True,,True,True,True,False
Virginia,2568,2803.7,2236.0,,2129.2,2050.0,2983.9,2392.0,2339.7,,2156.0,2212.4,2178.3,2456.9,235.7,-332.0,,-438.8,-518.0,415.9,-176.0,-228.3,,-412.0,-355.6,-389.7,-111.1,False,,False,False,False,True,True,,False,False,False,True
Washington,1905,1744.0,1558.0,,1800.9,1834.0,1718.6,1427.0,1695.9,,1589.2,1962.3,2452.0,1758.5,-161.0,-347.0,,-104.1,-71.0,-186.4,-478.0,-209.1,,-315.8,57.3,547.0,-146.5,False,,True,True,False,False,False,,False,True,False,True
West Virginia,215,101.9,112.0,,140.7,153.0,111.1,104.0,295.8,,119.0,168.5,212.0,111.7,-113.1,-103.0,,-74.3,-62.0,-103.9,-111.0,80.8,,-96.0,-46.5,-3.0,-103.3,True,,True,True,True,True,True,,True,True,True,True
Wisconsin,1178,945.3,974.0,,1131.4,1046.0,1116.8,1098.0,1222.6,,1041.7,1279.8,1485.1,1159.3,-199.7,-171.0,,-13.6,-99.0,-28.2,-47.0,77.6,,-103.3,134.8,340.1,14.3,True,,True,True,True,True,True,,True,True,False,True
Wyoming,37,20.0,29.0,,61.5,38.0,18.4,23.0,38.4,,26.7,41.0,27.3,26.9,-17.0,-8.0,,24.5,1.0,-18.6,-14.0,1.4,,-10.3,4.0,-9.7,-10.1,True,,False,True,False,True,True,,True,True,True,True
US,182651,158130.6,146644.0,209335.0,177616.6,184343.0,164217.8,174238.0,154157.1,141351.0,152143.9,173863.6,241837.3,164750.0,-24051.4,-35538.0,27153.0,-4565.4,2161.0,-17964.2,-7944.0,-28024.9,-40831.0,-30038.1,-8318.4,59655.3,-17432.0,False,False,True,True,True,True,False,False,False,True,False,True
