,actual_deaths,Baseline,Auquan-SEIR,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,2152,2221.0,2228.0,2310.0,2191.3,2311.0,2321.0,,2355.1,2397.0,2823.2,2169.5,,2421.5,2090.0,2272.5,2539.0,2293.8,2220.0,2223.2,2178.8,2488.4,,2115.3,2167.6,2749.0,,,2013.7,,2230.0,2130.9,,2311.0,2310.5,2444.6,2231.0,2782.0,2255.8,2083.0,69.0,76.0,158.0,39.3,159.0,169.0,,203.1,245.0,671.2,17.5,,269.5,-62.0,120.5,387.0,141.8,68.0,71.2,26.8,336.4,,-36.7,15.6,597.0,,,-138.3,,78.0,-21.1,,159.0,158.5,292.6,79.0,630.0,103.8,-69.0,False,False,True,False,False,,False,False,False,True,,False,True,False,False,False,True,False,True,False,,True,True,False,,,False,,False,True,,False,False,False,False,False,False,False
Alaska,37,39.4,40.0,40.0,40.0,50.0,63.0,,57.1,42.0,65.9,39.3,,21.8,,56.9,87.7,52.3,39.5,36.4,51.0,41.6,,44.9,49.6,54.0,,,30.1,,60.0,41.5,,51.0,,45.6,43.0,104.0,45.0,,2.4,3.0,3.0,3.0,13.0,26.0,,20.1,5.0,28.9,2.3,,-15.2,,19.9,50.7,15.3,2.5,-0.6,14.0,4.6,,7.9,12.6,17.0,,,-6.9,,23.0,4.5,,14.0,,8.6,6.0,67.0,8.0,,False,False,False,False,False,,False,False,False,True,,False,,False,False,False,False,True,False,False,,False,False,False,,,False,,False,False,,False,,False,False,False,False,
Arizona,5007,5539.3,5565.0,5805.0,5591.2,5460.0,5460.0,,4542.1,5474.0,8292.7,,,6344.0,5790.0,5217.9,5082.0,5713.3,4859.1,5223.5,4813.0,6473.6,,7673.4,4990.9,7472.0,,,4860.4,,5090.0,4972.2,,5052.0,6447.4,5162.5,5205.0,7574.0,5405.4,4957.0,532.3,558.0,798.0,584.2,453.0,453.0,,-464.9,467.0,3285.7,,,1337.0,783.0,210.9,75.0,706.3,-147.9,216.5,-194.0,1466.6,,2666.4,-16.1,2465.0,,,-146.6,,83.0,-34.8,,45.0,1440.4,155.5,198.0,2567.0,398.4,-50.0,False,False,False,True,True,,True,True,False,,,False,False,True,True,False,True,True,True,False,,False,True,False,,,True,,True,True,,True,False,True,True,False,True,True
Arkansas,772,707.0,683.0,681.0,694.0,672.0,803.0,,716.3,724.0,813.2,694.9,,627.7,639.0,725.6,962.0,623.5,600.9,673.8,596.2,699.7,,644.7,711.5,672.5,,,585.9,,553.0,664.3,,632.0,712.5,662.7,678.0,777.0,671.6,650.0,-65.0,-89.0,-91.0,-78.0,-100.0,31.0,,-55.7,-48.0,41.2,-77.1,,-144.3,-133.0,-46.4,190.0,-148.5,-171.1,-98.2,-175.8,-72.3,,-127.3,-60.5,-99.5,,,-186.1,,-219.0,-107.7,,-140.0,-59.5,-109.3,-94.0,5.0,-100.4,-122.0,False,False,False,False,True,,True,True,True,False,,False,False,True,False,False,False,False,False,False,,False,True,False,,,False,,False,False,,False,True,False,False,True,False,False
California,12894,13052.6,12013.0,12811.0,13093.0,12795.0,13447.0,,12675.8,13243.0,12578.7,12771.3,,11721.9,12854.0,13205.9,14888.0,13696.8,11257.1,12823.6,12950.9,13636.9,,10159.2,12843.4,14196.5,,,11532.1,,12647.0,13010.1,11338.0,12192.0,12513.8,13403.7,13021.0,15032.5,12743.0,12225.0,158.6,-881.0,-83.0,199.0,-99.0,553.0,,-218.2,349.0,-315.3,-122.7,,-1172.1,-40.0,311.9,1994.0,802.8,-1636.9,-70.4,56.9,742.9,,-2734.8,-50.6,1302.5,,,-1361.9,,-247.0,116.1,-1556.0,-702.0,-380.2,509.7,127.0,2138.5,-151.0,-669.0,False,True,False,True,False,,False,False,False,True,,False,True,False,False,False,False,True,True,False,,False,True,False,,,False,,False,True,False,False,False,False,True,False,True,False
Colorado,1942,2036.9,2073.0,2014.0,2047.8,2019.0,2020.0,,2059.3,2007.0,1958.3,2076.3,,1997.2,2011.0,2068.3,2275.9,1856.4,1930.1,1998.0,2128.1,1903.8,,1895.2,2065.4,2007.0,,,1990.5,,1938.0,2018.0,,1994.0,,2365.3,2009.0,2147.0,2086.1,2018.0,94.9,131.0,72.0,105.8,77.0,78.0,,117.3,65.0,16.3,134.3,,55.2,69.0,126.3,333.9,-85.6,-11.9,56.0,186.1,-38.2,,-46.8,123.4,65.0,,,48.5,,-4.0,76.0,,52.0,,423.3,67.0,205.0,144.1,76.0,False,True,False,True,True,,False,True,True,False,,True,True,False,False,True,True,True,False,True,,True,False,True,,,True,,True,True,,True,,False,True,False,False,True
Connecticut,4465,4505.3,4654.0,4502.0,4577.1,4515.0,4577.0,,4471.8,4447.0,4466.5,4593.4,,4597.3,4504.0,4536.6,4558.2,4482.8,4530.7,4460.3,4464.8,4516.9,,4449.3,4544.4,4446.0,,,4521.9,,4491.0,4507.1,,4480.0,4633.3,4737.7,4568.0,4491.0,4508.2,,40.3,189.0,37.0,112.1,50.0,112.0,,6.8,-18.0,1.5,128.4,,132.3,39.0,71.6,93.2,17.8,65.7,-4.7,-0.2,51.9,,-15.7,79.4,-19.0,,,56.9,,26.0,42.1,,15.0,168.3,272.7,103.0,26.0,43.2,,False,True,False,False,False,,True,True,True,False,,False,True,False,False,True,False,True,True,False,,True,False,True,,,False,,True,False,,True,False,False,False,True,False,
Delaware,604,608.1,682.0,619.0,620.9,620.0,627.0,,620.8,620.0,625.4,693.3,,618.7,615.0,614.4,660.6,597.8,609.5,613.4,640.5,724.4,,540.7,614.7,820.0,,,648.0,,645.0,608.1,,607.0,,678.6,613.0,613.0,614.8,,4.1,78.0,15.0,16.9,16.0,23.0,,16.8,16.0,21.4,89.3,,14.7,11.0,10.4,56.6,-6.2,5.5,9.4,36.5,120.4,,-63.3,10.7,216.0,,,44.0,,41.0,4.1,,3.0,,74.6,9.0,9.0,10.8,,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,True,,True,,False,False,False,False,
District of Columbia,605,595.6,640.0,608.0,602.2,602.0,603.0,,612.2,604.0,595.7,,,614.5,594.0,628.0,613.5,605.9,591.8,585.6,585.6,,,599.8,589.9,593.0,,,,,608.0,602.6,,593.0,,646.6,585.0,601.0,606.8,,-7.4,37.0,5.0,-0.8,-1.0,0.0,,9.2,1.0,-7.3,,,11.5,-9.0,25.0,10.5,2.9,-11.2,-17.4,-17.4,,,-3.2,-13.1,-10.0,,,,,5.0,-0.4,,-10.0,,43.6,-18.0,-2.0,3.8,,False,True,True,True,True,,False,True,True,,,False,False,False,False,True,False,False,False,,,True,False,False,,,,,True,True,,False,,False,False,True,True,
Florida,11105,11828.3,10558.0,11372.0,12002.3,11267.0,11515.0,,10784.5,10342.0,14818.0,10565.6,,11345.4,11228.0,11539.3,11283.9,13448.6,10102.5,11562.8,8532.6,15355.6,,10232.1,11363.2,17372.0,,,9432.8,,10537.0,11636.2,,10632.0,11475.5,10793.1,11245.0,18122.0,11573.3,11210.0,723.3,-547.0,267.0,897.3,162.0,410.0,,-320.5,-763.0,3713.0,-539.4,,240.4,123.0,434.3,178.9,2343.6,-1002.5,457.8,-2572.4,4250.6,,-872.9,258.2,6267.0,,,-1672.2,,-568.0,531.2,,-473.0,370.5,-311.9,140.0,7017.0,468.3,105.0,True,True,False,True,True,,True,False,False,True,,True,True,True,True,False,False,True,False,False,,False,True,False,,,False,,True,True,,True,True,True,True,False,True,True
