,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Maryland,3746,3840.1,,3545.6,3421.0,3635.0,3765.0,4413.2,,3756.8,3667.5,4304.2,3760.0,94.1,,-200.4,-325.0,-111.0,19.0,667.2,,10.8,-78.5,558.2,14.0,,False,False,False,True,False,,True,True,False,True
Massachusetts,9036,9298.7,,8440.2,8484.0,9865.0,8991.6,8514.3,,8897.7,8456.9,10589.0,8788.8,262.7,,-595.8,-552.0,829.0,-44.4,-521.7,,-138.3,-579.1,1553.0,-247.2,,False,False,False,True,False,,True,False,False,True
Michigan,6712,6972.3,,6615.1,6713.0,6548.0,6703.5,7400.7,,6746.2,6773.1,8356.6,6974.8,260.3,,-96.9,1.0,-164.0,-8.5,688.7,,34.2,61.1,1644.6,262.8,,True,True,True,True,False,,True,True,False,False
Minnesota,1863,1759.4,,1884.6,1676.0,1947.0,1842.6,2246.2,,1731.1,1777.8,2314.2,1837.0,-103.6,,21.6,-187.0,84.0,-20.4,383.2,,-131.9,-85.2,451.2,-26.0,,True,False,True,True,False,,False,True,False,True
Mississippi,2427,2195.3,,2088.3,1815.0,1935.0,1712.0,2053.7,,1905.5,2178.0,2396.2,2225.9,-231.7,,-338.7,-612.0,-492.0,-715.0,-373.3,,-521.5,-249.0,-30.8,-201.1,,False,False,False,False,False,,False,False,True,True
Missouri,1551,1373.1,,1547.4,1575.0,1489.0,1270.7,2203.8,,1556.0,1871.4,2416.9,1526.7,-166.9,,7.4,35.0,-51.0,-269.3,663.8,,16.0,331.4,876.9,-13.3,,True,True,True,False,False,,True,False,False,True
Montana,104,70.1,,96.2,51.0,41.0,75.0,36.0,,58.9,276.2,379.4,78.9,-33.9,,-7.8,-53.0,-63.0,-29.0,-68.0,,-45.1,172.2,275.4,-25.1,,True,False,False,True,False,,False,False,False,True
Nebraska,392,291.9,,383.1,304.0,397.0,356.7,550.9,,311.9,313.3,455.3,376.1,-100.1,,-8.9,-88.0,5.0,-35.3,158.9,,-80.1,-78.7,63.3,-15.9,,True,True,True,True,False,,True,True,True,True
Nevada,1302,997.6,,1264.1,1211.0,946.0,825.4,744.9,,867.4,1481.6,1014.5,1184.7,-304.4,,-37.9,-91.0,-356.0,-476.6,-557.1,,-434.6,179.6,-287.5,-117.3,,True,True,False,False,False,,False,True,True,True
New Hampshire,432,459.6,,445.1,440.0,434.0,459.4,717.0,,467.5,438.8,439.2,434.9,27.6,,13.1,8.0,2.0,27.4,285.0,,35.5,6.8,7.2,2.9,,True,True,True,True,False,,False,True,True,True
New Jersey,15933,17678.1,,16068.0,15966.0,17784.0,16341.3,13638.6,,16557.0,15648.1,18902.9,16124.8,1745.1,,135.0,33.0,1851.0,408.3,-2294.4,,624.0,-284.9,2969.9,191.8,,True,True,False,True,False,,True,True,False,True
New Mexico,769,764.4,,768.0,692.0,953.0,677.2,768.4,,754.8,806.5,990.6,769.0,-4.6,,-1.0,-77.0,184.0,-91.8,-0.6,,-14.2,37.5,221.6,0.0,,True,False,False,False,True,,False,False,False,True
New York,32891,33337.4,,32614.0,32626.0,34253.0,33168.1,27395.0,,32833.7,32438.9,33657.2,33017.1,491.4,,-232.0,-220.0,1407.0,322.1,-5451.0,,-12.3,-407.1,811.2,171.1,,True,True,False,True,False,,True,True,False,True
