,total_deaths_2020-08-02,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
GT-DeepCOVID,155552,181083.8,182714,26223.8,27162,-938.2,-3.5%
YYG-ParamSearch,155552,182970.0,182714,28110.0,27162,948.0,3.5%
COVIDhub-ensemble,155552,181031.0,182714,26171.0,27162,-991.0,-3.6%
Karlen-pypm,155552,180510.8,182714,25650.8,27162,-1511.2,-5.6%
IHME-CurveFit,155552,180144.7,182714,25284.7,27162,-1877.3,-6.9%
epiforecasts-ensemble1,155552,179905.0,182714,25045.0,27162,-2117.0,-7.8%
UCLA-SuEIR,155552,184796.8,182714,29936.8,27162,2774.8,10.2%
UMass-MechBayes,155552,179231.0,182714,24371.0,27162,-2791.0,-10.3%
Columbia_UNC-SurvCon,155552,179213.0,182714,24353.0,27162,-2809.0,-10.3%
IowaStateLW-STEM,155552,179184.0,182714,24324.0,27162,-2838.0,-10.4%
OliverWyman-Navigator,155552,184939.8,182714,30079.8,27162,2917.8,10.7%
Baseline,155552,185427.9,182714,30567.9,27162,3405.9,12.5%
CovidAnalytics-DELPHI,155552,178417.0,182714,23557.0,27162,-3605.0,-13.3%
Covid19Sim-Simulator,155552,178204.2,182714,23344.2,27162,-3817.8,-14.1%
JCB-PRM,155552,185953.5,182714,31093.5,27162,3931.5,14.5%
COVIDhub-baseline,155552,186365.8,182714,31505.8,27162,4343.8,16.0%
QJHong-Encounter,155552,186656.2,182714,31796.2,27162,4634.2,17.1%
USC-SI_kJalpha,155552,187396.0,182714,32536.0,27162,5374.0,19.8%
CU-select,155552,188848.0,182714,33988.0,27162,6826.0,25.1%
Auquan-SEIR,155552,174793.0,182714,19933.0,27162,-7229.0,-26.6%
UMich-RidgeTfReg,155552,174292.0,182714,19432.0,27162,-7730.0,-28.5%
RobertWalraven-ESG,155552,174163.8,182714,19303.8,27162,-7858.2,-28.9%
UCM_MESALab-FoGSEIR,155552,173331.0,182714,18471.0,27162,-8691.0,-32.0%
USACE-ERDC_SEIR,155552,191642.0,182714,36782.0,27162,9620.0,35.4%
LANL-GrowthRate,155552,172363.3,182714,17503.3,27162,-9658.7,-35.6%
JHU_IDD-CovidSP,155552,191712.2,182714,36852.2,27162,9690.2,35.7%
NotreDame-mobility,155552,171710.7,182714,16850.7,27162,-10311.3,-38.0%
UA-EpiCovDA,155552,170726.0,182714,15866.0,27162,-11296.0,-41.6%
MITCovAlliance-SIR,155552,168515.2,182714,13655.2,27162,-13506.8,-49.7%
DDS-NBDS,155552,197483.1,182714,42623.1,27162,15461.1,56.9%
MOBS-GLEAM_COVID,155552,199233.4,182714,44373.4,27162,17211.4,63.4%
RPI_UW-Mob_Collision,155552,199487.8,182714,44627.8,27162,17465.8,64.3%
LNQ-ens1,155552,162442.2,182714,7582.2,27162,-19579.8,-72.1%
UT-Mobility,155552,213600.0,182714,58740.0,27162,31578.0,116.3%
PSI-DRAFT,155552,214960.5,182714,60100.5,27162,32938.5,121.3%
STH-3PU,155552,216576.0,182714,61716.0,27162,34554.0,127.2%
CMU-TimeSeries,155552,,182714,,27162,,
GT_CHHS-COVID19,155552,,182714,,27162,,
NotreDame-FRED,155552,,182714,,27162,,
