,mean_rank
JCB-PRM,10.9
COVIDhub-ensemble,11.6
Karlen-pypm,12.2
YYG-ParamSearch,12.9
LNQ-ens1,13.4
DDS-NBDS,13.5
UCLA-SuEIR,14.0
OliverWyman-Navigator,14.3
CMU-TimeSeries,14.4
USC-SI_kJalpha,14.5
COVIDhub-baseline,14.5
CEID-Walk,15.0
UMass-MechBayes,15.3
CovidAnalytics-DELPHI,15.3
NotreDame-mobility,15.3
UT-Mobility,16.0
UA-EpiCovDA,16.2
PSI-DRAFT,16.3
GT-DeepCOVID,16.7
Geneva-DetGrowth,16.7
SteveMcConnell-CovidComplete,16.8
LANL-GrowthRate,17.3
MOBS-GLEAM_COVID,17.6
CU-select,18.4
Google_Harvard-CPF,19.7
IHME-CurveFit,20.2
JHU_IDD-CovidSP,20.6
IowaStateLW-STEM,21.0
RobertWalraven-ESG,21.1
USACE-ERDC_SEIR,21.4
epiforecasts-ensemble1,27.1
Covid19Sim-Simulator,27.9
Auquan-SEIR,28.1
TTU-squider,28.8
