,mean_rank
OliverWyman-Navigator,9.4
COVIDhub-ensemble,9.8
YYG-ParamSearch,10.5
CMU-TimeSeries,10.6
JCB-PRM,11.2
USC-SI_kJalpha,11.4
CEID-Walk,12.0
COVIDhub-baseline,12.1
Karlen-pypm,12.5
UA-EpiCovDA,12.5
UMass-MechBayes,12.8
UCLA-SuEIR,13.4
GT-DeepCOVID,14.0
LNQ-ens1,14.4
MOBS-GLEAM_COVID,14.5
CovidAnalytics-DELPHI,15.1
NotreDame-mobility,15.4
DDS-NBDS,15.5
UT-Mobility,16.3
LANL-GrowthRate,16.7
IowaStateLW-STEM,17.4
CU-select,18.8
Google_Harvard-CPF,19.2
USACE-ERDC_SEIR,19.3
RobertWalraven-ESG,20.0
PSI-DRAFT,20.0
Auquan-SEIR,22.1
JHU_IDD-CovidSP,22.2
MITCovAlliance-SIR,22.7
epiforecasts-ensemble1,23.8
TTU-squider,30.5
