,actual_deaths,Baseline,Auquan-SEIR,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,2152,2139.4,2274.0,2179.4,2062.0,2178.0,2147.0,2109.0,,2051.4,2106.0,2155.0,,,2127.1,2224.0,2184.9,2287.5,2208.1,2049.8,2080.4,2194.6,2171.6,,2228.0,2162.7,2090.0,,2256.9,2023.5,,4203.6,2146.0,2148.5,,2083.0,2243.9,2215.1,2132.0,2289.5,2145.1,2041.0,-12.6,122.0,27.4,-90.0,26.0,-5.0,-43.0,,-100.6,-46.0,3.0,,,-24.9,72.0,32.9,135.5,56.1,-102.2,-71.6,42.6,19.6,,76.0,10.7,-62.0,,104.9,-128.5,,2051.6,-6.0,-3.5,,-69.0,91.9,63.1,-20.0,137.5,-6.9,-111.0,False,False,False,False,True,False,,False,False,True,,,False,False,False,False,False,False,False,False,False,,False,True,False,,False,False,,False,True,True,,False,False,False,False,False,True,False
Alaska,37,31.7,43.0,31.2,31.0,32.0,34.0,28.0,,46.9,36.0,31.6,32.0,,99.9,,34.2,58.5,34.9,32.8,28.7,50.9,33.7,,41.4,31.7,33.0,,,30.8,,194.8,37.0,31.9,,34.0,33.4,35.3,28.0,41.0,33.1,,-5.3,6.0,-5.8,-6.0,-5.0,-3.0,-9.0,,9.9,-1.0,-5.4,-5.0,,62.9,,-2.8,21.5,-2.1,-4.2,-8.3,13.9,-3.3,,4.4,-5.3,-4.0,,,-6.2,,157.8,0.0,-5.1,,-3.0,-3.6,-1.7,-9.0,4.0,-3.9,,False,False,False,True,True,False,,False,True,False,True,,False,,True,False,True,True,False,False,True,,True,True,True,,,False,,False,True,True,,True,True,True,False,True,True,
Arizona,5007,5167.1,5216.0,5197.0,4736.0,5202.0,5002.0,4956.0,,4055.7,5177.0,4985.2,4998.1,,5057.7,5348.0,5060.3,4956.6,5051.4,4966.1,4927.0,4816.7,4946.2,,5133.2,4991.8,4767.0,,5367.1,4909.6,,7582.6,4832.0,5111.6,,4920.0,5648.1,5026.9,4861.0,5136.0,5125.4,4657.0,160.1,209.0,190.0,-271.0,195.0,-5.0,-51.0,,-951.3,170.0,-21.8,-8.9,,50.7,341.0,53.3,-50.4,44.4,-40.9,-80.0,-190.3,-60.8,,126.2,-15.2,-240.0,,360.1,-97.4,,2575.6,-175.0,104.6,,-87.0,641.1,19.9,-146.0,129.0,118.4,-350.0,False,False,False,False,True,True,,False,False,True,True,,True,False,True,True,True,True,True,False,True,,True,True,False,,False,True,,False,False,True,,True,False,True,True,True,True,False
Arkansas,772,701.1,783.0,727.7,670.0,730.0,710.0,689.0,,714.6,693.0,693.3,746.5,,719.1,708.0,720.7,801.8,737.9,669.4,699.4,595.3,745.7,,764.7,716.6,712.0,,,646.2,,843.2,710.0,695.3,,665.0,741.0,705.8,725.0,751.0,711.8,672.0,-70.9,11.0,-44.3,-102.0,-42.0,-62.0,-83.0,,-57.4,-79.0,-78.7,-25.5,,-52.9,-64.0,-51.3,29.8,-34.1,-102.6,-72.6,-176.7,-26.3,,-7.3,-55.4,-60.0,,,-125.8,,71.2,-62.0,-76.7,,-107.0,-31.0,-66.2,-47.0,-21.0,-60.2,-100.0,True,True,False,True,True,False,,True,False,False,True,,True,True,True,True,True,False,False,False,True,,True,True,True,,,False,,False,True,False,,False,True,True,True,True,True,False
California,12894,12851.3,13419.0,13058.4,12161.0,13040.0,12879.0,13673.0,,11917.2,12804.0,13087.7,,,13292.4,13420.0,13135.3,13518.5,13504.0,12284.5,13008.1,12905.7,12554.4,,12682.5,12963.0,11320.0,,13529.5,12112.0,,23828.1,12632.0,12839.3,12433.0,12831.0,12945.1,13037.4,12939.0,13079.0,12862.4,12046.0,-42.7,525.0,164.4,-733.0,146.0,-15.0,779.0,,-976.8,-90.0,193.7,,,398.4,526.0,241.3,624.5,610.0,-609.5,114.1,11.7,-339.6,,-211.5,69.0,-1574.0,,635.5,-782.0,,10934.1,-262.0,-54.7,-461.0,-63.0,51.1,143.4,45.0,185.0,-31.6,-848.0,False,False,False,False,True,False,,False,False,False,,,False,False,False,False,False,False,False,True,False,,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,True,False
Colorado,1942,1966.6,2075.0,1969.3,1937.0,1974.1,1968.0,1971.0,,1971.3,1966.0,2004.6,1977.6,,1974.3,1988.0,1975.0,2037.4,1976.4,1931.0,1942.3,2126.6,1922.6,,1984.6,1946.1,1952.0,,1967.6,1945.4,,10223.3,1944.0,1992.7,,1946.0,1921.7,2107.3,1953.0,1975.0,1976.7,1940.0,24.6,133.0,27.3,-5.0,32.1,26.0,29.0,,29.3,24.0,62.6,35.6,,32.3,46.0,33.0,95.4,34.4,-11.0,0.3,184.6,-19.4,,42.6,4.1,10.0,,25.6,3.4,,8281.3,2.0,50.7,,4.0,-20.3,165.3,11.0,33.0,34.7,-2.0,False,False,True,False,False,False,,False,True,False,False,,False,False,False,False,False,True,True,False,True,,False,True,True,,False,True,,False,True,False,,True,True,False,True,False,False,True
Connecticut,4465,4475.3,4613.0,4477.6,4464.0,4488.4,4473.0,4475.0,,4460.0,4457.0,4493.9,4488.8,,4521.7,4490.0,4481.3,4489.4,4471.7,4463.8,4462.5,4465.7,4487.3,,4466.5,4470.4,4451.0,,4482.7,4462.9,,3662.9,4462.0,4480.9,,4466.0,4472.5,4569.1,4465.0,4472.0,4473.7,4454.0,10.3,148.0,12.6,-1.0,23.4,8.0,10.0,,-5.0,-8.0,28.9,23.8,,56.7,25.0,16.3,24.4,6.7,-1.2,-2.5,0.7,22.3,,1.5,5.4,-14.0,,17.7,-2.1,,-802.1,-3.0,15.9,,1.0,7.5,104.1,0.0,7.0,8.7,-11.0,False,False,True,False,True,True,,True,True,False,False,,False,False,False,False,True,True,True,True,False,,True,True,False,,False,True,,False,True,False,,True,True,False,True,True,True,False
Delaware,604,596.7,648.0,603.7,597.0,600.7,605.0,636.0,,591.7,607.0,615.5,608.5,,636.2,611.0,604.0,610.6,600.7,605.3,600.8,640.5,612.1,,619.8,601.0,599.0,,,595.9,,659.1,598.0,600.2,,602.0,619.1,639.0,598.0,604.0,609.1,,-7.3,44.0,-0.3,-7.0,-3.3,1.0,32.0,,-12.3,3.0,11.5,4.5,,32.2,7.0,0.0,6.6,-3.3,1.3,-3.2,36.5,8.1,,15.8,-3.0,-5.0,,,-8.1,,55.1,-6.0,-3.8,,-2.0,15.1,35.0,-6.0,0.0,5.1,,False,True,True,True,True,False,,False,True,False,True,,False,True,True,True,True,True,True,False,False,,False,True,True,,,False,,False,True,True,,True,False,False,True,True,True,
District of Columbia,605,608.1,641.0,611.0,602.0,611.2,608.0,613.0,,603.2,608.0,611.2,610.3,,618.2,603.0,610.2,607.5,606.4,604.6,601.9,585.9,,,602.2,610.5,597.0,,,,,2739.2,617.0,612.4,,607.0,,636.9,609.0,607.0,608.8,601.0,3.1,36.0,6.0,-3.0,6.2,3.0,8.0,,-1.8,3.0,6.2,5.3,,13.2,-2.0,5.2,2.5,1.4,-0.4,-3.1,-19.1,,,-2.8,5.5,-8.0,,,,,2134.2,12.0,7.4,,2.0,,31.9,4.0,2.0,3.8,-4.0,False,False,True,False,True,False,,True,True,False,False,,False,True,False,True,True,True,True,False,,,True,False,False,,,,,False,False,False,,True,,False,False,True,False,False
Florida,11105,11803.1,11838.0,11817.1,10342.0,11817.0,11384.0,11000.0,,9557.2,10903.0,11499.4,10651.0,,11367.3,11555.0,11425.3,11497.8,12086.3,10864.8,11380.9,8552.7,10807.7,,11659.9,11629.3,10098.0,,12420.9,10716.1,,12217.2,11048.0,11686.2,,11276.0,11942.6,11096.8,11329.0,12361.0,11429.7,10337.0,698.1,733.0,712.1,-763.0,712.0,279.0,-105.0,,-1547.8,-202.0,394.4,-454.0,,262.3,450.0,320.3,392.8,981.3,-240.2,275.9,-2552.3,-297.3,,554.9,524.3,-1007.0,,1315.9,-388.9,,1112.2,-57.0,581.2,,171.0,837.6,-8.2,224.0,1256.0,324.7,-768.0,False,False,False,False,True,True,,False,True,True,True,,True,True,True,True,False,True,True,False,True,,True,True,False,,False,True,,False,True,True,,True,False,True,True,False,True,False
