,2020-04-20_2020-07-18,2020-04-27_2020-07-18,2020-05-04_2020-07-18,2020-05-11_2020-07-18,2020-05-18_2020-07-18,2020-05-25_2020-07-18,2020-06-01_2020-07-18,2020-06-08_2020-07-18,2020-06-15_2020-07-18,2020-06-22_2020-07-18,2020-06-29_2020-07-18,2020-07-06_2020-07-18,2020-07-13_2020-07-18
num_states_with_projections-OliverWyman-Navigator,,,,,,,,,,51,51,51,51
num_states_with_projections-PSI-DRAFT,,,,,,,,51,51,51,51,51,51
num_states_with_projections-QJHong-Encounter,,,,,,,,,,,,0,0
num_states_with_projections-RobertWalraven-ESG,,,,,,,,,,,,51,51
num_states_with_projections-STH-3PU,,,,,,,,,1,1,1,1,1
num_states_with_projections-SWC-TerminusCM,,,,,,,,48,51,,48,,
num_states_with_projections-UA-EpiCovDA,,,,,,,,,,51,51,51,51
num_states_with_projections-UCLA-SuEIR,,,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-UMass-MechBayes,,,,,,,,,,51,51,51,51
num_states_with_projections-UMich-RidgeTfReg,,,,,,,,,,,,0,0
num_states_with_projections-USACE-ERDC_SEIR,,,,,51,51,51,51,51,51,51,51,51
num_states_with_projections-USC-SI_kJalpha,,,,,,,,,,,51,51,51
num_states_with_projections-UT-Mobility,,,,,,,,,,51,51,51,51
num_states_with_projections-YYG-ParamSearch,,,,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-epiforecasts-ensemble1,,,,,,,,,,14,14,22,23
num_states_beat_baseline-Auquan-SEIR,,,,,,,,,,30,27,25,
num_states_beat_baseline-COVIDhub-ensemble,,,,,,,,,,34,33,34,33
num_states_beat_baseline-CU-select,,,,,,,,,,22,14,17,25
num_states_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,
num_states_beat_baseline-Covid19Sim-Simulator,,,,,,30,32,28,32,33,29,20,10
num_states_beat_baseline-CovidActNow-SEIR_CAN,,,,,,,,,,18,,11,
num_states_beat_baseline-CovidAnalytics-DELPHI,,,,,,,,,30,32,28,21,22
num_states_beat_baseline-GT-DeepCOVID,,,,,,,,,,13,19,9,20
num_states_beat_baseline-GT_CHHS-COVID19,,,,,,,,,,0,0,0,0
num_states_beat_baseline-Geneva-DetGrowth,,,,,,,,,,,,,27
num_states_beat_baseline-IHME-CurveFit,18,20,28,31,30,,30,30,32,34,25,25,
num_states_beat_baseline-IowaStateLW-STEM,,23,28,,25,23,24,23,26,25,18,19,17
num_states_beat_baseline-JHU_IDD-CovidSP,,,,,,,,,,10,15,19,21
num_states_beat_baseline-LANL-GrowthRate,,,,,,,39,37,35,33,27,30,22
num_states_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,18,13,5
num_states_beat_baseline-MOBS-GLEAM_COVID,,,,,,,,,,22,15,23,24
num_states_beat_baseline-NotreDame-FRED,,,,,,,,2,0,0,0,2,1
num_states_beat_baseline-NotreDame-mobility,,,,,,,,,,35,18,22,24
num_states_beat_baseline-OliverWyman-Navigator,,,,,,,,,,30,27,36,28
num_states_beat_baseline-PSI-DRAFT,,,,,,,,19,21,22,17,16,13
num_states_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,
num_states_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,19,13
num_states_beat_baseline-STH-3PU,,,,,,,,,1,1,1,1,1
num_states_beat_baseline-SWC-TerminusCM,,,,,,,,19,21,,17,,
num_states_beat_baseline-UA-EpiCovDA,,,,,,,,,,33,25,21,25
num_states_beat_baseline-UCLA-SuEIR,,,26,33,30,29,32,28,27,26,21,24,32
num_states_beat_baseline-UMass-MechBayes,,,,,,,,,,31,34,37,37
num_states_beat_baseline-UMich-RidgeTfReg,,,,,,,,,,,,,
num_states_beat_baseline-USACE-ERDC_SEIR,,,,,27,28,29,31,33,30,18,23,23
num_states_beat_baseline-USC-SI_kJalpha,,,,,,,,,,,29,29,17
num_states_beat_baseline-UT-Mobility,,,,,,,,,,29,26,28,28
num_states_beat_baseline-YYG-ParamSearch,,,,29,25,30,30,32,32,33,33,33,38
num_states_beat_baseline-epiforecasts-ensemble1,,,,,,,,,,4,9,14,2
perc_beat_baseline-Auquan-SEIR,,,,,,,,,,0.5882352941,0.5294117647,0.4901960784,
perc_beat_baseline-COVIDhub-ensemble,,,,,,,,,,0.6666666667,0.6470588235,0.6666666667,0.6470588235
perc_beat_baseline-CU-select,,,,,,,,,,0.431372549,0.2745098039,0.3333333333,0.4901960784
perc_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,
perc_beat_baseline-Covid19Sim-Simulator,,,,,,0.5882352941,0.6274509804,0.5490196078,0.6274509804,0.6470588235,0.568627451,0.3921568627,0.1960784314
perc_beat_baseline-CovidActNow-SEIR_CAN,,,,,,,,,,0.4186046512,,0.2156862745,
perc_beat_baseline-CovidAnalytics-DELPHI,,,,,,,,,0.5882352941,0.6274509804,0.5490196078,0.4117647059,0.431372549
perc_beat_baseline-GT-DeepCOVID,,,,,,,,,,0.325,0.475,0.2195121951,0.4347826087
perc_beat_baseline-GT_CHHS-COVID19,,,,,,,,,,0,0,0,0
perc_beat_baseline-Geneva-DetGrowth,,,,,,,,,,,,,0.5294117647
perc_beat_baseline-IHME-CurveFit,0.3529411765,0.4081632653,0.5490196078,0.6078431373,0.5882352941,,0.5882352941,0.5882352941,0.6274509804,0.6666666667,0.4901960784,0.4901960784,
perc_beat_baseline-IowaStateLW-STEM,,0.4693877551,0.5714285714,,0.5102040816,0.4693877551,0.4897959184,0.4693877551,0.5306122449,0.5102040816,0.3673469388,0.387755102,0.3469387755
perc_beat_baseline-JHU_IDD-CovidSP,,,,,,,,,,0.1960784314,0.2941176471,0.3725490196,0.4117647059
perc_beat_baseline-LANL-GrowthRate,,,,,,,0.7647058824,0.7254901961,0.6862745098,0.6470588235,0.5294117647,0.5882352941,0.431372549
perc_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,0.3529411765,0.2549019608,0.09803921569
perc_beat_baseline-MOBS-GLEAM_COVID,,,,,,,,,,0.44,0.3,0.46,0.48
perc_beat_baseline-NotreDame-FRED,,,,,,,,0.2857142857,0,0,0,0.2857142857,0.1428571429
perc_beat_baseline-NotreDame-mobility,,,,,,,,,,0.6862745098,0.3529411765,0.431372549,0.4705882353
perc_beat_baseline-OliverWyman-Navigator,,,,,,,,,,0.5882352941,0.5294117647,0.7058823529,0.5490196078
perc_beat_baseline-PSI-DRAFT,,,,,,,,0.3725490196,0.4117647059,0.431372549,0.3333333333,0.3137254902,0.2549019608
perc_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,
perc_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,0.3725490196,0.2549019608
perc_beat_baseline-STH-3PU,,,,,,,,,1,1,1,1,1
perc_beat_baseline-SWC-TerminusCM,,,,,,,,0.3958333333,0.4117647059,,0.3541666667,,
perc_beat_baseline-UA-EpiCovDA,,,,,,,,,,0.6470588235,0.4901960784,0.4117647059,0.4901960784
perc_beat_baseline-UCLA-SuEIR,,,0.5098039216,0.6470588235,0.5882352941,0.568627451,0.6274509804,0.5490196078,0.5294117647,0.5098039216,0.4117647059,0.4705882353,0.6274509804
perc_beat_baseline-UMass-MechBayes,,,,,,,,,,0.6078431373,0.6666666667,0.7254901961,0.7254901961
perc_beat_baseline-UMich-RidgeTfReg,,,,,,,,,,,,,
perc_beat_baseline-USACE-ERDC_SEIR,,,,,0.5294117647,0.5490196078,0.568627451,0.6078431373,0.6470588235,0.5882352941,0.3529411765,0.4509803922,0.4509803922
perc_beat_baseline-USC-SI_kJalpha,,,,,,,,,,,0.568627451,0.568627451,0.3333333333
perc_beat_baseline-UT-Mobility,,,,,,,,,,0.568627451,0.5098039216,0.5490196078,0.5490196078
perc_beat_baseline-YYG-ParamSearch,,,,0.568627451,0.4901960784,0.5882352941,0.5882352941,0.6274509804,0.6274509804,0.6470588235,0.6470588235,0.6470588235,0.7450980392
perc_beat_baseline-epiforecasts-ensemble1,,,,,,,,,,0.2857142857,0.6428571429,0.6363636364,0.08695652174
mean_abs_error-Auquan-SEIR,,,,,,,,,,153.8627451,130.6862745,118.254902,
mean_abs_error-Baseline,2087.090196,1825.52549,1516.57451,1267.978431,935.3843137,652.9333333,469.2568627,376.7235294,258.5235294,168.1921569,211.154902,90.8372549,34.64313725
mean_abs_error-COVIDhub-baseline,,,,,,,,,,185.7215686,225.1666667,86.68627451,38.54901961
mean_abs_error-COVIDhub-ensemble,,,,,,,,,,90.30980392,71.95294118,61.66078431,30.86666667
mean_abs_error-CU-select,,,,,,,,,,476.2941176,438.5490196,107.4117647,35.84313725
mean_abs_error-Columbia_UNC-SurvCon,,,,,,,,,,,,,
mean_abs_error-Covid19Sim-Simulator,,,,,,349.6705882,348.0392157,298.6235294,162.8568627,119.8294118,146.5294118,128.4254902,59.41568627
mean_abs_error-CovidActNow-SEIR_CAN,,,,,,,,,,,,202.9058824,
mean_abs_error-CovidAnalytics-DELPHI,,,,,,,,,229.3137255,153.0980392,127.0588235,139.2156863,51.78431373
mean_abs_error-GT-DeepCOVID,,,,,,,,,,,,,
mean_abs_error-GT_CHHS-COVID19,,,,,,,,,,,,,
mean_abs_error-Geneva-DetGrowth,,,,,,,,,,,,,32.91568627
mean_abs_error-IHME-CurveFit,1440.527451,,559.2529412,358.6509804,340.6117647,,383.4392157,209.5078431,156.7254902,96.00588235,92.14509804,88.17254902,
mean_abs_error-IowaStateLW-STEM,,,,,,,,,,,,,
mean_abs_error-JHU_IDD-CovidSP,,,,,,,,,,278.2647059,167.5333333,92.38039216,45.45882353
mean_abs_error-LANL-GrowthRate,,,,,,,251.4607843,201.2098039,139.245098,118.2196078,110.8372549,81.08235294,37.58823529
mean_abs_error-MITCovAlliance-SIR,,,,,,,,,,,238.7509804,316.3235294,311.2313725
mean_abs_error-MOBS-GLEAM_COVID,,,,,,,,,,,,,
mean_abs_error-NotreDame-FRED,,,,,,,,,,,,,
mean_abs_error-NotreDame-mobility,,,,,,,,,,265.7784314,255.4039216,100.554902,41.80588235
mean_abs_error-OliverWyman-Navigator,,,,,,,,,,143.5294118,106.9352941,66.63921569,30.26078431
mean_abs_error-PSI-DRAFT,,,,,,,,660.5392157,312.4215686,249.7647059,176.4509804,132.4117647,72.18627451
mean_abs_error-QJHong-Encounter,,,,,,,,,,,,,
mean_abs_error-RobertWalraven-ESG,,,,,,,,,,,,297.8196078,295.8980392
mean_abs_error-STH-3PU,,,,,,,,,,,,,
mean_abs_error-SWC-TerminusCM,,,,,,,,,371.9803922,,,,
mean_abs_error-UA-EpiCovDA,,,,,,,,,,103.1568627,179.5098039,97.98039216,32.96078431
mean_abs_error-UCLA-SuEIR,,,613.5098039,509.4980392,323.3509804,283.7392157,234.7098039,243.372549,176.6843137,137.2117647,126.172549,79.6745098,32.05882353
mean_abs_error-UMass-MechBayes,,,,,,,,,,152.1960784,105.3921569,66.60784314,24.58823529
mean_abs_error-UMich-RidgeTfReg,,,,,,,,,,,,,
mean_abs_error-USACE-ERDC_SEIR,,,,,510.2843137,407.8078431,423.745098,304.9686275,154.4882353,150.2313725,199.9901961,83.56078431,42.49803922
mean_abs_error-USC-SI_kJalpha,,,,,,,,,,,109.8078431,84.90980392,50.67647059
mean_abs_error-UT-Mobility,,,,,,,,,,140.4803922,88.47058824,82.18627451,26.51960784
mean_abs_error-YYG-ParamSearch,,,,699.5921569,715.4627451,442.7215686,288.6411765,227.7137255,165.4117647,125,91.93529412,80.43333333,25.71960784
mean_abs_error-epiforecasts-ensemble1,,,,,,,,,,,,,
