,2020-04-20_2020-05-30,2020-04-27_2020-06-06,2020-05-04_2020-06-13,2020-05-11_2020-06-20,2020-05-18_2020-06-27,2020-05-25_2020-07-04,2020-06-01_2020-07-11,2020-06-08_2020-07-18,2020-06-15_2020-07-25,2020-06-22_2020-08-01,2020-06-29_2020-08-08,2020-07-06_2020-08-15,2020-07-13_2020-08-22,2020-07-20_2020-08-29,2020-07-27_2020-09-05,2020-08-03_2020-09-12,2020-08-10_2020-09-19,2020-08-17_2020-09-26
perc_beat_baseline-LANL-GrowthRate,0.3529411765,0.431372549,0.5294117647,0.5490196078,0.568627451,0.6862745098,0.7254901961,0.6862745098,0.6666666667,0.6666666667,0.6470588235,0.6274509804,0.4509803922,0.2745098039,0.3137254902,0.431372549,0.1960784314,0.3137254902
perc_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,,0.3921568627,0.2352941176,0.4509803922,0.3333333333,0.431372549,,0.1960784314
perc_beat_baseline-NotreDame-FRED,,,0.2857142857,,,0.1428571429,0.2857142857,0.2857142857,0,0,0,0.1428571429,0.1428571429,0.1428571429,0.4285714286,0.2857142857,0.1428571429,0
perc_beat_baseline-NotreDame-mobility,,,,,,,,,,0.6862745098,0.3529411765,0.3333333333,0.4509803922,0.3529411765,0.3529411765,0.2941176471,0.2156862745,0.3137254902
perc_beat_baseline-PSI-DRAFT,,,,,0.3725490196,0.5098039216,0.6078431373,0.3725490196,0.3725490196,0.2941176471,0.3529411765,0.3333333333,0.2549019608,0.16,0.2352941176,0.1960784314,0.1764705882,0.2941176471
perc_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,
perc_beat_baseline-Quantori-Multiagents,,,,1,,,,,,,,,,,,,,
perc_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,,,,,,,0.22
perc_beat_baseline-STH-3PU,,,,,,,,,1,1,1,1,1,1,0,1,1,1
perc_beat_baseline-SWC-TerminusCM,,,,,,0.325,0.3617021277,0.3958333333,0.4117647059,,0.3333333333,,,,,,,
perc_beat_baseline-UCLA-SuEIR,,,0.4705882353,0.568627451,0.5490196078,0.6470588235,0.7058823529,0.5490196078,0.5098039216,0.4705882353,0.431372549,0.4705882353,0.5294117647,0.431372549,0.3333333333,0.5882352941,0.3921568627,0.3725490196
perc_beat_baseline-USACE-ERDC_SEIR,,,,,0.4705882353,0.568627451,0.5294117647,0.5882352941,0.5882352941,0.6274509804,0.5294117647,0.6862745098,0.6274509804,0.137254902,0.3529411765,0.3333333333,0.3529411765,0.431372549
perc_beat_baseline-USC-SI_kJalpha,,,,,,,,,,,0.6274509804,0.5490196078,0.431372549,0.5294117647,0.431372549,0.4705882353,0.3529411765,0.4509803922
perc_beat_baseline-UT-Mobility,0.2549019608,0.2745098039,0.3333333333,,,,,,,,,,,,,,,
perc_beat_baseline-YYG-ParamSearch,0.3137254902,0.4117647059,0.6274509804,0.5490196078,0.3921568627,0.4705882353,0.5882352941,0.6274509804,0.5882352941,0.7058823529,0.6666666667,0.6862745098,0.7647058824,0.6274509804,0.5882352941,0.4705882353,0.5098039216,0.568627451
mean_abs_error-Auquan-SEIR,,,,,,,,,,,,544.0392157,,,,,,179.4705882
mean_abs_error-Baseline,645.7490196,619.6666667,571.0843137,586.7784314,496.0352941,403.8196078,339.3745098,366.3705882,351.4411765,359.1098039,601.9745098,446.8137255,362.2745098,300.4254902,200.4176471,239.6294118,208.954902,235.5843137
mean_abs_error-CU-select,,,,,,,,,,,,,,,,,,
mean_abs_error-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,
mean_abs_error-Covid19Sim-Simulator,,,,,,230.4509804,286.4882353,301.7215686,209.4764706,240.9823529,292.0705882,287.3529412,183.2470588,186.4843137,177.5098039,171.6941176,,
mean_abs_error-CovidActNow-SEIR_CAN,,,,,,,,,,,,1772.413725,,,,,,
mean_abs_error-CovidAnalytics-DELPHI,,417.8039216,435.745098,,,,,,,,,331.1764706,263.0980392,240.627451,211.4509804,201.8823529,206.9215686,171.1764706
mean_abs_error-IHME-CurveFit,799.9509804,,326.0862745,239.8196078,252.8490196,,296.7803922,203.2843137,203.5411765,218.245098,290.5666667,346.3098039,,274.6607843,213.3843137,198.5666667,174.5568627,
mean_abs_error-IowaStateLW-STEM,,,,,,,,,,,,,,,,,,
mean_abs_error-LANL-GrowthRate,558.7372549,428.3078431,251.6980392,215.0039216,202.172549,187.6980392,178.2078431,199.0882353,187.9235294,257.6019608,340.4647059,397.5137255,391.0078431,400.7313725,416.9078431,337.9960784,263.7333333,262.3196078
mean_abs_error-MITCovAlliance-SIR,,,,,,,,,,,,652.9294118,735.0235294,615.745098,618.5745098,449.5941176,,568.1823529
mean_abs_error-NotreDame-FRED,,,,,,,,,,,,,,,,,,
mean_abs_error-NotreDame-mobility,,,,,,,,,,376.0784314,1022.705882,492.5705882,396.2784314,369.2803922,377.3254902,423.7784314,446.354902,324.1627451
mean_abs_error-PSI-DRAFT,,,,,537.4607843,300.9901961,242.5294118,651.0098039,424.1078431,493.7941176,528.4803922,606.0098039,547.1862745,,1127.794118,1630.901961,566,512.6372549
mean_abs_error-QJHong-Encounter,,,,,,,,,,,,,,,,,,
mean_abs_error-Quantori-Multiagents,,,,,,,,,,,,,,,,,,
mean_abs_error-RobertWalraven-ESG,,,,,,,,,,,,,,,,,,
mean_abs_error-STH-3PU,,,,,,,,,,,,,,,,,,
mean_abs_error-SWC-TerminusCM,,,,,,,,,447.254902,,,,,,,,,
mean_abs_error-UCLA-SuEIR,,,329.172549,287.2372549,164.9196078,160.5392157,163.2588235,236.545098,248.9588235,318.8039216,404.0803922,408.8294118,315.5196078,300.0666667,212.7352941,177.272549,182.5607843,174.3411765
mean_abs_error-USACE-ERDC_SEIR,,,,,333.1490196,266.4862745,361.2901961,307.0666667,199.9431373,255.9588235,375.1627451,230.9686275,252.4215686,916.1941176,537.3509804,466.1333333,389.1882353,355.1803922
mean_abs_error-USC-SI_kJalpha,,,,,,,,,,,425.7941176,496.4627451,460.7098039,337.0313725,307.7647059,160.372549,181.3529412,145.9803922
mean_abs_error-UT-Mobility,953.3647059,810.0176471,2624.860784,,,,,,,,,,,,,,,
mean_abs_error-YYG-ParamSearch,380.9254902,330.9843137,185.5803922,289.4686275,358.5509804,288.7098039,194.6431373,217.5176471,231.5647059,260.6372549,281.2941176,314.5843137,187.1196078,203.6745098,187.2431373,140.9490196,126.5627451,102.2803922
