,2020-04-20_2020-04-25
num_states,51
num_states_with_projections-CU-select,50
num_states_with_projections-Geneva-DetGrowth,0
num_states_with_projections-IHME-CurveFit,51
num_states_with_projections-Imperial-ensemble1,0
num_states_with_projections-Imperial-ensemble2,0
num_states_with_projections-LANL-GrowthRate,51
num_states_with_projections-MOBS_NEU-GLEAM_COVID,44
num_states_with_projections-UT-Mobility,51
num_states_with_projections-YYG-ParamSearch,51
num_states_beat_baseline-CU-select,12
num_states_beat_baseline-Geneva-DetGrowth,
num_states_beat_baseline-IHME-CurveFit,21
num_states_beat_baseline-Imperial-ensemble1,
num_states_beat_baseline-Imperial-ensemble2,
num_states_beat_baseline-LANL-GrowthRate,20
num_states_beat_baseline-MOBS_NEU-GLEAM_COVID,5
num_states_beat_baseline-UT-Mobility,20
num_states_beat_baseline-YYG-ParamSearch,23
perc_beat_baseline-CU-select,0.24
perc_beat_baseline-Geneva-DetGrowth,
perc_beat_baseline-IHME-CurveFit,0.4117647059
perc_beat_baseline-Imperial-ensemble1,
perc_beat_baseline-Imperial-ensemble2,
perc_beat_baseline-LANL-GrowthRate,0.3921568627
perc_beat_baseline-MOBS_NEU-GLEAM_COVID,0.1136363636
perc_beat_baseline-UT-Mobility,0.3921568627
perc_beat_baseline-YYG-ParamSearch,0.4509803922
mean_abs_error-Baseline,55.61176471
mean_abs_error-CU-select,
mean_abs_error-Geneva-DetGrowth,
mean_abs_error-IHME-CurveFit,61.71176471
mean_abs_error-Imperial-ensemble1,
mean_abs_error-Imperial-ensemble2,
mean_abs_error-LANL-GrowthRate,91.33921569
mean_abs_error-MOBS_NEU-GLEAM_COVID,
mean_abs_error-UT-Mobility,172.1901961
mean_abs_error-YYG-ParamSearch,63.9
