,2020-04-20_2020-07-04,2020-04-27_2020-07-11,2020-05-04_2020-07-18,2020-05-11_2020-07-25,2020-05-18_2020-08-01,2020-05-25_2020-08-08,2020-06-01_2020-08-15,2020-06-08_2020-08-22,2020-06-15_2020-08-29,2020-06-22_2020-09-05,2020-06-29_2020-09-12,2020-07-06_2020-09-19,2020-07-13_2020-09-26,2020-07-20_2020-10-03,2020-07-27_2020-10-10,2020-08-03_2020-10-17,2020-08-10_2020-10-24,2020-08-17_2020-10-31,2020-08-24_2020-11-07,2020-08-31_2020-11-14,2020-09-07_2020-11-21,2020-09-14_2020-11-28,2020-09-21_2020-12-05,2020-09-28_2020-12-12,2020-10-05_2020-12-19,2020-10-12_2020-12-26,2020-10-19_2021-01-02,2020-10-26_2021-01-09,2020-11-02_2021-01-16,2020-11-09_2021-01-23,2020-11-16_2021-01-30,2020-11-23_2021-02-06,2020-11-30_2021-02-13,2020-12-07_2021-02-20,2020-12-14_2021-02-27,2020-12-21_2021-03-06
num_states,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,51,51,51,51,,,,,,,,
num_states_with_projections-Baseline,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-Covid19Sim-Simulator,,,,,,51,51,51,51,51,51,51,51,51,51,51,,17,51,51,51,51,51,51,51,51,51,51,51,51,,51,51,51,51,51
num_states_with_projections-IHME-CurveFit,51,49,51,51,51,,,51,51,51,51,51,,51,51,51,51,,51,51,51,,51,51,,,51,51,,,,51,,51,51,51
num_states_with_projections-IowaStateLW-STEM,,49,49,,49,49,49,49,49,49,49,49,49,49,49,49,,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
num_states_with_projections-JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,
num_states_with_projections-STH-3PU,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,2,2,2,2,,,,,,,
num_states_with_projections-UCLA-SuEIR,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-USACE-ERDC_SEIR,,,,,51,51,51,51,51,51,51,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-USC-SI_kJalpha,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-YYG-ParamSearch,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,23,34,37,34,,,,,,,,
num_states_beat_baseline-Covid19Sim-Simulator,,,,,,30,30,28,33,33,30,35,29,25,21,28,,9,17,30,33,26,21,17,35,35,33,44,43,44,,28,32,29,36,29
num_states_beat_baseline-IHME-CurveFit,17,18,28,30,25,,,27,35,33,27,25,,15,13,25,16,,18,22,22,,30,31,,,41,42,,,,37,,34,32,29
num_states_beat_baseline-IowaStateLW-STEM,,21,28,,22,24,25,22,24,21,19,26,25,14,18,22,,17,21,27,19,31,28,13,10,13,10,11,17,23,21,33,30,20,22,19
num_states_beat_baseline-JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,
num_states_beat_baseline-STH-3PU,,,,,,,,,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,,1,0,0,0,0,,,,,,,
num_states_beat_baseline-UCLA-SuEIR,,,26,31,28,31,28,23,19,24,15,18,24,19,21,26,18,19,21,21,20,9,19,14,8,11,10,7,7,8,8,28,21,21,24,28
num_states_beat_baseline-USACE-ERDC_SEIR,,,,,28,28,29,26,30,34,30,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-USC-SI_kJalpha,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-YYG-ParamSearch,,,,,,,,30,28,37,35,35,34,24,27,28,31,28,,,,,,,,,,,,,,,,,,
perc_beat_baseline-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,0.4509803922,0.6666666667,0.7254901961,0.6666666667,,,,,,,,
perc_beat_baseline-Covid19Sim-Simulator,,,,,,0.5882352941,0.5882352941,0.5490196078,0.6470588235,0.6470588235,0.5882352941,0.6862745098,0.568627451,0.4901960784,0.4117647059,0.5490196078,,0.5294117647,0.3333333333,0.5882352941,0.6470588235,0.5098039216,0.4117647059,0.3333333333,0.6862745098,0.6862745098,0.6470588235,0.862745098,0.8431372549,0.862745098,,0.5490196078,0.6274509804,0.568627451,0.7058823529,0.568627451
perc_beat_baseline-IHME-CurveFit,0.3333333333,0.3673469388,0.5490196078,0.5882352941,0.4901960784,,,0.5294117647,0.6862745098,0.6470588235,0.5294117647,0.4901960784,,0.2941176471,0.2549019608,0.4901960784,0.3137254902,,0.3529411765,0.431372549,0.431372549,,0.5882352941,0.6078431373,,,0.8039215686,0.8235294118,,,,0.7254901961,,0.6666666667,0.6274509804,0.568627451
perc_beat_baseline-IowaStateLW-STEM,,0.4285714286,0.5714285714,,0.4489795918,0.4897959184,0.5102040816,0.4489795918,0.4897959184,0.4285714286,0.387755102,0.5306122449,0.5102040816,0.2857142857,0.3673469388,0.4489795918,,0.3469387755,0.4285714286,0.5510204082,0.387755102,0.6326530612,0.5714285714,0.2653061224,0.2040816327,0.2653061224,0.2040816327,0.2244897959,0.3469387755,0.4693877551,0.4285714286,0.6734693878,0.612244898,0.4081632653,0.4489795918,0.387755102
perc_beat_baseline-JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,,,,,,,0.6078431373,,,,,,,,,,
perc_beat_baseline-STH-3PU,,,,,,,,,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,,1,0,0,0,0,,,,,,,
perc_beat_baseline-UCLA-SuEIR,,,0.5098039216,0.6078431373,0.5490196078,0.6078431373,0.5490196078,0.4509803922,0.3725490196,0.4705882353,0.2941176471,0.3529411765,0.4705882353,0.3725490196,0.4117647059,0.5098039216,0.3529411765,0.3725490196,0.4117647059,0.4117647059,0.3921568627,0.1764705882,0.3725490196,0.2745098039,0.1568627451,0.2156862745,0.1960784314,0.137254902,0.137254902,0.1568627451,0.1568627451,0.5490196078,0.4117647059,0.4117647059,0.4705882353,0.5490196078
perc_beat_baseline-USACE-ERDC_SEIR,,,,,0.5490196078,0.5490196078,0.568627451,0.5098039216,0.5882352941,0.6666666667,0.5882352941,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-USC-SI_kJalpha,,,,,,,,,,,0.6078431373,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-YYG-ParamSearch,,,,,,,,0.5882352941,0.5490196078,0.7254901961,0.6862745098,0.6862745098,0.6666666667,0.4705882353,0.5294117647,0.5490196078,0.6078431373,0.5490196078,,,,,,,,,,,,,,,,,,
mean_abs_error-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,1163.517647,1193.341176,1297.113725,1371.247059,,,,,,,,
mean_abs_error-Baseline,1623.113725,1585.290196,1516.57451,1465.719608,1307.176471,1132.196078,1035.045098,1059.241176,929.2176471,841.8313725,1186.641176,783.1,587.627451,446.1196078,308.7078431,619.1196078,590.3980392,638.1019608,583.7078431,569.0941176,604.6823529,631.7901961,793.7568627,943.0568627,1167.884314,1394.5,1647.572549,1815.101961,2120.123529,2252.598039,2279.462745,2001.107843,2200.547059,1745.082353,1838.380392,1538.421569
