,2020-04-20_2020-06-27,2020-04-27_2020-06-27,2020-05-04_2020-06-27,2020-05-11_2020-06-27,2020-05-18_2020-06-27,2020-05-25_2020-06-27,2020-06-01_2020-06-27,2020-06-08_2020-06-27,2020-06-15_2020-06-27,2020-06-22_2020-06-27
perc_beat_baseline-YYG-ParamSearch,,,0.7058823529,0.5098039216,0.3921568627,0.3725490196,0.568627451,0.5098039216,0.6078431373,0.6862745098
perc_beat_baseline-epiforecasts-ensemble1,,,,,,,,,0.2666666667,0.2142857143
mean_abs_error-Auquan-SEIR,,,,,,,342.8823529,638.4509804,551.5490196,72.09803922
mean_abs_error-Baseline,1375.25098,1112.415686,890.0254902,715.6803922,466.9568627,263.7529412,173.9588235,138.2686275,74.19803922,52.2
mean_abs_error-COVIDhub-ensemble,,,,,,,157.0784314,100.2784314,73.01568627,53.44313725
mean_abs_error-CU-select,,,,,,,,219.3333333,138.5098039,87.74509804
mean_abs_error-Covid19Sim-Simulator,,,,,,233.1627451,227.545098,183.4215686,104.3686275,74.41568627
mean_abs_error-CovidActNow-SEIR_CAN,,,,,,,226.8666667,230.7156863,133.6509804,
mean_abs_error-GT-DeepCOVID,,,,,,,,,,
mean_abs_error-GT_CHHS-COVID19,,,,,,,,,,
mean_abs_error-IHME-CurveFit,1181.396078,,386.6352941,252.0647059,267.2764706,,208.2745098,116.5705882,96.75882353,69.87843137
mean_abs_error-Imperial-ensemble1,,,,,,,,,,
mean_abs_error-Imperial-ensemble2,,,,,,,,,,
mean_abs_error-IowaStateLW-STEM,,,,,,,,,,
mean_abs_error-JHU_IDD-CovidSP,,,,,,,421.472549,275.0568627,118.7745098,84.06862745
mean_abs_error-LANL-GrowthRate,,,,284.2823529,236.1529412,172.5627451,125.627451,110.9647059,86.9745098,68.44509804
mean_abs_error-MIT_CovidAnalytics-DELPHI,,,,,,232.5294118,162.4901961,159.2941176,113.9607843,65.49019608
mean_abs_error-MOBS_NEU-GLEAM_COVID,,,,,,,,,,
mean_abs_error-NotreDame-FRED,,,,,,,,,,
mean_abs_error-NotreDame-mobility,,,,,,,,,,196.5764706
mean_abs_error-OliverWyman-Navigator,,,,,,,,,71.80392157,58.57843137
mean_abs_error-PSI-DRAFT,,,,,514.6568627,273.6176471,171.6568627,300.4705882,107.9313725,71.87254902
mean_abs_error-SWC-TerminusCM,,,,,,,,,214.8627451,
mean_abs_error-UA-EpiCovDA,,,,,,,274.3921569,264.8039216,91.11764706,55.1372549
mean_abs_error-UCLA-SuEIR,,,435.0411765,358.5176471,202.6019608,147.5156863,137.0078431,116.3137255,66.93529412,51.6627451
mean_abs_error-UMass-MechBayes,,,,,,135.4313725,180.8431373,90.01960784,64.05882353,53.29411765
mean_abs_error-USACE-ERDC_SEIR,,,,,367.9921569,268.9294118,293.2666667,218.0254902,128.3705882,187.4
mean_abs_error-UT-Mobility,,,,,,,141.3372549,115.5372549,81.33333333,56.3627451
mean_abs_error-YYG-ParamSearch,,,239.4215686,361.1117647,347.5,224.7039216,124.1941176,95.01764706,61.40196078,50.26470588
mean_abs_error-epiforecasts-ensemble1,,,,,,,,,,
