,2020-09-21_2021-03-06,2020-09-28_2021-03-06,2020-10-05_2021-03-06,2020-10-12_2021-03-06,2020-10-19_2021-03-06,2020-10-26_2021-03-06,2020-11-02_2021-03-06,2020-11-09_2021-03-06,2020-11-16_2021-03-06,2020-11-23_2021-03-06,2020-11-30_2021-03-06,2020-12-07_2021-03-06,2020-12-14_2021-03-06,2020-12-21_2021-03-06,2020-12-28_2021-03-06,2021-01-04_2021-03-06,2021-01-11_2021-03-06,2021-01-18_2021-03-06,2021-01-25_2021-03-06,2021-02-01_2021-03-06,2021-02-08_2021-03-06,2021-02-15_2021-03-06,2021-02-22_2021-03-06,2021-03-01_2021-03-06
num_states,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-AIpert-pwllnod,,,,,,,,,,,,,,,,,51,51,51,51,51,51,50,51
num_states_with_projections-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-Baseline,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-CEID-Walk,,,,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-CMU-TimeSeries,,,,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-COVIDhub-baseline,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51
num_states_with_projections-COVIDhub-ensemble,,,,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-CU-select,,,,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-Caltech-CS156,,,,,,,,,,,,,,,,,,,,,51,,51,51
num_states_with_projections-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,0,51,50,0,51,51,51,51
num_states_with_projections-Covid19Sim-Simulator,,,,,51,51,51,51,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-CovidAnalytics-DELPHI,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51
num_states_with_projections-DDS-NBDS,,,,,,,,,,,,,,,,,,,,,51,,51,51
num_states_with_projections-FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
num_states_with_projections-GT-DeepCOVID,,,,,,,,,,,,,,,,,,,,,49,49,48,45
num_states_with_projections-GT_CHHS-COVID19,,,,,,,,,,,,,,,,,,,,,1,1,1,1
num_states_with_projections-Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,,,,,51
num_states_with_projections-Google_Harvard-CPF,,,,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-IBF-TimeSeries,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
num_states_with_projections-IHME-CurveFit,,,,,51,51,,,,51,,51,51,51,51,,,51,51,51,51,51,51,51
num_states_with_projections-IUPUI-HkPrMobiDyR,,,,,,,,,,,,,,,,,,,,,,,50,
num_states_with_projections-IowaStateLW-STEM,,,,,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
num_states_with_projections-JHUAPL-Bucky,,,,,,,,,,,,,,,,51,51,,51,51,51,51,51,51
num_states_with_projections-JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,,50,51,51,51
num_states_with_projections-JHU_IDD-CovidSP,,,,,,,,,,,,,,,,,,,51,51,51,51,45,51
num_states_with_projections-Karlen-pypm,,,,,,,,,,,,,,,,,,,,51,51,51,51,51
num_states_with_projections-LANL-GrowthRate,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51
num_states_with_projections-LNQ-ens1,,,,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-MITCovAlliance-SIR,,,,,,,,,,,,,,,,,51,,,,,,,
num_states_with_projections-MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,43,46,42,41
num_states_with_projections-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,,,50,50,50,50
num_states_with_projections-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,50,50,51,51
num_states_with_projections-NotreDame-FRED,,,,,,,,,,,,,,,,,,,,,,,7,
num_states_with_projections-OliverWyman-Navigator,,,,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-PSI-DRAFT,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51
num_states_with_projections-QJHong-Encounter,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
num_states_with_projections-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,,,,,30,30,31,30
num_states_with_projections-RobertWalraven-ESG,,,,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-STH-3PU,,,,,2,2,2,,,,,,,,,,,,,,,,,
num_states_with_projections-SigSci-TS,,,,,,,,,,,,,,,,,,,,,38,49,48,50
num_states_with_projections-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,,,51,,51,51
num_states_with_projections-TTU-squider,,,,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-UA-EpiCovDA,,,,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-UCLA-SuEIR,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,,51,51
num_states_with_projections-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
num_states_with_projections-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,,,50,50,50,50
num_states_with_projections-UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,,,,,51,51
num_states_with_projections-UMass-MechBayes,,,,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-UMich-RidgeTfReg,,,,,,,,,,,,,,,,,,,,,49,47,44,42
num_states_with_projections-USC-SI_kJalpha,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51
num_states_with_projections-UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,0,0,0,0
num_states_with_projections-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,
num_states_with_projections-epiforecasts-ensemble1,,,,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_beat_baseline-AIpert-pwllnod,,,,,,,,,,,,,,,,,25,17,25,23,28,25,19,14
num_states_beat_baseline-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,41,32,27,27
num_states_beat_baseline-CEID-Walk,,,,,,,,,,,,,,,,,,,,,13,13,13,15
num_states_beat_baseline-CMU-TimeSeries,,,,,,,,,,,,,,,,,,,,,39,37,25,21
num_states_beat_baseline-COVIDhub-ensemble,,,,,,,,,,,,,,,,,,,,,43,40,35,26
num_states_beat_baseline-COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,42,1,30,29
num_states_beat_baseline-CU-select,,,,,,,,,,,,,,,,,,,,,36,36,29,16
num_states_beat_baseline-Caltech-CS156,,,,,,,,,,,,,,,,,,,,,36,,29,25
num_states_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,16,20,,37,33,21,19
num_states_beat_baseline-Covid19Sim-Simulator,,,,,30,40,41,33,,26,31,29,36,29,26,28,39,32,23,35,37,27,22,13
num_states_beat_baseline-CovidAnalytics-DELPHI,,,,,,,,,,,,,,,,,,,27,33,36,30,25,22
num_states_beat_baseline-DDS-NBDS,,,,,,,,,,,,,,,,,,,,,19,,14,22
num_states_beat_baseline-FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-GT-DeepCOVID,,,,,,,,,,,,,,,,,,,,,34,30,25,24
num_states_beat_baseline-GT_CHHS-COVID19,,,,,,,,,,,,,,,,,,,,,0,0,0,1
num_states_beat_baseline-Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,,,,,12
num_states_beat_baseline-Google_Harvard-CPF,,,,,,,,,,,,,,,,,,,,,37,29,30,20
num_states_beat_baseline-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-IHME-CurveFit,,,,,46,44,,,,34,,30,33,29,30,,,28,33,35,41,37,22,14
num_states_beat_baseline-IUPUI-HkPrMobiDyR,,,,,,,,,,,,,,,,,,,,,,,25,
num_states_beat_baseline-IowaStateLW-STEM,,,,,10,8,14,21,17,30,29,21,21,19,16,25,28,19,24,13,20,11,23,16
num_states_beat_baseline-JHUAPL-Bucky,,,,,,,,,,,,,,,,24,30,,31,19,24,12,17,12
num_states_beat_baseline-JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,,28,24,25,23
num_states_beat_baseline-JHU_IDD-CovidSP,,,,,,,,,,,,,,,,,,,27,28,28,23,15,17
num_states_beat_baseline-Karlen-pypm,,,,,,,,,,,,,,,,,,,,42,42,39,30,28
num_states_beat_baseline-LANL-GrowthRate,,,,,,,,,,,,,,,,,,,33,35,38,33,25,26
num_states_beat_baseline-LNQ-ens1,,,,,,,,,,,,,,,,,,,,,45,40,26,32
num_states_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,,,,,,,26,,,,,,,
num_states_beat_baseline-MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,,,24,10,30,17
num_states_beat_baseline-MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,21,28,19,14
num_states_beat_baseline-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,,,38,30,24,22
num_states_beat_baseline-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,17,24,34,28
num_states_beat_baseline-NotreDame-FRED,,,,,,,,,,,,,,,,,,,,,,,0,
num_states_beat_baseline-OliverWyman-Navigator,,,,,,,,,,,,,,,,,,,,,45,41,25,24
num_states_beat_baseline-PSI-DRAFT,,,,,,,,,,,,,,,,,,,23,24,27,32,20,20
num_states_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,,,,,16,12,13,13
num_states_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,,,,,,,,,,45,36,32,22
