,2020-04-20_2020-07-18,2020-04-27_2020-07-25,2020-05-04_2020-08-01,2020-05-11_2020-08-08,2020-05-18_2020-08-15,2020-05-25_2020-08-22,2020-06-01_2020-08-29,2020-06-08_2020-09-05,2020-06-15_2020-09-12,2020-06-22_2020-09-19,2020-06-29_2020-09-26,2020-07-06_2020-10-03,2020-07-13_2020-10-10,2020-07-20_2020-10-17,2020-07-27_2020-10-24,2020-08-03_2020-10-31,2020-08-10_2020-11-07,2020-08-17_2020-11-14,2020-08-24_2020-11-21,2020-08-31_2020-11-28,2020-09-07_2020-12-05,2020-09-14_2020-12-12,2020-09-21_2020-12-19,2020-09-28_2020-12-26,2020-10-05_2021-01-02,2020-10-12_2021-01-09,2020-10-19_2021-01-16,2020-10-26_2021-01-23,2020-11-02_2021-01-30,2020-11-09_2021-02-06
perc_beat_baseline-UCLA-SuEIR,,,0.4509803922,0.568627451,0.5098039216,0.5882352941,0.5098039216,0.5098039216,0.3921568627,0.431372549,0.2745098039,0.3725490196,0.4901960784,0.3921568627,0.4117647059,0.5490196078,0.3137254902,0.3529411765,0.3137254902,0.3921568627,0.3921568627,0.1764705882,0.2745098039,0.2352941176,0.137254902,0.1960784314,0.1764705882,0.137254902,0.1176470588,0.1764705882
perc_beat_baseline-USACE-ERDC_SEIR,,,,,0.568627451,0.5490196078,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-USC-SI_kJalpha,,,,,,,,,,,0.5294117647,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-YYG-ParamSearch,,,,,,,,,0.5882352941,0.6862745098,0.6470588235,,0.6666666667,0.5294117647,0.6078431373,0.6078431373,,,,,,,,,,,,,,
mean_abs_error-Baseline,2073.678431,2060.643137,1982.990196,1891.398039,1691.937255,1448.647059,1299.554902,1293.421569,1099.743137,983.7137255,1368.7,876.0372549,656.0666667,493.3078431,439.3470588,830.5941176,781.3509804,832.9411765,795.4254902,784.3764706,858.4509804,951.6490196,1119.952941,1283.57451,1536.119608,1863.794118,2199.498039,2350.631373,2618.170588,2745.456863
mean_abs_error-Covid19Sim-Simulator,,,,,,870.0058824,945.1568627,960.1156863,749.3058824,718.2333333,834.4176471,811.5470588,743.5098039,610.8470588,551.1862745,394.3588235,,,929.454902,645.5019608,828.3882353,1128.462745,1413.080392,1477.876471,1339.711765,1674.152941,2219.468627,1732.354902,1617.178431,1917.762745
mean_abs_error-IHME-CurveFit,1452.527451,,774.0254902,684.2215686,,,,875.4294118,663.6,521.2098039,677.3941176,629.5235294,,565.245098,511.3470588,606.5529412,761.9039216,,1140.513725,1261.476471,1353.313725,,1258.627451,1308.080392,,,1113.196078,1200.321569,,
mean_abs_error-IowaStateLW-STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-STH-3PU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-UCLA-SuEIR,,,886.8470588,891.2882353,757.2666667,830.1588235,838.1156863,930.6588235,966.2666667,984.1921569,1031.380392,941.3529412,623.9901961,610.4705882,479.9764706,447.8627451,652.8392157,608.9019608,613.1627451,685.0215686,892.0156863,1170.490196,1392.684314,1589.096078,1901.307843,2236.164706,2644.743137,2913.55098,3090.019608,3198.486275
mean_abs_error-USACE-ERDC_SEIR,,,,,971.0588235,998.1960784,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-USC-SI_kJalpha,,,,,,,,,,,996.5039216,,,,,,,,,,,,,,,,,,,
mean_abs_error-YYG-ParamSearch,,,,,,,,,772.7941176,668.872549,651.2568627,,395.6058824,423.3862745,356.2921569,308.8764706,,,,,,,,,,,,,,
