,2020-04-20_2020-05-09,2020-04-27_2020-05-09,2020-05-04_2020-05-09
num_states,51,51,51
num_states_with_projections-COVIDhub-baseline,51,51,51
num_states_with_projections-COVIDhub-ensemble,,51,51
num_states_with_projections-CU-select,50,50,50
num_states_with_projections-CovidAnalytics-DELPHI,,51,51
num_states_with_projections-GT-DeepCOVID,,,47
num_states_with_projections-Geneva-DetGrowth,,,0
num_states_with_projections-IHME-CurveFit,51,49,51
num_states_with_projections-Imperial-ensemble1,,,0
num_states_with_projections-Imperial-ensemble2,,,0
num_states_with_projections-IowaStateLW-STEM,,49,49
num_states_with_projections-JHU_IDD-CovidSP,,0,
num_states_with_projections-LANL-GrowthRate,51,51,51
num_states_with_projections-MOBS-GLEAM_COVID,44,48,50
num_states_with_projections-NotreDame-FRED,,,7
num_states_with_projections-UCLA-SuEIR,,,51
num_states_with_projections-UMass-ExpertCrowd,0,,
num_states_with_projections-UMass-MechBayes,,51,51
num_states_with_projections-UT-Mobility,51,51,51
num_states_with_projections-YYG-ParamSearch,51,51,51
num_states_beat_baseline-COVIDhub-baseline,25,20,25
num_states_beat_baseline-COVIDhub-ensemble,,27,25
num_states_beat_baseline-CU-select,15,23,17
num_states_beat_baseline-CovidAnalytics-DELPHI,,25,13
num_states_beat_baseline-GT-DeepCOVID,,,6
num_states_beat_baseline-Geneva-DetGrowth,,,
num_states_beat_baseline-IHME-CurveFit,14,15,15
num_states_beat_baseline-Imperial-ensemble1,,,
num_states_beat_baseline-Imperial-ensemble2,,,
num_states_beat_baseline-IowaStateLW-STEM,,23,16
num_states_beat_baseline-JHU_IDD-CovidSP,,,
num_states_beat_baseline-LANL-GrowthRate,23,23,24
num_states_beat_baseline-MOBS-GLEAM_COVID,11,18,19
num_states_beat_baseline-NotreDame-FRED,,,2
num_states_beat_baseline-UCLA-SuEIR,,,9
num_states_beat_baseline-UMass-ExpertCrowd,,,
num_states_beat_baseline-UMass-MechBayes,,17,17
num_states_beat_baseline-UT-Mobility,13,17,22
num_states_beat_baseline-YYG-ParamSearch,23,16,12
perc_beat_baseline-COVIDhub-baseline,0.4901960784,0.3921568627,0.4901960784
perc_beat_baseline-COVIDhub-ensemble,,0.5294117647,0.4901960784
perc_beat_baseline-CU-select,0.3,0.46,0.34
perc_beat_baseline-CovidAnalytics-DELPHI,,0.4901960784,0.2549019608
perc_beat_baseline-GT-DeepCOVID,,,0.1276595745
perc_beat_baseline-Geneva-DetGrowth,,,
perc_beat_baseline-IHME-CurveFit,0.2745098039,0.306122449,0.2941176471
perc_beat_baseline-Imperial-ensemble1,,,
perc_beat_baseline-Imperial-ensemble2,,,
perc_beat_baseline-IowaStateLW-STEM,,0.4693877551,0.3265306122
perc_beat_baseline-JHU_IDD-CovidSP,,,
perc_beat_baseline-LANL-GrowthRate,0.4509803922,0.4509803922,0.4705882353
perc_beat_baseline-MOBS-GLEAM_COVID,0.25,0.375,0.38
perc_beat_baseline-NotreDame-FRED,,,0.2857142857
perc_beat_baseline-UCLA-SuEIR,,,0.1764705882
perc_beat_baseline-UMass-ExpertCrowd,,,
perc_beat_baseline-UMass-MechBayes,,0.3333333333,0.3333333333
perc_beat_baseline-UT-Mobility,0.2549019608,0.3333333333,0.431372549
perc_beat_baseline-YYG-ParamSearch,0.4509803922,0.3137254902,0.2352941176
mean_abs_error-Baseline,235.5058824,144.0862745,37.74705882
mean_abs_error-COVIDhub-baseline,484.0490196,122.8392157,43.17647059
mean_abs_error-COVIDhub-ensemble,,128.5215686,42.40392157
mean_abs_error-CU-select,,,
mean_abs_error-CovidAnalytics-DELPHI,,110.0980392,140.2745098
mean_abs_error-GT-DeepCOVID,,,
mean_abs_error-Geneva-DetGrowth,,,
mean_abs_error-IHME-CurveFit,350.3921569,,86.55294118
mean_abs_error-Imperial-ensemble1,,,
mean_abs_error-Imperial-ensemble2,,,
mean_abs_error-IowaStateLW-STEM,,,
mean_abs_error-JHU_IDD-CovidSP,,,
mean_abs_error-LANL-GrowthRate,310.2843137,177.8,49.7627451
mean_abs_error-MOBS-GLEAM_COVID,,,
mean_abs_error-NotreDame-FRED,,,
mean_abs_error-UCLA-SuEIR,,,156
mean_abs_error-UMass-ExpertCrowd,,,
mean_abs_error-UMass-MechBayes,,303.9215686,79.58823529
mean_abs_error-UT-Mobility,481.7294118,289.8019608,172.5294118
mean_abs_error-YYG-ParamSearch,206.5960784,117.4823529,44.2
