,2020-04-27_2020-08-22,2020-05-04_2020-08-29,2020-05-11_2020-09-05,2020-05-18_2020-09-12,2020-05-25_2020-09-19,2020-06-01_2020-09-26,2020-06-08_2020-10-03,2020-06-15_2020-10-10,2020-06-22_2020-10-17,2020-06-29_2020-10-24,2020-07-06_2020-10-31,2020-07-13_2020-11-07,2020-07-20_2020-11-14,2020-07-27_2020-11-21,2020-08-03_2020-11-28,2020-08-10_2020-12-05,2020-08-17_2020-12-12,2020-08-24_2020-12-19,2020-08-31_2020-12-26,2020-09-07_2021-01-02,2020-09-14_2021-01-09,2020-09-21_2021-01-16,2020-09-28_2021-01-23,2020-10-05_2021-01-30,2020-10-12_2021-02-06,2020-10-19_2021-02-13,2020-10-26_2021-02-20,2020-11-02_2021-02-27,2020-11-09_2021-03-06
num_states,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-Baseline,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-Covid19Sim-Simulator,,,,,51,51,51,51,51,51,51,51,51,51,51,,17,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-IHME-CurveFit,,,,,,,51,51,51,51,51,,51,51,51,51,,51,51,51,,51,51,,,51,51,,
num_states_with_projections-IowaStateLW-STEM,49,49,,49,49,49,49,49,49,49,49,49,49,49,49,,49,49,49,49,49,49,49,49,49,49,49,49,49
num_states_with_projections-STH-3PU,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,2,2,2,2,
num_states_beat_baseline-Covid19Sim-Simulator,,,,,29,27,27,28,27,28,31,32,31,29,29,,9,11,21,27,22,17,15,36,36,31,41,42,33
num_states_beat_baseline-IHME-CurveFit,,,,,,,29,28,31,25,29,,14,19,20,27,,29,30,32,,37,43,,,45,45,,
num_states_beat_baseline-IowaStateLW-STEM,22,22,,21,24,22,20,23,20,23,25,27,11,13,13,,12,17,22,16,29,25,10,5,11,9,9,14,21
num_states_beat_baseline-STH-3PU,,,,,,,,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,,1,0,1,1,1,
perc_beat_baseline-Covid19Sim-Simulator,,,,,0.568627451,0.5294117647,0.5294117647,0.5490196078,0.5294117647,0.5490196078,0.6078431373,0.6274509804,0.6078431373,0.568627451,0.568627451,,0.5294117647,0.2156862745,0.4117647059,0.5294117647,0.431372549,0.3333333333,0.2941176471,0.7058823529,0.7058823529,0.6078431373,0.8039215686,0.8235294118,0.6470588235
perc_beat_baseline-IHME-CurveFit,,,,,,,0.568627451,0.5490196078,0.6078431373,0.4901960784,0.568627451,,0.2745098039,0.3725490196,0.3921568627,0.5294117647,,0.568627451,0.5882352941,0.6274509804,,0.7254901961,0.8431372549,,,0.8823529412,0.8823529412,,
perc_beat_baseline-IowaStateLW-STEM,0.4489795918,0.4489795918,,0.4285714286,0.4897959184,0.4489795918,0.4081632653,0.4693877551,0.4081632653,0.4693877551,0.5102040816,0.5510204082,0.2244897959,0.2653061224,0.2653061224,,0.2448979592,0.3469387755,0.4489795918,0.3265306122,0.5918367347,0.5102040816,0.2040816327,0.1020408163,0.2244897959,0.1836734694,0.1836734694,0.2857142857,0.4285714286
perc_beat_baseline-STH-3PU,,,,,,,,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,,1,0,0.5,0.5,0.5,
mean_abs_error-Baseline,3142.972549,2944.080392,2749.813725,2418.231373,2020.843137,1737.876471,1699.617647,1411.488235,1194.160784,1714.119608,1088.680392,840.2509804,722.7470588,857.3705882,1343.139216,1435.927451,1588.996078,1586.641176,1541.270588,1644.772549,2044.943137,2330.164706,2617.413725,3009.072549,3290.221569,3581.866667,3512.690196,3618.645098,3493.182353
mean_abs_error-Covid19Sim-Simulator,,,,,1153.82549,1205.439216,1196.284314,974.5745098,929.045098,1710.288235,1607.205882,1305.378431,976.6764706,870.772549,798.8313725,,,2022.870588,1759.860784,1978.068627,2483.907843,2922.24902,3055.664706,2895.247059,3091.035294,3642,2568.358824,2433.911765,2904.017647
mean_abs_error-IHME-CurveFit,,,,,,,1378.237255,1046.107843,833.5980392,863.0294118,763.2039216,,939.072549,881.454902,909.3686275,1284.588235,,1660.972549,1552.378431,1617.556863,,1539.760784,1421.058824,,,1684.894118,1696.037255,,
mean_abs_error-IowaStateLW-STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-STH-3PU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
