,2020-05-25_2020-09-26,2020-06-01_2020-09-26,2020-06-08_2020-09-26,2020-06-15_2020-09-26,2020-06-22_2020-09-26,2020-06-29_2020-09-26,2020-07-06_2020-09-26,2020-07-13_2020-09-26,2020-07-20_2020-09-26,2020-07-27_2020-09-26,2020-08-03_2020-09-26,2020-08-10_2020-09-26,2020-08-17_2020-09-26,2020-08-24_2020-09-26,2020-08-31_2020-09-26,2020-09-07_2020-09-26,2020-09-14_2020-09-26,2020-09-21_2020-09-26
num_states_beat_baseline-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,25,27,29,27
num_states_beat_baseline-TTU-squider,,,,,,,,,,,,,,,,,7,
num_states_beat_baseline-UA-EpiCovDA,,,,,,,,,,,,,,,23,18,23,20
num_states_beat_baseline-UCLA-SuEIR,,,,,21,14,20,25,20,19,29,20,19,23,24,21,20,22
num_states_beat_baseline-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,0,0,0,0,0
num_states_beat_baseline-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,20,22,18
num_states_beat_baseline-UMass-MechBayes,,,,,,,,,,,,,,,23,27,26,28
num_states_beat_baseline-UMich-RidgeTfReg,,,,,,,,,,,,,,,19,17,16,17
num_states_beat_baseline-USACE-ERDC_SEIR,,,,,,,,,,,18,17,22,17,20,19,13,19
num_states_beat_baseline-USC-SI_kJalpha,,,,,,27,,,,,24,17,22,24,29,28,22,25
num_states_beat_baseline-UT-Mobility,,,,,,,,,,,,,,,,,19,19
num_states_beat_baseline-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,9,13,14
num_states_beat_baseline-YYG-ParamSearch,,,,30,35,33,36,34,26,28,22,24,28,27,25,28,27,25
num_states_beat_baseline-epiforecasts-ensemble1,,,,,,,,,,,,,,,15,8,10,11
perc_beat_baseline-Auquan-SEIR,,,,,,,,,,,,,0.431372549,0.4117647059,,,,
perc_beat_baseline-CEID-Walk,,,,,,,,,,,,,,,0.431372549,0.5294117647,0.5294117647,0.4509803922
perc_beat_baseline-CMU-TimeSeries,,,,,,,,,,,,,,,0.64,0.6326530612,0.5102040816,0.5510204082
perc_beat_baseline-COVIDhub-ensemble,,,,,,,,,,,,,,,0.6078431373,0.568627451,0.5098039216,0.5882352941
perc_beat_baseline-CU-select,,,,,,,,,,,,,,,0.431372549,0.3137254902,0.3725490196,0.2941176471
perc_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,0.44,0.431372549,0.5098039216
perc_beat_baseline-Covid19Sim-Simulator,0.5490196078,0.5294117647,0.5098039216,0.6274509804,0.5882352941,0.568627451,0.6862745098,0.568627451,0.4901960784,0.5294117647,0.5098039216,,0.5294117647,0.2745098039,0.5098039216,0.5098039216,0.4509803922,0.2549019608
perc_beat_baseline-CovidAnalytics-DELPHI,,,,,,,,,,,,0.4509803922,0.431372549,0.4901960784,0.4509803922,0.3529411765,0.3137254902,0.4509803922
perc_beat_baseline-DDS-NBDS,,,,,,,,,,,,,,,0.568627451,0.3921568627,0.4117647059,0.5098039216
perc_beat_baseline-GT-DeepCOVID,,,,,,,,,,,,,,,0.4680851064,0.3958333333,0.5306122449,0.4090909091
perc_beat_baseline-GT_CHHS-COVID19,,,,,,,,,,,,,,,0,0,0,
perc_beat_baseline-Geneva-DetGrowth,,,,,,,,,,,,,,,,,,0.4509803922
perc_beat_baseline-Google_Harvard-CPF,,,,,,,,,,,,,,,0.3725490196,0.2941176471,0.3921568627,0.2745098039
perc_beat_baseline-IBF-TimeSeries,,,,,,,,,,,,,,,,,,
perc_beat_baseline-IHME-CurveFit,,,0.5490196078,0.5882352941,0.5882352941,0.4705882353,0.4901960784,,0.3137254902,0.2745098039,0.4705882353,0.3333333333,,0.3333333333,0.3725490196,0.3725490196,,0.1568627451
perc_beat_baseline-IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,0.4897959184,0.5306122449
perc_beat_baseline-IowaStateLW-STEM,0.4897959184,0.4489795918,0.4081632653,0.4489795918,0.4285714286,0.4285714286,0.5306122449,0.5306122449,0.2653061224,0.3673469388,0.4489795918,,0.4285714286,0.3469387755,0.4693877551,0.4081632653,0.387755102,0.2857142857
perc_beat_baseline-JCB-PRM,,,,,,,,,,,,,,,0.5882352941,0.4901960784,0.6078431373,0.5882352941
perc_beat_baseline-JHUAPL-Bucky,,,,,,,,,,,,,,,0.3333333333,0.3333333333,0.2941176471,0.3333333333
perc_beat_baseline-JHU_IDD-CovidSP,,,,,,,,,,,,,,0.3333333333,0.3725490196,0.3529411765,0.3333333333,0.4117647059
perc_beat_baseline-Karlen-pypm,,,,,,,,,,,,,,0.5882352941,0.5294117647,0.4509803922,0.568627451,0.5882352941
perc_beat_baseline-LANL-GrowthRate,,,,,,,,,,,,0.2156862745,0.2941176471,0.2745098039,0.4705882353,0.3921568627,0.4117647059,0.431372549
perc_beat_baseline-LNQ-ens1,,,,,,,,,,,,,,,0.4509803922,0.4705882353,0.3725490196,0.5490196078
perc_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,0.4117647059,,0.1960784314,,,0.3725490196,0.4117647059,0.3921568627
perc_beat_baseline-MIT_CritData-GBCF,,,,,,,,,,,,,,,,0.3921568627,0.3333333333,0.3725490196
perc_beat_baseline-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,0.52,0.5,0.4,0.48
perc_beat_baseline-NotreDame-FRED,,,,,,,,,,,,,0,0,0,0,0.2857142857,0.1428571429
perc_beat_baseline-NotreDame-mobility,,,,,,,,,,,,,0.3137254902,0.3529411765,0.4705882353,0.431372549,0.2549019608,0.4509803922
perc_beat_baseline-OliverWyman-Navigator,,,,,,,,,,,,,,,0.5294117647,0.568627451,0.5098039216,0.5294117647
perc_beat_baseline-PSI-DRAFT,,,,,,,,,,,,,0.2941176471,0.3137254902,0.4705882353,0.2745098039,0.3333333333,0.5098039216
perc_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,
perc_beat_baseline-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,0.2333333333,0.2666666667,0.4516129032,0.4193548387
perc_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,,0.22,0.2549019608,0.3529411765,0.2352941176,0.1568627451,0.2941176471
perc_beat_baseline-STH-3PU,,,,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0
perc_beat_baseline-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,0.4901960784,0.5294117647,0.568627451,0.5294117647
perc_beat_baseline-TTU-squider,,,,,,,,,,,,,,,,,0.137254902,
perc_beat_baseline-UA-EpiCovDA,,,,,,,,,,,,,,,0.4509803922,0.3529411765,0.4509803922,0.3921568627
perc_beat_baseline-UCLA-SuEIR,,,,,0.4117647059,0.2745098039,0.3921568627,0.4901960784,0.3921568627,0.3725490196,0.568627451,0.3921568627,0.3725490196,0.4509803922,0.4705882353,0.4117647059,0.3921568627,0.431372549
perc_beat_baseline-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,0,0,0,0,0
perc_beat_baseline-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,0.4,0.44,0.36
perc_beat_baseline-UMass-MechBayes,,,,,,,,,,,,,,,0.4509803922,0.5294117647,0.5098039216,0.5490196078
perc_beat_baseline-UMich-RidgeTfReg,,,,,,,,,,,,,,,0.4418604651,0.3469387755,0.3265306122,0.34
perc_beat_baseline-USACE-ERDC_SEIR,,,,,,,,,,,0.3529411765,0.3333333333,0.431372549,0.3333333333,0.3921568627,0.3725490196,0.2549019608,0.3725490196
perc_beat_baseline-USC-SI_kJalpha,,,,,,0.5294117647,,,,,0.4705882353,0.3333333333,0.431372549,0.4705882353,0.568627451,0.5490196078,0.431372549,0.4901960784
perc_beat_baseline-UT-Mobility,,,,,,,,,,,,,,,,,0.3725490196,0.3725490196
perc_beat_baseline-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,0.1764705882,0.2549019608,0.2745098039
perc_beat_baseline-YYG-ParamSearch,,,,0.5882352941,0.6862745098,0.6470588235,0.7058823529,0.6666666667,0.5098039216,0.5490196078,0.431372549,0.4705882353,0.5490196078,0.5294117647,0.4901960784,0.5490196078,0.5294117647,0.4901960784
perc_beat_baseline-epiforecasts-ensemble1,,,,,,,,,,,,,,,0.3260869565,0.1739130435,0.2173913043,0.25
mean_abs_error-Auquan-SEIR,,,,,,,,,,,,,176,153.0392157,,,,
mean_abs_error-Baseline,2126.431373,1726.370588,1600.280392,1262.233333,1036.733333,1366.111765,830.5313725,587.4117647,424.0215686,257.2960784,367.0294118,267.2490196,235.7764706,158.5392157,107.4117647,68.24705882,41.11176471,24.49411765
mean_abs_error-CEID-Walk,,,,,,,,,,,,,,,126.9019608,71.03137255,43.53921569,26.05490196
mean_abs_error-CMU-TimeSeries,,,,,,,,,,,,,,,,,,
mean_abs_error-COVIDhub-baseline,,,,,,,,,,,,,,,125.5392157,78.02352941,43.74313725,25.58823529
mean_abs_error-COVIDhub-ensemble,,,,,,,,,,,,,,,74.03921569,50.33333333,42.52941176,21.64705882
mean_abs_error-CU-select,,,,,,,,,,,,,,,154.4901961,82.62745098,81.11764706,47.19607843
mean_abs_error-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,57.43137255,30.8627451
mean_abs_error-Covid19Sim-Simulator,1223.433333,1210.282353,1148.172549,867.5431373,769.0705882,831.8294118,687.4470588,490.8470588,365.7215686,306.6352941,231.4431373,,,355.8941176,89.75686275,74.54509804,49.64117647,61.07058824
mean_abs_error-CovidAnalytics-DELPHI,,,,,,,,,,,,253.1960784,173.7843137,162.2941176,123.2941176,90.31372549,61,28.50980392
mean_abs_error-DDS-NBDS,,,,,,,,,,,,,,,84.55490196,72.73333333,50.65882353,20.45294118
mean_abs_error-GT-DeepCOVID,,,,,,,,,,,,,,,,,,
mean_abs_error-GT_CHHS-COVID19,,,,,,,,,,,,,,,,,,
mean_abs_error-Geneva-DetGrowth,,,,,,,,,,,,,,,,,,25.10980392
mean_abs_error-Google_Harvard-CPF,,,,,,,,,,,,,,,132.3882353,98.16666667,71.36862745,63.49803922
mean_abs_error-IBF-TimeSeries,,,,,,,,,,,,,,,,,,
mean_abs_error-IHME-CurveFit,,,1231.745098,808.3392157,556.1862745,674.8058824,593.3862745,,419.745098,329.3529412,285.0529412,224.0039216,,321.5431373,213.0980392,110.7764706,,62.55294118
mean_abs_error-IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,
mean_abs_error-IowaStateLW-STEM,,,,,,,,,,,,,,,,,,
mean_abs_error-JCB-PRM,,,,,,,,,,,,,,,77.71568627,59.57058824,46.26862745,21.7254902
mean_abs_error-JHUAPL-Bucky,,,,,,,,,,,,,,,219.1960784,184.2058824,122.2392157,57.65098039
mean_abs_error-JHU_IDD-CovidSP,,,,,,,,,,,,,,221.3509804,138.0058824,77.01176471,47.25098039,24.66666667
mean_abs_error-Karlen-pypm,,,,,,,,,,,,,,152.2745098,101.9960784,66.80392157,46.35490196,20.83529412
mean_abs_error-LANL-GrowthRate,,,,,,,,,,,,324.427451,265.554902,197.4058824,135.6058824,89.38235294,59.04509804,26.49215686
mean_abs_error-LNQ-ens1,,,,,,,,,,,,,,,70.69803922,51.22156863,53.86666667,20.69411765
mean_abs_error-MITCovAlliance-SIR,,,,,,,,,,,583.0392157,,571.7313725,,,101.0941176,78.61764706,34.20392157
mean_abs_error-MIT_CritData-GBCF,,,,,,,,,,,,,,,,68.26078431,78.15686275,27.52941176
mean_abs_error-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,
mean_abs_error-NotreDame-FRED,,,,,,,,,,,,,,,,,,
mean_abs_error-NotreDame-mobility,,,,,,,,,,,,,320.4568627,191.4882353,110.3960784,98.4627451,97.98431373,37.21960784
mean_abs_error-OliverWyman-Navigator,,,,,,,,,,,,,,,94.50784314,50.01960784,42.50392157,20.27843137
mean_abs_error-PSI-DRAFT,,,,,,,,,,,,,515.5588235,234.5392157,159.8431373,117.2058824,69.39215686,30.2254902
mean_abs_error-QJHong-Encounter,,,,,,,,,,,,,,,,,,
mean_abs_error-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,,
mean_abs_error-RobertWalraven-ESG,,,,,,,,,,,,,,242.7941176,167.2843137,144.145098,104.8509804,50.04901961
mean_abs_error-STH-3PU,,,,,,,,,,,,,,,,,,
mean_abs_error-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,110.3137255,54.37254902,43.99215686,19.78431373
mean_abs_error-TTU-squider,,,,,,,,,,,,,,,,,414.6588235,
mean_abs_error-UA-EpiCovDA,,,,,,,,,,,,,,,197.2352941,138.0196078,83.84313725,30.70588235
mean_abs_error-UCLA-SuEIR,,,,,1063.590196,1028.792157,871.2078431,541.4745098,459.2039216,309.1784314,232.9921569,231.5627451,177.8901961,122.9509804,92.5745098,67.14117647,42.33137255,25.29607843
mean_abs_error-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,,,
mean_abs_error-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,
mean_abs_error-UMass-MechBayes,,,,,,,,,,,,,,,111.8431373,48.41176471,46.74509804,23.62745098
mean_abs_error-UMich-RidgeTfReg,,,,,,,,,,,,,,,,,,
mean_abs_error-USACE-ERDC_SEIR,,,,,,,,,,,634.6666667,455.0294118,351.945098,256.2313725,204.4156863,155.0901961,109.7588235,55.49019608
mean_abs_error-USC-SI_kJalpha,,,,,,993.9156863,,,,,269.1372549,234.9411765,149.2156863,147.4901961,95.7254902,63.09803922,45.35294118,25.41176471
mean_abs_error-UT-Mobility,,,,,,,,,,,,,,,,,58.75490196,34.65686275
mean_abs_error-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,157.8156863,117.7019608,78.35490196
mean_abs_error-YYG-ParamSearch,,,,861.0176471,710.3411765,648.354902,514.3941176,329.8862745,323.8980392,259.2235294,173.6039216,149.7294118,104.8882353,95.17058824,72.65098039,59.24313725,50.05882353,26.16666667
mean_abs_error-epiforecasts-ensemble1,,,,,,,,,,,,,,,,,,
