,2020-04-20_2020-06-20,2020-04-27_2020-06-20,2020-05-04_2020-06-20,2020-05-11_2020-06-20,2020-05-18_2020-06-20,2020-05-25_2020-06-20,2020-06-01_2020-06-20,2020-06-08_2020-06-20,2020-06-15_2020-06-20
num_states_beat_baseline-USACE-ERDC_SEIR,,,,,23,22,22,12,9
num_states_beat_baseline-UT-Mobility,,,,,,19,21,25,16
num_states_beat_baseline-YYG-ParamSearch,,,34,29,24,21,33,32,28
num_states_beat_baseline-epiforecasts-ensemble1,,,,,,,,,2
perc_beat_baseline-Auquan-SEIR,,,0.1764705882,,0.3921568627,0.2352941176,0.137254902,0,0
perc_beat_baseline-COVIDhub-ensemble,,,,,,0.5098039216,0.4705882353,0.568627451,0.431372549
perc_beat_baseline-CU-select,,,,0.38,,0.42,0.36,0.3529411765,0.3921568627
perc_beat_baseline-Covid19Sim-Simulator,,,,,,0.568627451,0.3921568627,0.3137254902,0.1960784314
perc_beat_baseline-CovidActNow-SEIR_CAN,,,,,,,0.3333333333,0.1764705882,0.2156862745
perc_beat_baseline-GT-DeepCOVID,,,,,,0.3333333333,0.2857142857,0.3333333333,0.3513513514
perc_beat_baseline-GT_CHHS-COVID19,,,,,,,0,1,0
perc_beat_baseline-Geneva-DetGrowth,,,,,,,,,0.2352941176
perc_beat_baseline-IHME-CurveFit,0.3333333333,0.3469387755,0.5098039216,0.4705882353,0.4117647059,,0.3921568627,0.4509803922,0.3333333333
perc_beat_baseline-Imperial-ensemble1,,,,,,,,,
perc_beat_baseline-Imperial-ensemble2,,,,,,,,,
perc_beat_baseline-IowaStateLW-STEM,,0.4489795918,0.4285714286,,0.5306122449,0.4897959184,0.4081632653,0.3673469388,0.2653061224
perc_beat_baseline-JHU_IDD-CovidSP,,,,,,0.1176470588,0.09803921569,0.1568627451,0.2745098039
perc_beat_baseline-LANL-GrowthRate,,,0.568627451,0.5490196078,0.5490196078,0.6274509804,0.5882352941,0.5490196078,0.3921568627
perc_beat_baseline-MIT_CovidAnalytics-DELPHI,,,,,0.3921568627,0.5490196078,0.5294117647,0.3725490196,0.3333333333
perc_beat_baseline-MOBS_NEU-GLEAM_COVID,,,,,,0.44,0.44,0.44,0.36
perc_beat_baseline-NotreDame-FRED,,,,,,0,0.2857142857,0.4285714286,0.1428571429
perc_beat_baseline-OliverWyman-Navigator,,,,,,,,0.6382978723,0.5294117647
perc_beat_baseline-PSI-DRAFT,,,,,0.4117647059,0.431372549,0.5294117647,0.2352941176,0.3921568627
perc_beat_baseline-SWC-TerminusCM,,,,,,0.25,0.375,0.1914893617,0.3725490196
perc_beat_baseline-UA-EpiCovDA,,,,,,0.3137254902,0.3137254902,0.2156862745,0.4117647059
perc_beat_baseline-UCLA-SuEIR,,,0.5294117647,0.568627451,0.5882352941,0.6470588235,0.6470588235,0.5490196078,0.4901960784
perc_beat_baseline-UChicago-CovidIL,,,,,0,,,,
perc_beat_baseline-UChicago-CovidIL_100,,,,,0,,,,
perc_beat_baseline-UChicago-CovidIL_10_increase,,,,,0,,,,
perc_beat_baseline-UChicago-CovidIL_30_increase,,,,,0,,,,
perc_beat_baseline-UMass-MechBayes,,,,,,0.6470588235,0.6274509804,0.6666666667,0.5882352941
perc_beat_baseline-USACE-ERDC_SEIR,,,,,0.4509803922,0.431372549,0.431372549,0.2352941176,0.1764705882
perc_beat_baseline-UT-Mobility,,,,,,0.3725490196,0.4117647059,0.4901960784,0.3137254902
perc_beat_baseline-YYG-ParamSearch,,,0.6666666667,0.568627451,0.4705882353,0.4117647059,0.6470588235,0.6274509804,0.5490196078
perc_beat_baseline-epiforecasts-ensemble1,,,,,,,,,0.1333333333
mean_abs_error-Auquan-SEIR,,,1029.627451,,357.0196078,357.0196078,356.4509804,522.1764706,321.9803922
mean_abs_error-Baseline,1219.866667,972.0078431,744.9490196,589.6960784,380.6098039,203.5372549,101.1235294,57.79019608,19.19607843
mean_abs_error-COVIDhub-ensemble,,,,,,111.0980392,80.48823529,42.00784314,19.81372549
mean_abs_error-CU-select,,,,,,,,105.8823529,43.49019608
mean_abs_error-Covid19Sim-Simulator,,,,,,174.4627451,166.2745098,120.7235294,50.81764706
mean_abs_error-CovidActNow-SEIR_CAN,,,,,,,139.6215686,110.5882353,56.40784314
mean_abs_error-GT-DeepCOVID,,,,,,,,,
mean_abs_error-GT_CHHS-COVID19,,,,,,,,,
mean_abs_error-Geneva-DetGrowth,,,,,,,,,34.16470588
mean_abs_error-IHME-CurveFit,1071.739216,,370.845098,229.8039216,233.2372549,,128.0470588,60.51568627,39.04509804
mean_abs_error-Imperial-ensemble1,,,,,,,,,
mean_abs_error-Imperial-ensemble2,,,,,,,,,
mean_abs_error-IowaStateLW-STEM,,,,,,,,,
mean_abs_error-JHU_IDD-CovidSP,,,,,,431.6647059,245.6784314,132.3235294,39.82156863
mean_abs_error-LANL-GrowthRate,,,304.2862745,221.0823529,157.2588235,101.4607843,74.39019608,50.57843137,28.15882353
mean_abs_error-MIT_CovidAnalytics-DELPHI,,,,,310.5294118,160.0196078,102.6470588,82.19607843,37.78431373
mean_abs_error-MOBS_NEU-GLEAM_COVID,,,,,,,,,
mean_abs_error-NotreDame-FRED,,,,,,,,,
mean_abs_error-OliverWyman-Navigator,,,,,,,,,16.50196078
mean_abs_error-PSI-DRAFT,,,,,439.745098,220.4509804,128.2156863,213.2941176,33.01960784
mean_abs_error-SWC-TerminusCM,,,,,,,,,153.0588235
mean_abs_error-UA-EpiCovDA,,,,,,289.6078431,198.5490196,168.4117647,25.29411765
mean_abs_error-UCLA-SuEIR,,,366.8019608,279.1705882,139.245098,92.14509804,78.35686275,56.75490196,16.18431373
mean_abs_error-UChicago-CovidIL,,,,,,,,,
mean_abs_error-UChicago-CovidIL_100,,,,,,,,,
mean_abs_error-UChicago-CovidIL_10_increase,,,,,,,,,
mean_abs_error-UChicago-CovidIL_30_increase,,,,,,,,,
mean_abs_error-UMass-MechBayes,,,,,,69.31372549,91,34.76470588,12.84313725
mean_abs_error-USACE-ERDC_SEIR,,,,,298.7490196,204.9039216,225.2862745,154.1843137,111.3313725
mean_abs_error-UT-Mobility,,,,,,133.8039216,79.83333333,50.63529412,28.09803922
mean_abs_error-YYG-ParamSearch,,,213.5745098,283.3901961,256.9470588,136.5254902,57.76666667,31.43921569,12.36666667
mean_abs_error-epiforecasts-ensemble1,,,,,,,,,
