,2020-04-20_2020-05-02,2020-04-27_2020-05-02
num_states,51,51
num_states_with_projections-COVIDhub-ensemble,,51
num_states_with_projections-CU-select,50,50
num_states_with_projections-Geneva-DetGrowth,,0
num_states_with_projections-IHME-CurveFit,51,51
num_states_with_projections-Imperial-ensemble1,,0
num_states_with_projections-Imperial-ensemble2,,0
num_states_with_projections-IowaStateLW-STEM,,49
num_states_with_projections-JHU_IDD-CovidSP,,0
num_states_with_projections-LANL-GrowthRate,51,51
num_states_with_projections-MIT_CovidAnalytics-DELPHI,,51
num_states_with_projections-MOBS_NEU-GLEAM_COVID,44,48
num_states_with_projections-NotreDame-FRED,,6
num_states_with_projections-UMass-MechBayes,,51
num_states_with_projections-UT-Mobility,51,51
num_states_with_projections-YYG-ParamSearch,51,51
num_states_beat_baseline-COVIDhub-ensemble,,25
num_states_beat_baseline-CU-select,16,14
num_states_beat_baseline-Geneva-DetGrowth,,
num_states_beat_baseline-IHME-CurveFit,20,14
num_states_beat_baseline-Imperial-ensemble1,,
num_states_beat_baseline-Imperial-ensemble2,,
num_states_beat_baseline-IowaStateLW-STEM,,15
num_states_beat_baseline-JHU_IDD-CovidSP,,
num_states_beat_baseline-LANL-GrowthRate,22,17
num_states_beat_baseline-MIT_CovidAnalytics-DELPHI,,16
num_states_beat_baseline-MOBS_NEU-GLEAM_COVID,7,17
num_states_beat_baseline-NotreDame-FRED,,0
num_states_beat_baseline-UMass-MechBayes,,10
num_states_beat_baseline-UT-Mobility,19,18
num_states_beat_baseline-YYG-ParamSearch,27,19
perc_beat_baseline-COVIDhub-ensemble,,0.4901960784
perc_beat_baseline-CU-select,0.32,0.28
perc_beat_baseline-Geneva-DetGrowth,,
perc_beat_baseline-IHME-CurveFit,0.3921568627,0.2745098039
perc_beat_baseline-Imperial-ensemble1,,
perc_beat_baseline-Imperial-ensemble2,,
perc_beat_baseline-IowaStateLW-STEM,,0.306122449
perc_beat_baseline-JHU_IDD-CovidSP,,
perc_beat_baseline-LANL-GrowthRate,0.431372549,0.3333333333
perc_beat_baseline-MIT_CovidAnalytics-DELPHI,,0.3137254902
perc_beat_baseline-MOBS_NEU-GLEAM_COVID,0.1590909091,0.3541666667
perc_beat_baseline-NotreDame-FRED,,0
perc_beat_baseline-UMass-MechBayes,,0.1960784314
perc_beat_baseline-UT-Mobility,0.3725490196,0.3529411765
perc_beat_baseline-YYG-ParamSearch,0.5294117647,0.3725490196
mean_abs_error-Baseline,142.4078431,66.41568627
mean_abs_error-COVIDhub-ensemble,,87.25686275
mean_abs_error-CU-select,,
mean_abs_error-Geneva-DetGrowth,,
mean_abs_error-IHME-CurveFit,161.0235294,99.45294118
mean_abs_error-Imperial-ensemble1,,
mean_abs_error-Imperial-ensemble2,,
mean_abs_error-IowaStateLW-STEM,,
mean_abs_error-JHU_IDD-CovidSP,,
mean_abs_error-LANL-GrowthRate,208.4078431,99.12352941
mean_abs_error-MIT_CovidAnalytics-DELPHI,,83.56862745
mean_abs_error-MOBS_NEU-GLEAM_COVID,,
mean_abs_error-NotreDame-FRED,,
mean_abs_error-UMass-MechBayes,,179.4705882
mean_abs_error-UT-Mobility,286.2196078,168.154902
mean_abs_error-YYG-ParamSearch,113.1764706,64.61764706
