,2020-04-20_2020-07-04,2020-04-27_2020-07-04,2020-05-04_2020-07-04,2020-05-11_2020-07-04,2020-05-18_2020-07-04,2020-05-25_2020-07-04,2020-06-01_2020-07-04,2020-06-08_2020-07-04,2020-06-15_2020-07-04,2020-06-22_2020-07-04,2020-06-29_2020-07-04
num_states_with_projections-UMass-MechBayes,,,,,,,,51,51,51,51
num_states_with_projections-USACE-ERDC_SEIR,,,,,51,51,51,51,51,51,51
num_states_with_projections-USC-SI_kJalpha,,,,,,,,,,,51
num_states_with_projections-UT-Mobility,,,,,,,,51,51,51,51
num_states_with_projections-YYG-ParamSearch,,,51,51,51,51,51,51,51,51,51
num_states_with_projections-epiforecasts-ensemble1,,,,,,,,,15,14,14
num_states_beat_baseline-Auquan-SEIR,,,12,,29,24,20,2,0,20,10
num_states_beat_baseline-COVIDhub-ensemble,,,,,,,,31,27,30,20
num_states_beat_baseline-CU-select,,,,,,,,19,17,20,14
num_states_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,
num_states_beat_baseline-Covid19Sim-Simulator,,,,,,30,27,24,19,24,13
num_states_beat_baseline-CovidActNow-SEIR_CAN,,,,,,,,14,15,9,
num_states_beat_baseline-GT-DeepCOVID,,,,,,,,11,12,17,13
num_states_beat_baseline-GT_CHHS-COVID19,,,,,,,,0,1,0,1
num_states_beat_baseline-Geneva-DetGrowth,,,,,,,,,,,18
num_states_beat_baseline-IHME-CurveFit,17,18,30,24,26,,26,25,19,24,16
num_states_beat_baseline-Imperial-ensemble1,,,,,,,,,,,
num_states_beat_baseline-Imperial-ensemble2,,,,,,,,,,,
num_states_beat_baseline-IowaStateLW-STEM,,21,23,,26,24,22,22,19,21,12
num_states_beat_baseline-JHU_IDD-CovidSP,,,,,,,,4,18,10,9
num_states_beat_baseline-LANL-GrowthRate,,,,,31,34,33,30,26,18,19
num_states_beat_baseline-MIT_CovAlliance-SIR,,,,,,,,,,,5
num_states_beat_baseline-MIT_CovidAnalytics-DELPHI,,,,,24,27,31,25,19,25,14
num_states_beat_baseline-MOBS_NEU-GLEAM_COVID,,,,,,,,23,18,20,9
num_states_beat_baseline-NotreDame-FRED,,,,,,1,3,2,0,0,0
num_states_beat_baseline-NotreDame-mobility,,,,,,,,,,29,16
num_states_beat_baseline-OliverWyman-Navigator,,,,,,,,29,23,22,18
num_states_beat_baseline-PSI-DRAFT,,,,,,24,27,18,16,17,19
num_states_beat_baseline-QJHong-Encounter,,,,,,,,,,,
num_states_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,15
num_states_beat_baseline-SWC-TerminusCM,,,,,,13,19,14,21,,13
num_states_beat_baseline-UA-EpiCovDA,,,,,,,,18,23,27,21
num_states_beat_baseline-UCLA-SuEIR,,,28,30,30,32,34,25,25,25,21
num_states_beat_baseline-UMass-MechBayes,,,,,,,,32,24,21,26
num_states_beat_baseline-USACE-ERDC_SEIR,,,,,25,25,24,22,20,11,4
num_states_beat_baseline-USC-SI_kJalpha,,,,,,,,,,,19
num_states_beat_baseline-UT-Mobility,,,,,,,,25,17,23,22
num_states_beat_baseline-YYG-ParamSearch,,,36,25,21,23,29,26,25,34,28
num_states_beat_baseline-epiforecasts-ensemble1,,,,,,,,,5,3,6
perc_beat_baseline-Auquan-SEIR,,,0.2352941176,,0.568627451,0.4705882353,0.3921568627,0.03921568627,0,0.3921568627,0.1960784314
perc_beat_baseline-COVIDhub-ensemble,,,,,,,,0.6078431373,0.5294117647,0.5882352941,0.3921568627
perc_beat_baseline-CU-select,,,,,,,,0.3725490196,0.3333333333,0.3921568627,0.2745098039
perc_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,
perc_beat_baseline-Covid19Sim-Simulator,,,,,,0.5882352941,0.5294117647,0.4705882353,0.3725490196,0.4705882353,0.2549019608
perc_beat_baseline-CovidActNow-SEIR_CAN,,,,,,,,0.2745098039,0.2941176471,0.2093023256,
perc_beat_baseline-GT-DeepCOVID,,,,,,,,0.3333333333,0.3243243243,0.425,0.325
perc_beat_baseline-GT_CHHS-COVID19,,,,,,,,0,0.5,0,0.5
perc_beat_baseline-Geneva-DetGrowth,,,,,,,,,,,0.3529411765
perc_beat_baseline-IHME-CurveFit,0.3333333333,0.3673469388,0.5882352941,0.4705882353,0.5098039216,,0.5098039216,0.4901960784,0.3725490196,0.4705882353,0.3137254902
perc_beat_baseline-Imperial-ensemble1,,,,,,,,,,,
perc_beat_baseline-Imperial-ensemble2,,,,,,,,,,,
perc_beat_baseline-IowaStateLW-STEM,,0.4285714286,0.4693877551,,0.5306122449,0.4897959184,0.4489795918,0.4489795918,0.387755102,0.4285714286,0.2448979592
perc_beat_baseline-JHU_IDD-CovidSP,,,,,,,,0.07843137255,0.3529411765,0.1960784314,0.1764705882
perc_beat_baseline-LANL-GrowthRate,,,,,0.6078431373,0.6666666667,0.6470588235,0.5882352941,0.5098039216,0.3529411765,0.3725490196
perc_beat_baseline-MIT_CovAlliance-SIR,,,,,,,,,,,0.09803921569
perc_beat_baseline-MIT_CovidAnalytics-DELPHI,,,,,0.4705882353,0.5294117647,0.6078431373,0.4901960784,0.3725490196,0.4901960784,0.2745098039
perc_beat_baseline-MOBS_NEU-GLEAM_COVID,,,,,,,,0.46,0.36,0.4,0.18
perc_beat_baseline-NotreDame-FRED,,,,,,0.1428571429,0.4285714286,0.2857142857,0,0,0
perc_beat_baseline-NotreDame-mobility,,,,,,,,,,0.568627451,0.3137254902
perc_beat_baseline-OliverWyman-Navigator,,,,,,,,0.6170212766,0.4509803922,0.431372549,0.3529411765
perc_beat_baseline-PSI-DRAFT,,,,,,0.4705882353,0.5294117647,0.3529411765,0.3137254902,0.3333333333,0.3725490196
perc_beat_baseline-QJHong-Encounter,,,,,,,,,,,
perc_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,0.2941176471
perc_beat_baseline-SWC-TerminusCM,,,,,,0.325,0.3958333333,0.2857142857,0.4117647059,,0.2708333333
perc_beat_baseline-UA-EpiCovDA,,,,,,,,0.3529411765,0.4509803922,0.5294117647,0.4117647059
perc_beat_baseline-UCLA-SuEIR,,,0.5490196078,0.5882352941,0.5882352941,0.6274509804,0.6666666667,0.4901960784,0.4901960784,0.4901960784,0.4117647059
perc_beat_baseline-UMass-MechBayes,,,,,,,,0.6274509804,0.4705882353,0.4117647059,0.5098039216
perc_beat_baseline-USACE-ERDC_SEIR,,,,,0.4901960784,0.4901960784,0.4705882353,0.431372549,0.3921568627,0.2156862745,0.07843137255
perc_beat_baseline-USC-SI_kJalpha,,,,,,,,,,,0.3725490196
perc_beat_baseline-UT-Mobility,,,,,,,,0.4901960784,0.3333333333,0.4509803922,0.431372549
perc_beat_baseline-YYG-ParamSearch,,,0.7058823529,0.4901960784,0.4117647059,0.4509803922,0.568627451,0.5098039216,0.4901960784,0.6666666667,0.5490196078
perc_beat_baseline-epiforecasts-ensemble1,,,,,,,,,0.3333333333,0.2142857143,0.4285714286
mean_abs_error-Auquan-SEIR,,,1315.411765,,301.7647059,301.7647059,328.0980392,712.372549,715.2352941,83.03921569,40.39215686
mean_abs_error-Baseline,1650.239216,1363.264706,1105.131373,917.1607843,566.5666667,354.0156863,232.6156863,171.4411765,105.527451,75.83529412,44.46470588
mean_abs_error-COVIDhub-ensemble,,,,,,,,142.8490196,108.3784314,88.88627451,28.39019608
mean_abs_error-CU-select,,,,,,,,367.8431373,237.4509804,200.3333333,94.70588235
mean_abs_error-Columbia_UNC-SurvCon,,,,,,,,,,,
mean_abs_error-Covid19Sim-Simulator,,,,,,265.2588235,273.2901961,223.727451,133.8882353,103.0666667,89.06862745
mean_abs_error-CovidActNow-SEIR_CAN,,,,,,,,364.0078431,198.6431373,,
mean_abs_error-GT-DeepCOVID,,,,,,,,,,,
mean_abs_error-GT_CHHS-COVID19,,,,,,,,,,,
mean_abs_error-Geneva-DetGrowth,,,,,,,,,,,91.67058824
mean_abs_error-IHME-CurveFit,1264.156863,,402.7372549,280.2627451,284.4686275,,278.1980392,153.0019608,122.5,99.40784314,36.28431373
mean_abs_error-Imperial-ensemble1,,,,,,,,,,,
mean_abs_error-Imperial-ensemble2,,,,,,,,,,,
mean_abs_error-IowaStateLW-STEM,,,,,,,,,,,
mean_abs_error-JHU_IDD-CovidSP,,,,,,,,421.2607843,192.072549,156.4764706,66.9
mean_abs_error-LANL-GrowthRate,,,,,256.954902,189.6862745,126.2078431,136.8313725,111.7235294,108.1803922,36.17254902
mean_abs_error-MIT_CovAlliance-SIR,,,,,,,,,,,163.6254902
mean_abs_error-MIT_CovidAnalytics-DELPHI,,,,,504,298.0196078,215.5490196,213.7254902,167.5686275,114.9411765,52.90196078
mean_abs_error-MOBS_NEU-GLEAM_COVID,,,,,,,,,,,
mean_abs_error-NotreDame-FRED,,,,,,,,,,,
mean_abs_error-NotreDame-mobility,,,,,,,,,,227.6490196,60.59803922
mean_abs_error-OliverWyman-Navigator,,,,,,,,,104.1588235,102.8784314,30.34901961
mean_abs_error-PSI-DRAFT,,,,,,345.5392157,224.7745098,393.6372549,174.5098039,130.372549,47.2745098
mean_abs_error-QJHong-Encounter,,,,,,,,,,,
mean_abs_error-RobertWalraven-ESG,,,,,,,,,,,209.3196078
mean_abs_error-SWC-TerminusCM,,,,,,,,,269.9411765,,
mean_abs_error-UA-EpiCovDA,,,,,,,,319.8627451,128.4313725,93.37254902,53.21568627
mean_abs_error-UCLA-SuEIR,,,499.0372549,370.0313725,230.2137255,172.6921569,173.0666667,160.4568627,103.127451,79.58431373,33.61372549
mean_abs_error-UMass-MechBayes,,,,,,,,134.4509804,98.1372549,95.19607843,28.78431373
mean_abs_error-USACE-ERDC_SEIR,,,,,425.5647059,321.4392157,352.0215686,262.5039216,112.8941176,149.2529412,224.0921569
mean_abs_error-USC-SI_kJalpha,,,,,,,,,,,36.55490196
mean_abs_error-UT-Mobility,,,,,,,,165.1470588,123.9411765,86.67647059,24.65686275
mean_abs_error-YYG-ParamSearch,,,264.472549,445.0803922,441.6196078,289.6078431,178.3411765,135.8098039,101.7941176,79.79019608,23.34509804
mean_abs_error-epiforecasts-ensemble1,,,,,,,,,,,
