,2020-04-27_2020-08-08,2020-05-04_2020-08-08,2020-05-11_2020-08-08,2020-05-18_2020-08-08,2020-05-25_2020-08-08,2020-06-01_2020-08-08,2020-06-08_2020-08-08,2020-06-15_2020-08-08,2020-06-22_2020-08-08,2020-06-29_2020-08-08,2020-07-06_2020-08-08,2020-07-13_2020-08-08,2020-07-20_2020-08-08,2020-07-27_2020-08-08,2020-08-03_2020-08-08
num_states_beat_baseline-IHME-CurveFit,,22,25,25,,29,31,35,33,31,28,,16,15,8
num_states_beat_baseline-IowaStateLW-STEM,21,25,,23,24,26,22,26,22,21,25,23,16,16,10
num_states_beat_baseline-JCB-PRM,,,,,,,,,,,,,,30,17
num_states_beat_baseline-JHU_IDD-CovidSP,,,,,,,,,,,16,14,12,17,7
num_states_beat_baseline-Karlen-pypm,,,,,,,,,,,,,18,22,18
num_states_beat_baseline-LANL-GrowthRate,,,,,,,,,,34,34,23,22,20,11
num_states_beat_baseline-LNQ-ens1,,,,,,,,,,,,,34,25,26
num_states_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,21,10,19,16,8
num_states_beat_baseline-MOBS-GLEAM_COVID,,,,,,,,,,,,28,29,25,20
num_states_beat_baseline-NotreDame-FRED,,,,,,,,,,0,1,1,1,3,1
num_states_beat_baseline-NotreDame-mobility,,,,,,,,,,18,22,24,22,14,3
num_states_beat_baseline-OliverWyman-Navigator,,,,,,,,,,,,32,36,33,23
num_states_beat_baseline-PSI-DRAFT,,,,,,,,,,18,16,13,17,14,15
num_states_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,
num_states_beat_baseline-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,
num_states_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,11,7,8,13
num_states_beat_baseline-STH-3PU,,,,,,,,1,1,1,1,1,1,1,0
num_states_beat_baseline-SWC-TerminusCM,,,,,,,,,,16,,,,,
num_states_beat_baseline-UA-EpiCovDA,,,,,,,,,,,,17,25,30,19
num_states_beat_baseline-UCLA-SuEIR,,23,29,26,31,30,26,26,24,23,24,25,24,22,22
num_states_beat_baseline-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,0,0
num_states_beat_baseline-UMass-MechBayes,,,,,,,,,,,,35,33,29,20
num_states_beat_baseline-UMich-RidgeTfReg,,,,,,,,,,,,,9,9,8
num_states_beat_baseline-USACE-ERDC_SEIR,,,,27,28,30,30,31,32,26,33,31,16,21,12
num_states_beat_baseline-USC-SI_kJalpha,,,,,,,,,,32,28,22,30,26,15
num_states_beat_baseline-UT-Mobility,,,,,,,,,,,,25,23,15,14
num_states_beat_baseline-YYG-ParamSearch,,,,,,27,31,32,38,34,34,42,36,35,13
num_states_beat_baseline-epiforecasts-ensemble1,,,,,,,,,,,15,12,7,10,1
perc_beat_baseline-Auquan-SEIR,,,,,,,,,,,0.5294117647,,,,0.07843137255
perc_beat_baseline-CMU-TimeSeries,,,,,,,,,,,,,0.6862745098,0.7450980392,0.3529411765
perc_beat_baseline-COVIDhub-ensemble,,,,,,,,,,,,0.7647058824,0.6666666667,0.6470588235,0.4509803922
perc_beat_baseline-CU-select,,,,,,,,,,,,0.5098039216,0.4117647059,0.3725490196,0.2745098039
perc_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,
perc_beat_baseline-Covid19Sim-Simulator,,,,,0.5882352941,0.6078431373,0.568627451,0.6078431373,0.6862745098,0.6862745098,0.7254901961,0.6274509804,0.5098039216,0.3921568627,0.1960784314
perc_beat_baseline-CovidActNow-SEIR_CAN,,,,,,,,,,,0.3529411765,,,,
perc_beat_baseline-CovidAnalytics-DELPHI,,,,,,,,,,,0.6470588235,0.568627451,0.5490196078,0.4509803922,0.3333333333
perc_beat_baseline-DDS-NBDS,,,,,,,,,,,,,,0.4509803922,0.2941176471
perc_beat_baseline-GT-DeepCOVID,,,,,,,,,,,,0.4565217391,0.4444444444,0.4090909091,0.1860465116
perc_beat_baseline-GT_CHHS-COVID19,,,,,,,,,,,,0.5,0.5,0,0.5
perc_beat_baseline-Geneva-DetGrowth,,,,,,,,,,,,,,,0.2156862745
perc_beat_baseline-IHME-CurveFit,,0.431372549,0.4901960784,0.4901960784,,0.568627451,0.6078431373,0.6862745098,0.6470588235,0.6078431373,0.5490196078,,0.3137254902,0.2941176471,0.1568627451
perc_beat_baseline-IowaStateLW-STEM,0.4285714286,0.5102040816,,0.4693877551,0.4897959184,0.5306122449,0.4489795918,0.5306122449,0.4489795918,0.4285714286,0.5102040816,0.4693877551,0.3265306122,0.3265306122,0.2040816327
perc_beat_baseline-JCB-PRM,,,,,,,,,,,,,,0.5882352941,0.3333333333
perc_beat_baseline-JHU_IDD-CovidSP,,,,,,,,,,,0.3137254902,0.2745098039,0.2352941176,0.3333333333,0.137254902
perc_beat_baseline-Karlen-pypm,,,,,,,,,,,,,0.3529411765,0.431372549,0.3529411765
perc_beat_baseline-LANL-GrowthRate,,,,,,,,,,0.6666666667,0.6666666667,0.4509803922,0.431372549,0.3921568627,0.2156862745
perc_beat_baseline-LNQ-ens1,,,,,,,,,,,,,0.6666666667,0.4901960784,0.5098039216
perc_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,0.4117647059,0.1960784314,0.3725490196,0.3137254902,0.1568627451
perc_beat_baseline-MOBS-GLEAM_COVID,,,,,,,,,,,,0.56,0.58,0.5,0.4
perc_beat_baseline-NotreDame-FRED,,,,,,,,,,0,0.1428571429,0.1428571429,0.1428571429,0.4285714286,0.1428571429
perc_beat_baseline-NotreDame-mobility,,,,,,,,,,0.3529411765,0.431372549,0.4705882353,0.431372549,0.2745098039,0.05882352941
perc_beat_baseline-OliverWyman-Navigator,,,,,,,,,,,,0.6274509804,0.7058823529,0.6470588235,0.4509803922
perc_beat_baseline-PSI-DRAFT,,,,,,,,,,0.3529411765,0.3137254902,0.2549019608,0.34,0.2745098039,0.2941176471
perc_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,
perc_beat_baseline-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,
perc_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,0.2156862745,0.1458333333,0.1632653061,0.2653061224
perc_beat_baseline-STH-3PU,,,,,,,,1,1,1,1,1,1,1,0
perc_beat_baseline-SWC-TerminusCM,,,,,,,,,,0.3333333333,,,,,
perc_beat_baseline-UA-EpiCovDA,,,,,,,,,,,,0.3333333333,0.4901960784,0.5882352941,0.3725490196
perc_beat_baseline-UCLA-SuEIR,,0.4509803922,0.568627451,0.5098039216,0.6078431373,0.5882352941,0.5098039216,0.5098039216,0.4705882353,0.4509803922,0.4705882353,0.4901960784,0.4705882353,0.431372549,0.431372549
perc_beat_baseline-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,0,0
perc_beat_baseline-UMass-MechBayes,,,,,,,,,,,,0.6862745098,0.6470588235,0.568627451,0.3921568627
perc_beat_baseline-UMich-RidgeTfReg,,,,,,,,,,,,,0.2571428571,0.3214285714,0.2666666667
perc_beat_baseline-USACE-ERDC_SEIR,,,,0.5294117647,0.5490196078,0.5882352941,0.5882352941,0.6078431373,0.6274509804,0.5098039216,0.6470588235,0.6078431373,0.3137254902,0.4117647059,0.2352941176
perc_beat_baseline-USC-SI_kJalpha,,,,,,,,,,0.6274509804,0.5490196078,0.431372549,0.5882352941,0.5098039216,0.2941176471
perc_beat_baseline-UT-Mobility,,,,,,,,,,,,0.4901960784,0.4509803922,0.2941176471,0.2745098039
perc_beat_baseline-YYG-ParamSearch,,,,,,0.5294117647,0.6078431373,0.6274509804,0.7450980392,0.6666666667,0.6666666667,0.8235294118,0.7058823529,0.6862745098,0.2549019608
perc_beat_baseline-epiforecasts-ensemble1,,,,,,,,,,,0.6818181818,0.5217391304,0.3043478261,0.4347826087,0.03448275862
mean_abs_error-Auquan-SEIR,,,,,,,,,,,428.2352941,,,,81.7254902
mean_abs_error-Baseline,2605.219608,2242.280392,1904.319608,1506.035294,1132.196078,889.954902,790.3705882,609.0803922,473.7568627,607.2490196,360.3392157,233.9215686,151.6882353,83.13529412,14.52745098
mean_abs_error-CMU-TimeSeries,,,,,,,,,,,,,120.1176471,74.74509804,21.74509804
mean_abs_error-COVIDhub-baseline,,,,,,,,,,,,263.2823529,160.6352941,81.78235294,24.84313725
mean_abs_error-COVIDhub-ensemble,,,,,,,,,,,,165.345098,97.54901961,70.70588235,23.31372549
mean_abs_error-CU-select,,,,,,,,,,,,172.1372549,144.1176471,85.19607843,34
mean_abs_error-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,
mean_abs_error-Covid19Sim-Simulator,,,,,661.3666667,656.1529412,600.4686275,383.4960784,323.1137255,295.6196078,253.0117647,141,126.5647059,121.9117647,69.05490196
mean_abs_error-CovidActNow-SEIR_CAN,,,,,,,,,,,1167.764706,,,,
mean_abs_error-CovidAnalytics-DELPHI,,,,,,,,,,,292.1372549,188.7254902,126.3529412,86.43137255,44.19607843
mean_abs_error-DDS-NBDS,,,,,,,,,,,,,,121.1901961,38.72745098
mean_abs_error-GT-DeepCOVID,,,,,,,,,,,,,,,
mean_abs_error-GT_CHHS-COVID19,,,,,,,,,,,,,,,
mean_abs_error-Geneva-DetGrowth,,,,,,,,,,,,,,,42.58627451
mean_abs_error-IHME-CurveFit,,867.1117647,673.927451,634.0137255,,679.7843137,477.9019608,374.3372549,285.4607843,294.0921569,283.6921569,,170.554902,121.1313725,93.85882353
mean_abs_error-IowaStateLW-STEM,,,,,,,,,,,,,,,
mean_abs_error-JCB-PRM,,,,,,,,,,,,,,61.01960784,22.58235294
mean_abs_error-JHU_IDD-CovidSP,,,,,,,,,,,398.9843137,246.7117647,172.0078431,106.554902,60.06862745
mean_abs_error-Karlen-pypm,,,,,,,,,,,,,412.3098039,240.0098039,176.2058824
mean_abs_error-LANL-GrowthRate,,,,,,,,,,344.4098039,313.1588235,241.3098039,185.0941176,136.9529412,53.07254902
mean_abs_error-LNQ-ens1,,,,,,,,,,,,,95.29411765,71.33137255,17
mean_abs_error-MITCovAlliance-SIR,,,,,,,,,,,563.3941176,557.5764706,375.0156863,301.4862745,183.2176471
mean_abs_error-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,
mean_abs_error-NotreDame-FRED,,,,,,,,,,,,,,,
mean_abs_error-NotreDame-mobility,,,,,,,,,,1026.647059,391.2431373,244.8098039,177.8647059,160.2,161.7431373
mean_abs_error-OliverWyman-Navigator,,,,,,,,,,,,181.4745098,108.6470588,67.99803922,14.81176471
mean_abs_error-PSI-DRAFT,,,,,,,,,,532.6372549,488.4607843,375.4607843,,114.4705882,60.37254902
mean_abs_error-QJHong-Encounter,,,,,,,,,,,,,,,
mean_abs_error-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,
mean_abs_error-RobertWalraven-ESG,,,,,,,,,,,,489.327451,,,
mean_abs_error-STH-3PU,,,,,,,,,,,,,,,
mean_abs_error-SWC-TerminusCM,,,,,,,,,,,,,,,
mean_abs_error-UA-EpiCovDA,,,,,,,,,,,,268.5686275,108.3137255,56.62745098,27.21568627
mean_abs_error-UCLA-SuEIR,,1008.241176,878.3666667,639.7196078,608.1470588,535.7764706,549.6666667,470.0215686,426.4215686,407.7823529,326.6568627,204.727451,149.9078431,78.39411765,28.10784314
mean_abs_error-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,
mean_abs_error-UMass-MechBayes,,,,,,,,,,,,121.3529412,102.8823529,88.82352941,29.94117647
mean_abs_error-UMich-RidgeTfReg,,,,,,,,,,,,,,,
mean_abs_error-USACE-ERDC_SEIR,,,,845.4431373,748.5470588,720.872549,610.3058824,373.354902,322.0745098,380.4764706,206.2137255,173.7705882,317.272549,139.8098039,59.51176471
mean_abs_error-USC-SI_kJalpha,,,,,,,,,,431.2490196,374.8843137,281.4117647,121.7372549,86.2745098,21.35294118
mean_abs_error-UT-Mobility,,,,,,,,,,,,178.872549,134.9215686,108.4411765,63.73529412
mean_abs_error-YYG-ParamSearch,,,,,,608.4098039,529.2882353,426.0666667,339.3607843,286.7411765,268.0960784,136.6666667,111.6941176,74.40980392,25.80980392
mean_abs_error-epiforecasts-ensemble1,,,,,,,,,,,,,,,
