,2020-09-21_2021-02-13,2020-09-28_2021-02-13,2020-10-05_2021-02-13,2020-10-12_2021-02-13,2020-10-19_2021-02-13,2020-10-26_2021-02-13,2020-11-02_2021-02-13,2020-11-09_2021-02-13,2020-11-16_2021-02-13,2020-11-23_2021-02-13,2020-11-30_2021-02-13,2020-12-07_2021-02-13,2020-12-14_2021-02-13,2020-12-21_2021-02-13,2020-12-28_2021-02-13,2021-01-04_2021-02-13,2021-01-11_2021-02-13,2021-01-18_2021-02-13,2021-01-25_2021-02-13,2021-02-01_2021-02-13,2021-02-08_2021-02-13
num_states,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-AIpert-pwllnod,,,,,,,,,,,,,,51,51,51,51,51,51,51,51
num_states_with_projections-BPagano-RtDriven,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-Baseline,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-CEID-Walk,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-CMU-TimeSeries,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-COVIDhub-baseline,,,,,,,,,,,,,,51,51,51,51,51,51,51,51
num_states_with_projections-COVIDhub-ensemble,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,51,51
num_states_with_projections-CU-select,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-Caltech-CS156,,,,,,,,,,,,,,,,,,51,,51,51
num_states_with_projections-Columbia_UNC-SurvCon,,,,,,,,,,,,,,51,51,51,0,51,50,0,51
num_states_with_projections-Covid19Sim-Simulator,,51,51,51,51,51,51,51,,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-CovidAnalytics-DELPHI,,,,,,,,,,,,,,,,51,51,51,51,51,51
num_states_with_projections-DDS-NBDS,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,0,0,0
num_states_with_projections-GT-DeepCOVID,,,,,,,,,,,,,,,,,,50,50,48,49
num_states_with_projections-GT_CHHS-COVID19,,,,,,,,,,,,,,,,,,,,,1
num_states_with_projections-Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,,51
num_states_with_projections-Google_Harvard-CPF,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-IBF-TimeSeries,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
num_states_with_projections-IHME-CurveFit,,51,,,51,51,,,,51,,51,51,51,51,,,51,51,51,51
num_states_with_projections-IowaStateLW-STEM,,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
num_states_with_projections-JCB-PRM,,,,,,,,,,,,,,51,51,,,,,,
num_states_with_projections-JHUAPL-Bucky,,,,,,,,,,,,,51,51,51,51,51,,51,51,51
