,2020-04-20_2020-06-13,2020-04-27_2020-06-20,2020-05-04_2020-06-27,2020-05-11_2020-07-04,2020-05-18_2020-07-11,2020-05-25_2020-07-18,2020-06-01_2020-07-25,2020-06-08_2020-08-01,2020-06-15_2020-08-08,2020-06-22_2020-08-15,2020-06-29_2020-08-22,2020-07-06_2020-08-29,2020-07-13_2020-09-05,2020-07-20_2020-09-12,2020-07-27_2020-09-19,2020-08-03_2020-09-26,2020-08-10_2020-10-03,2020-08-17_2020-10-10,2020-08-24_2020-10-17,2020-08-31_2020-10-24,2020-09-07_2020-10-31,2020-09-14_2020-11-07,2020-09-21_2020-11-14,2020-09-28_2020-11-21,2020-10-05_2020-11-28,2020-10-12_2020-12-05,2020-10-19_2020-12-12,2020-10-26_2020-12-19,2020-11-02_2020-12-26,2020-11-09_2021-01-02,2020-11-16_2021-01-09,2020-11-23_2021-01-16,2020-11-30_2021-01-23,2020-12-07_2021-01-30,2020-12-14_2021-02-06,2020-12-21_2021-02-13,2020-12-28_2021-02-20,2021-01-04_2021-02-27,2021-01-11_2021-03-06
num_states_beat_baseline-CovidAnalytics-DELPHI,,,,,,,,,,,,31,26,23,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-IHME-CurveFit,17,17,30,26,30,,29,32,35,34,30,29,,15,14,25,13,,18,19,14,,23,26,,,38,39,,,,34,,34,30,29,27,,
num_states_beat_baseline-IowaStateLW-STEM,,20,24,,25,23,24,23,26,22,20,25,26,15,17,22,,21,19,26,23,26,28,15,15,13,13,13,18,24,26,37,32,20,25,19,21,28,28
num_states_beat_baseline-JCB-PRM,,,,,,,,,,,,,,,,,,,,,27,24,30,32,33,30,35,40,39,42,38,29,35,27,24,16,20,,
num_states_beat_baseline-JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,,,22,,,,35,35,42,35,36,24,32,33,27,27,21,5,23,30
num_states_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,,20,11,20,16,22,,11,,,15,15,20,29,,,17,,,,,,,,,,,19,26
num_states_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,,,,,,,12,12,17,11,4,4,2,1,,,,,,,,,,,,,,
num_states_beat_baseline-STH-3PU,,,,,,,,,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,,1,0,0,0,0,,,,,,,,,,
num_states_beat_baseline-UCLA-SuEIR,,,31,31,30,29,33,28,26,24,20,22,21,21,19,29,19,19,24,21,18,11,21,18,11,12,13,8,6,9,8,30,20,20,23,27,22,23,27
num_states_beat_baseline-USACE-ERDC_SEIR,,,,,27,28,29,32,31,34,28,37,31,8,17,18,18,21,20,24,19,17,26,30,,34,,37,,,25,22,27,,,,,,
num_states_beat_baseline-USC-SI_kJalpha,,,,,,,,,,,33,28,21,23,18,25,16,21,19,32,24,18,23,21,35,33,35,38,31,36,,,,,,,,,
num_states_beat_baseline-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,,,,,10,7,8,8,4,4,3,5,1,3,2,2,0,3,9,10,,10,20
num_states_beat_baseline-YYG-ParamSearch,,,37,25,23,30,29,32,32,38,35,37,38,29,30,22,26,28,26,29,21,,,,,,,,,,,,,,,,,,
perc_beat_baseline-AIpert-pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4117647059,0.2745098039,0.3529411765,0.4901960784
perc_beat_baseline-Auquan-SEIR,,,,,,,,,,,,0.2549019608,,,,,,0.431372549,0.431372549,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,0.4117647059,0.6078431373,0.6470588235,0.6274509804,0.568627451,0.6470588235,0.7450980392,,,,,,,,
perc_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,,,,0.34,0.2549019608,0.2352941176,0.4117647059,0.4117647059,0.431372549,0.5,0.6470588235,0.5,0.3921568627,0.24,0.1960784314,0.431372549,0.2941176471,0.4117647059,0.4509803922,0.3333333333,0.3137254902,
perc_beat_baseline-Covid19Sim-Simulator,,,,,,0.5882352941,0.6078431373,0.568627451,0.6078431373,0.6470588235,0.7254901961,0.7254901961,0.6862745098,0.568627451,0.5098039216,0.5294117647,,0.6470588235,0.3921568627,0.5882352941,0.5490196078,0.5098039216,0.4705882353,0.4705882353,0.6274509804,0.6078431373,0.7058823529,0.8235294118,0.8431372549,0.8235294118,,0.5882352941,0.6078431373,0.568627451,0.7058823529,0.6078431373,0.5294117647,0.5294117647,0.7647058824
perc_beat_baseline-CovidAnalytics-DELPHI,,,,,,,,,,,,0.6078431373,0.5098039216,0.4509803922,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-IHME-CurveFit,0.3333333333,0.3469387755,0.5882352941,0.5098039216,0.5882352941,,0.568627451,0.6274509804,0.6862745098,0.6666666667,0.5882352941,0.568627451,,0.2941176471,0.2745098039,0.4901960784,0.2549019608,,0.3529411765,0.3725490196,0.2745098039,,0.4509803922,0.5098039216,,,0.7450980392,0.7647058824,,,,0.6666666667,,0.6666666667,0.5882352941,0.568627451,0.5294117647,,
perc_beat_baseline-IowaStateLW-STEM,,0.4081632653,0.4897959184,,0.5102040816,0.4693877551,0.4897959184,0.4693877551,0.5306122449,0.4489795918,0.4081632653,0.5102040816,0.5306122449,0.306122449,0.3469387755,0.4489795918,,0.4285714286,0.387755102,0.5306122449,0.4693877551,0.5306122449,0.5714285714,0.306122449,0.306122449,0.2653061224,0.2653061224,0.2653061224,0.3673469388,0.4897959184,0.5306122449,0.7551020408,0.6530612245,0.4081632653,0.5102040816,0.387755102,0.4285714286,0.5714285714,0.5714285714
perc_beat_baseline-JCB-PRM,,,,,,,,,,,,,,,,,,,,,0.5294117647,0.4705882353,0.5882352941,0.6274509804,0.6470588235,0.5882352941,0.6862745098,0.7843137255,0.7647058824,0.8235294118,0.7450980392,0.568627451,0.6862745098,0.5294117647,0.4705882353,0.3137254902,0.3921568627,,
perc_beat_baseline-JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,,,0.431372549,,,,0.6862745098,0.6862745098,0.8235294118,0.6862745098,0.7058823529,0.4705882353,0.6274509804,0.6470588235,0.5294117647,0.5294117647,0.4117647059,0.09803921569,0.4509803922,0.5882352941
perc_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,,0.3921568627,0.2156862745,0.3921568627,0.3137254902,0.431372549,,0.2156862745,,,0.2941176471,0.2941176471,0.3921568627,0.568627451,,,0.3333333333,,,,,,,,,,,0.3725490196,0.5098039216
perc_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,,,,,,,0.24,0.2352941176,0.3333333333,0.2156862745,0.07843137255,0.07843137255,0.03921568627,0.01960784314,,,,,,,,,,,,,,
perc_beat_baseline-STH-3PU,,,,,,,,,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,,1,0,0,0,0,,,,,,,,,,
perc_beat_baseline-UCLA-SuEIR,,,0.6078431373,0.6078431373,0.5882352941,0.568627451,0.6470588235,0.5490196078,0.5098039216,0.4705882353,0.3921568627,0.431372549,0.4117647059,0.4117647059,0.3725490196,0.568627451,0.3725490196,0.3725490196,0.4705882353,0.4117647059,0.3529411765,0.2156862745,0.4117647059,0.3529411765,0.2156862745,0.2352941176,0.2549019608,0.1568627451,0.1176470588,0.1764705882,0.1568627451,0.5882352941,0.3921568627,0.3921568627,0.4509803922,0.5294117647,0.431372549,0.4509803922,0.5294117647
perc_beat_baseline-USACE-ERDC_SEIR,,,,,0.5294117647,0.5490196078,0.568627451,0.6274509804,0.6078431373,0.6666666667,0.5490196078,0.7254901961,0.6078431373,0.1568627451,0.3333333333,0.3529411765,0.3529411765,0.4117647059,0.3921568627,0.4705882353,0.3725490196,0.3333333333,0.5098039216,0.5882352941,,0.6666666667,,0.7254901961,,,0.4901960784,0.431372549,0.5294117647,,,,,,
perc_beat_baseline-USC-SI_kJalpha,,,,,,,,,,,0.6470588235,0.5490196078,0.4117647059,0.4509803922,0.3529411765,0.4901960784,0.3137254902,0.4117647059,0.3725490196,0.6274509804,0.4705882353,0.3529411765,0.4509803922,0.4117647059,0.6862745098,0.6470588235,0.6862745098,0.7450980392,0.6078431373,0.7058823529,,,,,,,,,
perc_beat_baseline-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,,,,,0.1960784314,0.137254902,0.1568627451,0.1568627451,0.07843137255,0.07843137255,0.05882352941,0.09803921569,0.01960784314,0.05882352941,0.03921568627,0.03921568627,0,0.05882352941,0.1764705882,0.1960784314,,0.1960784314,0.3921568627
perc_beat_baseline-YYG-ParamSearch,,,0.7254901961,0.4901960784,0.4509803922,0.5882352941,0.568627451,0.6274509804,0.6274509804,0.7450980392,0.6862745098,0.7254901961,0.7450980392,0.568627451,0.5882352941,0.431372549,0.5098039216,0.5490196078,0.5098039216,0.568627451,0.4117647059,,,,,,,,,,,,,,,,,,
mean_abs_error-AIpert-pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2795.121569,1702.829412,1711.290196,2606.543137
mean_abs_error-Auquan-SEIR,,,,,,,,,,,,789,,,,,,268.2352941,275.8627451,,,,,,,,,,,,,,,,,,,,
mean_abs_error-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,474.5,636.4843137,741.7215686,787.4784314,878.545098,860.8156863,1003.229412,,,,,,,,
mean_abs_error-Baseline,991.5294118,963.9529412,930.5352941,927.9901961,772.4039216,652.9333333,596.7196078,650.8607843,609.0803922,577.545098,866.5627451,610.4137255,468.5529412,365.5352941,237.0098039,372.8176471,334.0490196,378.9333333,341.4529412,328.4627451,320.0196078,296.8098039,365.3921569,420.5078431,496.6490196,650.6843137,876.7490196,1011.047059,1177.770588,1290.362745,1390.556863,1259.056863,1526.296078,1223.145098,1318.839216,1107.484314,1052.723529,952.1745098,984.3156863
mean_abs_error-COVIDhub-baseline,,,,,,,,,,,,,,,,,,,,,,,,,471.1196078,596.0313725,866.6098039,963.9862745,1155.482353,1260.898039,1379.24902,1280.005882,1492.419608,1234.54902,1296.019608,1134.054902,1023.486275,989.3058824,938.2392157
mean_abs_error-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,,,,,706.627451,3192.470588,1957.196078,905.1960784,837.1647059,,1637.392157,,3050.568627,,7949.45098,2603.823529,1565.039216,2311.784314,4570.078431,1771.156863,1436.960784,
mean_abs_error-Covid19Sim-Simulator,,,,,,349.6705882,433.9490196,497.8490196,383.4960784,399.7470588,416.4960784,389.572549,259.0333333,268.3333333,260.1960784,228.1686275,,,470.2372549,218.7411765,269.3882353,290.6196078,368.8117647,399.5784314,449.4058824,573.9843137,848.4196078,780.2823529,734.6960784,756.3490196,,1177.35098,1026.984314,880.3078431,834.7431373,685.0196078,870.4607843,894.3588235,609.9901961
mean_abs_error-CovidAnalytics-DELPHI,,,,,,,,,,,,445.1764706,375.9607843,334.0784314,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-IHME-CurveFit,1007.160784,,408.8196078,302.6196078,290.2529412,,478.1137255,378.4745098,374.3372549,343.0078431,439.6666667,466.2333333,,352.5941176,293.7411765,286.2647059,301.8117647,,538.5058824,602.4196078,559.2176471,,467.3901961,628.4764706,,,638.1686275,729.9784314,,,,769.3705882,,794.0980392,1038.588235,855.9235294,879.5568627,,
mean_abs_error-IowaStateLW-STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-JCB-PRM,,,,,,,,,,,,,,,,,,,,,201.1745098,282.0215686,323.427451,364.0235294,437.072549,568.9019608,789.1392157,808.3392157,930.9980392,1002.154902,828.854902,1144.166667,1063.141176,1050.388235,1114.160784,1568.515686,1090.101961,,
mean_abs_error-JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,,,390.3078431,,,,619.2666667,691.5137255,718.4058824,896.5039216,948.8176471,1798.05098,1372.286275,1002.956863,940.8196078,855.7254902,1442.570588,1701.847059,1319.294118,1104.345098
mean_abs_error-MITCovAlliance-SIR,,,,,,,,,,,,828.3137255,895.5843137,764.3254902,772.3882353,580.3529412,,703.0764706,,,508.0117647,592.1803922,667.3196078,367.4215686,,,1000.292157,,,,,,,,,,,1454.37451,1715.576471
mean_abs_error-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-RobertWalraven-ESG,,,,,,,,,,,,,,,,,,,404.0509804,418.0156863,509.1137255,588.8980392,653.4823529,792.227451,862.6372549,,,,,,,,,,,,,,
mean_abs_error-STH-3PU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-UCLA-SuEIR,,,395.9470588,357.1843137,257.6882353,283.7392157,318.6117647,440.7019608,470.0215686,531.6686275,606.6196078,582.4431373,415.654902,373.4901961,278.7392157,238.1490196,276.5803922,248.8078431,238.3254902,256.8294118,259.7666667,301.1372549,359.7490196,450.6137255,589.9,789.2117647,1049.109804,1271.019608,1404.227451,1511.111765,1778.496078,1146.664706,1560.015686,1190.580392,1313.560784,1169.419608,1371.427451,1084.143137,962.5568627
mean_abs_error-USACE-ERDC_SEIR,,,,,430.5568627,407.8078431,511.3411765,502.3,373.354902,388.8470588,503.6254902,309.0607843,331.4156863,1220.490196,787.3098039,633.9411765,528.4529412,482.5588235,423.7431373,476.8862745,486.7803922,481.872549,487.7803922,460.4431373,,606.8215686,,650.9372549,,,1978.819608,1771.119608,1854.713725,,,,,,
mean_abs_error-USC-SI_kJalpha,,,,,,,,,,,678.0333333,766.5647059,694.0588235,521.6941176,444.4901961,268.9607843,286.5294118,232.745098,293.5686275,270.5882353,261.0784314,367.2745098,337.3333333,415.5686275,438.6078431,572.1176471,726.2941176,821.1960784,851.9215686,959.7647059,,,,,,,,,
mean_abs_error-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,,,,,498.5470588,547.2843137,592.7137255,703.7509804,822.9764706,1025.168627,1243.492157,1494,1688.480392,1896.578431,2151.67451,2350.85098,2547.858824,2605.386275,2594.443137,2517.266667,,2183.539216,1888.878431
mean_abs_error-YYG-ParamSearch,,,257.6568627,507.6568627,596.2901961,442.7215686,379.6647059,422.3078431,426.0666667,407.3509804,412.3490196,401.6098039,242.7803922,265.7137255,234.9058824,176.6431373,171.454902,146.1764706,185.9921569,210.9862745,263.2568627,,,,,,,,,,,,,,,,,,
