,2020-05-25_2020-10-03,2020-06-01_2020-10-10,2020-06-08_2020-10-17,2020-06-15_2020-10-24,2020-06-22_2020-10-31,2020-06-29_2020-11-07,2020-07-06_2020-11-14,2020-07-13_2020-11-21,2020-07-20_2020-11-28,2020-07-27_2020-12-05,2020-08-03_2020-12-12,2020-08-10_2020-12-19,2020-08-17_2020-12-26,2020-08-24_2021-01-02,2020-08-31_2021-01-09,2020-09-07_2021-01-16,2020-09-14_2021-01-23,2020-09-21_2021-01-30,2020-09-28_2021-02-06,2020-10-05_2021-02-13,2020-10-12_2021-02-20,2020-10-19_2021-02-27,2020-10-26_2021-03-06
num_states,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-Baseline,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-Covid19Sim-Simulator,51,51,51,51,51,51,51,51,51,51,51,,17,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-IHME-CurveFit,,,51,51,51,51,51,,51,51,51,51,,51,51,51,,51,51,,,51,51
num_states_with_projections-IowaStateLW-STEM,,,,,,,49,49,49,49,49,,49,49,49,49,49,49,49,49,49,49,49
num_states_with_projections-STH-3PU,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,2,2,2
num_states_beat_baseline-Covid19Sim-Simulator,27,28,27,26,23,25,30,28,29,30,29,,7,11,20,24,21,15,16,32,33,30,40
num_states_beat_baseline-IHME-CurveFit,,,30,25,26,20,27,,19,19,24,30,,31,29,34,,39,44,,,45,44
num_states_beat_baseline-IowaStateLW-STEM,,,,,,,24,24,9,12,11,,11,17,19,13,29,25,10,6,11,10,8
num_states_beat_baseline-STH-3PU,,,,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,,1,0,1,1
perc_beat_baseline-Covid19Sim-Simulator,0.5294117647,0.5490196078,0.5294117647,0.5098039216,0.4509803922,0.4901960784,0.5882352941,0.5490196078,0.568627451,0.5882352941,0.568627451,,0.4117647059,0.2156862745,0.3921568627,0.4705882353,0.4117647059,0.2941176471,0.3137254902,0.6274509804,0.6470588235,0.5882352941,0.7843137255
perc_beat_baseline-IHME-CurveFit,,,0.5882352941,0.4901960784,0.5098039216,0.3921568627,0.5294117647,,0.3725490196,0.3725490196,0.4705882353,0.5882352941,,0.6078431373,0.568627451,0.6666666667,,0.7647058824,0.862745098,,,0.8823529412,0.862745098
perc_beat_baseline-IowaStateLW-STEM,,,,,,,0.4897959184,0.4897959184,0.1836734694,0.2448979592,0.2244897959,,0.2244897959,0.3469387755,0.387755102,0.2653061224,0.5918367347,0.5102040816,0.2040816327,0.1224489796,0.2244897959,0.2040816327,0.1632653061
perc_beat_baseline-STH-3PU,,,,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,,1,0,0.5,0.5
mean_abs_error-Baseline,2261.505882,1919.719608,1868.437255,1539.821569,1298.772549,1919.347059,1258.296078,996.7764706,988.0019608,1165.464706,1760.562745,1866.64902,1986.447059,1919.943137,1918.662745,2151.713725,2696.464706,2933.823529,3225.531373,3577.092157,3697.711765,3924.317647,3808.337255
mean_abs_error-Covid19Sim-Simulator,1269.780392,1315.670588,1304.792157,1101.909804,1069.809804,2341.037255,2088.684314,1627.154902,1215.043137,1119.056863,1173.44902,,,2636.566667,2480.156863,2701.433333,3279.488235,3708.629412,3804.382353,3703.911765,3468.737255,4014.111765,2760.672549
mean_abs_error-IHME-CurveFit,,,1670.75098,1456.280392,1088.911765,1062.164706,893.4764706,,1242.833333,1219.682353,1190.786275,1571.062745,,1893.35098,1700.229412,1633.988235,,1584.594118,1541.752941,,,1756.064706,1826.901961
mean_abs_error-IowaStateLW-STEM,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-STH-3PU,,,,,,,,,,,,,,,,,,,,,,,
