,2020-05-25_2020-10-10,2020-06-01_2020-10-17,2020-06-08_2020-10-24,2020-06-15_2020-10-31,2020-06-22_2020-11-07,2020-06-29_2020-11-14,2020-07-06_2020-11-21,2020-07-13_2020-11-28,2020-07-20_2020-12-05,2020-07-27_2020-12-12,2020-08-03_2020-12-19,2020-08-10_2020-12-26,2020-08-17_2021-01-02,2020-08-24_2021-01-09,2020-08-31_2021-01-16,2020-09-07_2021-01-23,2020-09-14_2021-01-30,2020-09-21_2021-02-06,2020-09-28_2021-02-13,2020-10-05_2021-02-20,2020-10-12_2021-02-27,2020-10-19_2021-03-06
num_states,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-Baseline,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-Covid19Sim-Simulator,51,51,51,51,51,51,51,51,51,51,51,,17,51,51,51,51,51,51,51,51,51
num_states_with_projections-IHME-CurveFit,,,51,51,51,51,51,,51,49,51,51,,51,51,51,,51,51,,,51
num_states_with_projections-IowaStateLW-STEM,,,,,,,49,49,49,49,49,,49,49,49,49,49,49,49,49,49,49
num_states_with_projections-STH-3PU,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,2,2
num_states_beat_baseline-Covid19Sim-Simulator,28,27,27,25,23,23,30,24,30,32,31,,6,11,18,24,22,15,17,32,33,30
num_states_beat_baseline-IHME-CurveFit,,,31,24,24,21,25,,20,19,25,32,,30,31,35,,41,44,,,46
num_states_beat_baseline-IowaStateLW-STEM,,,,,,,24,24,9,11,11,,11,12,18,13,28,25,10,6,11,10
num_states_beat_baseline-STH-3PU,,,,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,,1,0,1
perc_beat_baseline-Covid19Sim-Simulator,0.5490196078,0.5294117647,0.5294117647,0.4901960784,0.4509803922,0.4509803922,0.5882352941,0.4705882353,0.5882352941,0.6274509804,0.6078431373,,0.3529411765,0.2156862745,0.3529411765,0.4705882353,0.431372549,0.2941176471,0.3333333333,0.6274509804,0.6470588235,0.5882352941
perc_beat_baseline-IHME-CurveFit,,,0.6078431373,0.4705882353,0.4705882353,0.4117647059,0.4901960784,,0.3921568627,0.387755102,0.4901960784,0.6274509804,,0.5882352941,0.6078431373,0.6862745098,,0.8039215686,0.862745098,,,0.9019607843
perc_beat_baseline-IowaStateLW-STEM,,,,,,,0.4897959184,0.4897959184,0.1836734694,0.2244897959,0.2244897959,,0.2244897959,0.2448979592,0.3673469388,0.2653061224,0.5714285714,0.5102040816,0.2040816327,0.1224489796,0.2244897959,0.2040816327
perc_beat_baseline-STH-3PU,,,,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,,1,0,0.5
mean_abs_error-Baseline,2376.192157,2003.903922,1951.260784,1597.605882,1358.984314,2033.190196,1382.727451,1095.929412,1171.82549,1366.162745,1973.503922,2051.398039,2158.290196,2064.292157,2175.976471,2419.066667,3014.307843,3241.588235,3456.064706,3737.798039,3873.3,4071.043137
mean_abs_error-Covid19Sim-Simulator,1327.145098,1372.888235,1372.119608,1166.858824,1159.5,2674.180392,2374.613725,1818.84902,1355.362745,1293.296078,1385.243137,,,3037.915686,2905.509804,3072.9,3667.739216,4087.511765,4102.3,4095.217647,3629.6,4178.688235
mean_abs_error-IHME-CurveFit,,,1815.890196,1720.890196,1210.25098,1187.688235,1011.672549,,1440.709804,,1329.890196,1686.990196,,2014.533333,1755.915686,1630.85098,,1660.290196,1663.256863,,,1793.570588
mean_abs_error-IowaStateLW-STEM,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-STH-3PU,,,,,,,,,,,,,,,,,,,,,,
