,2020-04-20_2020-06-27,2020-04-27_2020-07-04,2020-05-04_2020-07-11,2020-05-11_2020-07-18,2020-05-18_2020-07-25,2020-05-25_2020-08-01,2020-06-01_2020-08-08,2020-06-08_2020-08-15,2020-06-15_2020-08-22,2020-06-22_2020-08-29,2020-06-29_2020-09-05,2020-07-06_2020-09-12,2020-07-13_2020-09-19,2020-07-20_2020-09-26,2020-07-27_2020-10-03,2020-08-03_2020-10-10,2020-08-10_2020-10-17,2020-08-17_2020-10-24,2020-08-24_2020-10-31,2020-08-31_2020-11-07,2020-09-07_2020-11-14,2020-09-14_2020-11-21,2020-09-21_2020-11-28,2020-09-28_2020-12-05,2020-10-05_2020-12-12,2020-10-12_2020-12-19,2020-10-19_2020-12-26,2020-10-26_2021-01-02,2020-11-02_2021-01-09,2020-11-09_2021-01-16,2020-11-16_2021-01-23,2020-11-23_2021-01-30,2020-11-30_2021-02-06,2020-12-07_2021-02-13,2020-12-14_2021-02-20,2020-12-21_2021-02-27,2020-12-28_2021-03-06
perc_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-STH-3PU,,,,,,,,,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,,1,0,0,0,0,,,,,,,,
perc_beat_baseline-UCLA-SuEIR,,,0.5490196078,0.6470588235,0.5882352941,0.6078431373,0.5882352941,0.4509803922,0.3921568627,0.4705882353,0.3137254902,0.3921568627,0.4509803922,0.3725490196,0.431372549,0.5294117647,0.3529411765,0.3529411765,0.3725490196,0.431372549,0.3529411765,0.2156862745,0.4117647059,0.2549019608,0.1568627451,0.2549019608,0.2156862745,0.1568627451,0.1176470588,0.1568627451,0.1568627451,0.568627451,0.3921568627,0.3921568627,0.4705882353,0.5294117647,0.3529411765
perc_beat_baseline-USACE-ERDC_SEIR,,,,,0.5098039216,0.5294117647,0.5882352941,0.568627451,0.568627451,0.6470588235,0.5882352941,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-USC-SI_kJalpha,,,,,,,,,,,0.6274509804,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-YYG-ParamSearch,,,0.7254901961,0.568627451,0.5098039216,0.5490196078,0.5294117647,0.5882352941,0.568627451,0.7450980392,0.6862745098,0.7058823529,0.7254901961,0.4705882353,0.5490196078,0.5098039216,0.568627451,0.5490196078,0.4705882353,,,,,,,,,,,,,,,,,,
mean_abs_error-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,906.045098,1018.270588,1081.282353,1112.331373,,,,,,,,,
mean_abs_error-Baseline,1393.956863,1373.501961,1301.445098,1267.978431,1104.713725,968.6196078,889.954902,927.9666667,824.7470588,765.7607843,1090.386275,731.3745098,553.254902,422.7666667,269.1392157,532.9235294,491.3196078,541.8431373,500.554902,476.0705882,477.6352941,503.554902,605.1411765,729.7627451,912.045098,1166.284314,1379.807843,1482.65098,1763.398039,1948.813725,1990.164706,1758.57451,2023.076471,1626.227451,1653.698039,1387.284314,1263.860784
mean_abs_error-Covid19Sim-Simulator,,,,,,556.1764706,656.1529412,699.5882353,545.9823529,542.2980392,564.8843137,511.5039216,385.0235294,370.7411765,366.7843137,291.0352941,,,596.8352941,328.6509804,411.127451,522.1607843,670.3862745,771.7,789.5098039,1024.427451,1356.619608,1125.001961,1106.986275,1205.709804,,1644.494118,1449.988235,1212.115686,900.1627451,816.9058824,1183.394118
mean_abs_error-IHME-CurveFit,1160.905882,,490.2588235,358.6509804,414.5588235,,679.7843137,573.5647059,515.8941176,428.7764706,557.6098039,544.4568627,,418.9607843,371.5666667,395.2156863,472.0666667,,748.972549,842.8137255,864.4784314,,779.1372549,944.9686275,,,839.4137255,942.027451,,,,1000.709804,,1024.872549,1182.394118,1032.431373,1073.723529
mean_abs_error-IowaStateLW-STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,,,,,,,1198.941176,,,,,,,,,,,
mean_abs_error-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-STH-3PU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-UCLA-SuEIR,,,520.4568627,509.4980392,407.8019608,494.3470588,535.7764706,654.6960784,681.2568627,728.0960784,784.7803922,722.7372549,498.2215686,457.8745098,343.7647059,302.7058824,397.0647059,350.5647059,361.9921569,366.9,420.4078431,552.4156863,651.1235294,825.5137255,1114.592157,1390.521569,1646.337255,1861.321569,2084.152941,2259.684314,2511.688235,1629.005882,2038.164706,1584.992157,1550.05098,1421.44902,1616.237255
mean_abs_error-USACE-ERDC_SEIR,,,,,603.6705882,626.9019608,720.872549,721.1078431,549.2588235,517.2372549,606.5431373,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-USC-SI_kJalpha,,,,,,,,,,,842.527451,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-YYG-ParamSearch,,,393.4509804,699.5921569,828.7137255,696.9215686,608.4098039,634.1078431,585.872549,530.2431373,519.1705882,453.5254902,302.1294118,326.0509804,278.6117647,214.6333333,208.9098039,204.4254902,287.7745098,,,,,,,,,,,,,,,,,,
