,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,231,130.0,,136.8,,133.0,140.0,,,,,134.2,,,135.0,,174.9,,55.4,139.0,,83.2,154.0,,153.0,52.0,,,,118.8,,,,125.0,,-101.0,,-94.2,,-98.0,-91.0,,,,,-96.8,,,-96.0,,-56.1,,-175.6,-92.0,,-147.8,-77.0,,-78.0,-179.0,,,,-112.2,,,,-106.0,,,True,,True,True,,,,,True,,,True,,True,,False,True,,False,True,,True,False,,,,False,,,,False,
01003,584,574.0,,571.6,,488.0,715.0,,,,,493.7,,,774.0,,308.8,,254.1,439.0,,510.9,420.4,,723.0,1243.0,,,,478.7,352.0,,,0.0,660.9,-10.0,,-12.4,,-96.0,131.0,,,,,-90.3,,,190.0,,-275.2,,-329.9,-145.0,,-73.1,-163.6,,139.0,659.0,,,,-105.3,-232.0,,,-584.0,76.9,,False,,False,False,,,,,False,,,False,,False,,False,False,,False,False,,False,False,,,,False,False,,,False,False
01005,65,108.0,,101.8,,94.0,110.0,,,,,118.8,,,67.0,,97.9,,31.0,,,52.6,92.8,,149.0,163.0,,,,,,,,84.0,97.9,43.0,,36.8,,29.0,45.0,,,,,53.8,,,2.0,,32.9,,-34.0,,,-12.4,27.8,,84.0,98.0,,,,,,,,19.0,32.9,,True,,True,False,,,,,False,,,True,,True,,True,,,True,True,,False,False,,,,,,,,True,True
01007,95,106.0,,102.6,,101.0,106.0,,,,,68.2,,,67.0,,133.7,,24.5,,,82.6,114.3,,150.0,0.0,,,,,,,,138.0,83.1,11.0,,7.6,,6.0,11.0,,,,,-26.8,,,-28.0,,38.7,,-70.5,,,-12.4,19.3,,55.0,-95.0,,,,,,,,43.0,-11.9,,True,,True,False,,,,,False,,,False,,False,,False,,,False,False,,False,False,,,,,,,,False,False
01009,355,236.0,,235.3,,222.0,410.0,,,,,183.4,,,191.0,,270.6,,42.6,205.5,,161.4,229.6,,298.0,53.0,,,,176.7,,,,197.0,,-119.0,,-119.7,,-133.0,55.0,,,,,-171.6,,,-164.0,,-84.4,,-312.4,-149.5,,-193.6,-125.4,,-57.0,-302.0,,,,-178.3,,,,-158.0,,,False,,False,True,,,,,False,,,False,,True,,False,False,,False,False,,True,False,,,,False,,,,False,
01011,16,28.0,,26.9,,23.0,0.0,,,,,44.5,,,28.0,,20.5,,11.8,,,10.2,25.4,,27.0,,,,,,,,,0.0,26.6,12.0,,10.9,,7.0,-16.0,,,,,28.5,,,12.0,,4.5,,-4.2,,,-5.8,9.4,,11.0,,,,,,,,,-16.0,10.6,,True,,True,False,,,,,False,,,False,,True,,True,,,True,True,,True,,,,,,,,,False,True
01013,42,34.0,,38.8,,36.0,0.0,,,,,38.4,,,56.0,,57.4,,16.1,,,12.5,43.4,,60.0,0.0,,,,,,,,14.0,,-8.0,,-3.2,,-6.0,-42.0,,,,,-3.6,,,14.0,,15.4,,-25.9,,,-29.5,1.4,,18.0,-42.0,,,,,,,,-28.0,,,True,,True,False,,,,,True,,,False,,False,,False,,,False,True,,False,False,,,,,,,,False,
01015,592,1002.0,,985.8,,574.0,494.0,,,,,1799.0,,,405.0,,453.4,,193.1,541.0,,989.1,574.3,,1252.0,101.0,,,,803.4,,,,0.0,,410.0,,393.8,,-18.0,-98.0,,,,,1207.0,,,-187.0,,-138.6,,-398.9,-51.0,,397.1,-17.7,,660.0,-491.0,,,,211.4,,,,-592.0,,,True,,True,True,,,,,False,,,True,,True,,True,True,,True,True,,False,False,,,,True,,,,False,
01017,138,168.0,,165.4,,131.0,279.0,,,,,86.4,,,92.0,,170.2,,32.1,101.0,,74.0,109.0,,184.0,2.0,,,,122.7,,,,234.0,,30.0,,27.4,,-7.0,141.0,,,,,-51.6,,,-46.0,,32.2,,-105.9,-37.0,,-64.0,-29.0,,46.0,-136.0,,,,-15.3,,,,96.0,,,True,,True,False,,,,,False,,,False,,False,,False,False,,False,True,,False,False,,,,True,,,,False,
01019,109,40.0,,36.8,,43.0,47.0,,,,,38.7,,,96.0,,91.7,,33.0,,,18.3,61.1,,62.0,24.0,,,,,,,,50.0,,-69.0,,-72.2,,-66.0,-62.0,,,,,-70.3,,,-13.0,,-17.3,,-76.0,,,-90.7,-47.9,,-47.0,-85.0,,,,,,,,-59.0,,,False,,True,True,,,,,False,,,True,,True,,False,,,False,True,,True,False,,,,,,,,True,
