,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,38820,24584.0,23560.9,19910.0,27013.0,,27030.2,11700.0,28609.2,17400.0,,18679.0,26556.7,20397.3,10895.0,15245.9,17898.4,24321.0,,18407.0,2895.8,13929.2,26959.3,26236.7,25193.0,-14236.0,-15259.1,-18910.0,-11807.0,,-11789.8,-27120.0,-10210.8,-21420.0,,-20141.0,-12263.3,-18422.7,-27925.0,-23574.1,-20921.6,-14499.0,,-20413.0,-35924.2,-24890.8,-11860.7,-12583.3,-13627.0,False,False,True,,True,False,True,False,,False,True,False,False,False,False,False,,False,False,False,True,True,True
Alaska,8859,4856.0,4770.0,4686.0,5703.0,,4083.1,2951.0,5263.6,4814.1,,,5430.8,4608.1,2243.9,8740.0,4649.0,6089.2,,3564.6,1840.9,2798.7,6774.3,9568.3,3218.0,-4003.0,-4089.0,-4173.0,-3156.0,,-4775.9,-5908.0,-3595.4,-4044.9,,,-3428.2,-4250.9,-6615.1,-119.0,-4210.0,-2769.8,,-5294.4,-7018.1,-6060.3,-2084.7,709.3,-5641.0,False,False,True,,False,False,True,False,,,True,False,False,True,False,True,,False,False,False,True,True,False
Arizona,32406,18316.0,17528.6,15221.0,24662.0,,15947.5,1407.0,26853.0,5993.2,,9765.0,20530.9,14094.6,7500.1,20656.6,12947.6,23257.6,,10989.1,0.0,13209.7,32601.1,20147.5,21375.0,-14090.0,-14877.4,-17185.0,-7744.0,,-16458.5,-30999.0,-5553.0,-26412.8,,-22641.0,-11875.1,-18311.4,-24905.9,-11749.4,-19458.4,-9148.4,,-21416.9,-32406.0,-19196.3,195.1,-12258.5,-11031.0,False,False,True,,False,False,True,False,,False,True,False,False,True,False,True,,False,False,False,True,True,True
Arkansas,28608,22780.0,22715.6,22776.0,24139.0,,23137.7,18634.0,28599.8,23840.4,,26181.0,26880.9,21653.4,10973.0,29371.4,16673.7,23666.8,,18027.2,6601.5,15924.7,22497.2,20042.1,20198.0,-5828.0,-5892.4,-5832.0,-4469.0,,-5470.3,-9974.0,-8.2,-4767.6,,-2427.0,-1727.1,-6954.6,-17635.0,763.4,-11934.3,-4941.2,,-10580.8,-22006.5,-12683.3,-6110.8,-8565.9,-8410.0,False,False,True,,True,False,True,True,,True,True,False,False,True,False,True,,False,False,False,False,False,False
California,116952,91556.0,91175.2,80859.0,111295.0,,92788.5,46776.0,85264.6,41665.5,,58318.0,98540.6,77900.9,67572.7,98224.7,59299.1,93507.8,,79234.2,3033.7,66133.0,111004.1,85549.4,90577.0,-25396.0,-25776.8,-36093.0,-5657.0,,-24163.5,-70176.0,-31687.4,-75286.5,,-58634.0,-18411.4,-39051.1,-49379.3,-18727.3,-57652.9,-23444.2,,-37717.8,-113918.3,-50819.0,-5947.9,-31402.6,-26375.0,False,False,True,,True,False,False,False,,False,True,False,False,True,False,True,,False,False,False,True,False,False
Colorado,50325,20340.0,20573.7,20419.0,27729.0,,18560.6,30067.0,32914.3,15343.4,,13700.0,27213.6,15224.9,21495.0,22847.6,17822.5,25278.6,,21278.9,12855.1,13111.9,13034.9,38117.6,23574.0,-29985.0,-29751.3,-29906.0,-22596.0,,-31764.4,-20258.0,-17410.7,-34981.6,,-36625.0,-23111.4,-35100.1,-28830.0,-27477.4,-32502.5,-25046.4,,-29046.1,-37469.9,-37213.1,-37290.1,-12207.4,-26751.0,True,True,True,,False,True,True,False,,False,True,False,True,True,False,True,,True,False,False,False,True,True
Connecticut,18087,6964.0,7176.3,6078.0,8071.0,,6373.4,2519.0,13931.3,5269.5,,6335.0,6037.7,5867.3,10485.0,6441.7,2618.3,7514.6,,926.5,10591.4,5101.7,4784.6,5656.9,8617.0,-11123.0,-10910.7,-12009.0,-10016.0,,-11713.6,-15568.0,-4155.7,-12817.5,,-11752.0,-12049.3,-12219.7,-7602.0,-11645.3,-15468.7,-10572.4,,-17160.5,-7495.6,-12985.3,-13302.4,-12430.1,-9470.0,True,False,True,,False,False,True,False,,False,False,False,True,False,False,True,,False,True,False,False,False,True
Delaware,4260,3492.0,3759.2,2982.0,2903.0,,2975.6,1605.0,5823.3,3022.2,,2532.0,4297.3,2678.7,2655.4,4677.4,2599.2,4008.4,,3186.2,516.2,2121.0,3060.7,3280.4,3361.0,-768.0,-500.8,-1278.0,-1357.0,,-1284.4,-2655.0,1563.3,-1237.8,,-1728.0,37.3,-1581.3,-1604.6,417.4,-1660.8,-251.6,,-1073.8,-3743.8,-2139.0,-1199.3,-979.6,-899.0,True,False,False,,False,False,False,False,,False,True,False,False,True,False,True,,False,False,False,False,False,False
District of Columbia,1973,1780.0,1793.1,1423.0,3656.0,,1242.5,106.0,1604.8,1699.8,,757.0,1667.2,1318.8,1538.7,870.7,1235.5,1883.0,,1145.7,726.3,1536.7,,3371.1,2647.0,-193.0,-179.9,-550.0,1683.0,,-730.5,-1867.0,-368.2,-273.2,,-1216.0,-305.8,-654.2,-434.3,-1102.3,-737.5,-90.0,,-827.3,-1246.7,-436.3,,1398.1,674.0,True,False,False,,False,False,False,False,,False,False,False,False,False,False,True,,False,False,False,,False,False
Florida,108156,57320.0,58136.5,54515.0,50195.0,,62692.1,14813.0,92172.9,26141.9,,41883.0,74153.2,55703.3,65054.9,51421.7,70439.5,82616.6,,4784.4,0.0,39579.6,71250.2,59075.1,43960.0,-50836.0,-50019.5,-53641.0,-57961.0,,-45463.9,-93343.0,-15983.1,-82014.1,,-66273.0,-34002.8,-52452.7,-43101.1,-56734.3,-37716.5,-25539.4,,-103371.6,-108156.0,-68576.4,-36905.8,-49080.9,-64196.0,True,False,False,,True,False,True,False,,False,True,False,True,False,True,True,,False,False,False,True,True,False
