,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,19687,23228.0,13618.3,22171.1,18040.0,18118.0,,18858.4,8749.0,19889.1,22235.0,,24093.0,16840.0,18255.9,15579.4,20367.0,5366.1,18090.5,24846.0,17977.5,25976.6,21564.0,,15049.6,8651.0,16899.2,15117.6,22192.5,29745.9,23549.0,3541.0,-6068.7,2484.1,-1647.0,-1569.0,,-828.6,-10938.0,202.1,2548.0,,4406.0,-2847.0,-1431.1,-4107.6,680.0,-14320.9,-1596.5,5159.0,-1709.5,6289.6,1877.0,,-4637.4,-11036.0,-2787.8,-4569.4,2505.5,10058.9,3862.0,False,True,True,True,,True,False,True,True,,False,True,True,False,True,False,True,False,True,False,True,,False,False,True,False,True,False,False
Alaska,5761,3450.0,595.3,3385.7,3389.0,2738.0,,3063.3,2128.0,4358.7,4123.0,,,,3822.2,4523.9,3559.0,1301.9,4296.5,4264.6,5565.2,5222.2,4473.0,,3093.1,1064.7,2469.1,3417.9,4803.1,8127.8,2362.0,-2311.0,-5165.7,-2375.3,-2372.0,-3023.0,,-2697.7,-3633.0,-1402.3,-1638.0,,,,-1938.8,-1237.1,-2202.0,-4459.1,-1464.5,-1496.4,-195.8,-538.8,-1288.0,,-2667.9,-4696.3,-3291.9,-2343.1,-957.9,2366.8,-3399.0,False,False,False,False,,False,False,True,True,,,,True,True,True,False,True,True,True,True,True,,False,False,False,False,True,False,False
Arizona,20612,12626.0,15480.8,12661.2,12644.0,14552.0,,12561.3,1001.0,19525.2,12481.4,,12267.0,11864.0,13076.8,10629.5,13861.0,4989.2,12114.0,13739.5,12781.3,18599.5,14596.0,,12235.5,9972.5,10022.6,12812.3,17164.4,17529.3,12952.0,-7986.0,-5131.2,-7950.8,-7968.0,-6060.0,,-8050.7,-19611.0,-1086.8,-8130.6,,-8345.0,-8748.0,-7535.2,-9982.5,-6751.0,-15622.8,-8498.0,-6872.5,-7830.7,-2012.5,-6016.0,,-8376.5,-10639.5,-10589.4,-7799.7,-3447.6,-3082.7,-7660.0,True,True,True,True,,False,False,True,False,,False,False,True,False,True,False,False,True,True,True,True,,False,False,False,True,True,True,True
Arkansas,15510,13792.0,10730.1,13792.3,13642.0,12861.0,,13123.3,9850.0,16868.7,13289.6,,15088.0,14688.0,15293.4,14565.4,14716.0,5302.0,13600.5,14479.6,11660.0,15457.0,17020.0,,10688.2,2211.1,9533.9,16098.7,13224.8,13912.9,13243.0,-1718.0,-4779.9,-1717.7,-1868.0,-2649.0,,-2386.7,-5660.0,1358.7,-2220.4,,-422.0,-822.0,-216.6,-944.6,-794.0,-10208.0,-1909.5,-1030.4,-3850.0,-53.0,1510.0,,-4821.8,-13298.9,-5976.1,588.7,-2285.2,-1597.1,-2267.0,False,True,False,False,,False,False,True,False,,True,True,True,True,True,False,False,True,False,True,True,,False,False,False,True,False,True,False
California,66794,60140.0,66186.7,58866.9,50648.0,87577.0,,52747.1,15937.0,58609.7,54963.2,,60125.0,47312.0,51637.0,40234.0,54124.0,35992.1,50584.0,49171.2,42255.3,72036.0,58835.0,,35632.9,4009.4,49480.2,41329.8,63327.7,74954.6,62942.0,-6654.0,-607.3,-7927.1,-16146.0,20783.0,,-14046.9,-50857.0,-8184.3,-11830.8,,-6669.0,-19482.0,-15157.0,-26560.0,-12670.0,-30801.9,-16210.0,-17622.8,-24538.7,5242.0,-7959.0,,-31161.1,-62784.6,-17313.8,-25464.2,-3466.3,8160.6,-3852.0,True,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,True,False,True
Colorado,34567,18062.0,8125.7,17986.0,18260.0,24481.0,,17032.0,27184.0,26211.6,21842.6,,18783.0,16549.0,17902.5,18132.5,16659.0,12837.8,17762.0,21781.8,20755.4,25587.7,23122.0,,19715.8,7229.0,13378.1,16238.6,26260.3,29779.3,21373.0,-16505.0,-26441.3,-16581.0,-16307.0,-10086.0,,-17535.0,-7383.0,-8355.4,-12724.4,,-15784.0,-18018.0,-16664.5,-16434.5,-17908.0,-21729.2,-16805.0,-12785.2,-13811.6,-8979.3,-11445.0,,-14851.2,-27338.0,-21188.9,-18328.4,-8306.7,-4787.7,-13194.0,False,False,True,True,,False,True,True,True,,True,False,False,True,False,False,False,True,True,True,True,,True,False,False,False,True,True,True
Connecticut,12073,6444.0,12492.5,6588.4,6425.0,8013.0,,6220.8,7416.0,15400.4,4576.8,,4081.0,5540.0,6249.4,5017.4,7813.0,8606.0,5951.0,10694.1,2910.0,6838.4,7619.0,,5832.1,5666.5,5143.8,6365.8,4749.7,4498.7,6085.0,-5629.0,419.5,-5484.6,-5648.0,-4060.0,,-5852.2,-4657.0,3327.4,-7496.2,,-7992.0,-6533.0,-5823.6,-7055.6,-4260.0,-3467.0,-6122.0,-1378.9,-9163.0,-5234.6,-4454.0,,-6240.9,-6406.5,-6929.2,-5707.2,-7323.3,-7574.3,-5988.0,True,True,False,True,,False,True,True,False,,False,False,False,False,True,True,False,True,False,True,True,,False,False,False,False,False,False,False
Delaware,2411,1810.0,2026.2,1777.1,1816.0,1841.0,,1821.9,2037.0,3042.3,2047.6,,1741.0,1643.0,1896.7,1426.3,1990.0,1451.3,1955.5,2260.2,1424.3,1719.9,2146.0,,1797.9,1588.7,1592.4,2473.6,1623.7,1684.6,2013.0,-601.0,-384.8,-633.9,-595.0,-570.0,,-589.1,-374.0,631.3,-363.4,,-670.0,-768.0,-514.3,-984.7,-421.0,-959.7,-455.5,-150.8,-986.7,-691.1,-265.0,,-613.1,-822.3,-818.6,62.6,-787.3,-726.4,-398.0,True,False,True,True,,True,True,False,True,,False,False,True,False,True,False,True,True,False,False,True,,False,False,False,True,False,False,True
District of Columbia,1185,744.0,162.7,785.0,723.0,586.0,,725.0,159.0,981.2,993.1,,793.0,754.0,836.8,563.8,764.0,604.4,782.0,1071.7,714.6,927.2,834.0,,607.8,330.6,551.8,1016.7,,809.0,778.0,-441.0,-1022.3,-400.0,-462.0,-599.0,,-460.0,-1026.0,-203.8,-191.9,,-392.0,-431.0,-348.2,-621.2,-421.0,-580.6,-403.0,-113.3,-470.4,-257.8,-351.0,,-577.2,-854.4,-633.2,-168.3,,-376.0,-407.0,False,True,False,False,,False,False,True,True,,True,True,True,False,True,False,True,True,False,True,True,,False,False,False,True,,True,True
Florida,60826,47540.0,36360.2,48026.4,45970.0,49903.0,,43094.5,12096.0,52487.8,45504.5,,50232.0,54757.0,46823.1,35592.3,47601.0,31400.9,40373.0,61054.8,35430.1,53471.3,53689.0,,43552.8,19930.2,33429.6,55656.0,63508.5,48473.2,50765.0,-13286.0,-24465.8,-12799.6,-14856.0,-10923.0,,-17731.5,-48730.0,-8338.2,-15321.5,,-10594.0,-6069.0,-14002.9,-25233.7,-13225.0,-29425.1,-20453.0,228.8,-25395.9,-7354.7,-7137.0,,-17273.2,-40895.8,-27396.4,-5170.0,2682.5,-12352.8,-10061.0,False,True,False,True,,False,False,True,False,,True,True,False,False,True,False,False,True,False,True,True,,False,False,False,True,True,True,True
