,mean_rank
UVA-Ensemble,5.9
OliverWyman-Navigator,6.1
Google_Harvard-CPF,6.5
LNQ-ens1,6.5
COVIDhub-ensemble,6.8
IowaStateLW-STEM,7.0
COVIDhub-baseline,7.1
CEID-Walk,7.1
LANL-GrowthRate,7.4
JHUAPL-Bucky,7.7
USC-SI_kJalpha,7.8
CU-select,8.5
PandemicCentral-USCounty,9.2
JHU_IDD-CovidSP,11.4
