,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha
Alabama,31381,21408.0,30486.2,20687.8,20688.0,24860.0,,19452.4,7872.0,22390.1,,14990.0,22887.8,17660.8,24455.2,7924.7,33730.9,16361.1,22203.2,23849.7,27234.0,,22436.3,1169.0,16294.7,22206.5,20827.0,-9973.0,-894.8,-10693.2,-10693.0,-6521.0,,-11928.6,-23509.0,-8990.9,,-16391.0,-8493.2,-13720.2,-6925.8,-23456.3,2349.9,-15019.9,-9177.8,-7531.3,-4147.0,,-8944.7,-30212.0,-15086.3,-9174.5,-10554.0,True,False,False,True,,False,False,True,,False,True,False,True,False,True,False,True,True,True,,True,False,False,True,False
Alaska,7482,3987.0,22305.4,4034.2,4020.0,2974.0,,4055.2,2664.0,3687.9,,,4557.1,5920.2,4717.2,1805.2,7089.4,3454.3,4157.9,5176.2,6298.0,,4101.0,1675.6,2188.4,4514.9,2790.0,-3495.0,14823.4,-3447.8,-3462.0,-4508.0,,-3426.8,-4818.0,-3794.1,,,-2924.9,-1561.8,-2764.8,-5676.8,-392.6,-4027.7,-3324.1,-2305.8,-1184.0,,-3381.0,-5806.4,-5293.6,-2967.1,-4692.0,False,True,True,False,,True,False,False,,,True,True,True,False,True,False,True,True,True,,True,False,False,True,False
Arizona,26925,16443.0,43507.2,16684.0,15156.0,16110.0,,14938.9,1035.0,17775.3,,10720.0,14200.1,11999.5,15749.0,6265.4,17901.8,12876.5,20549.9,19999.2,24742.0,,17907.7,1800.0,11939.5,25189.1,18052.0,-10482.0,16582.2,-10241.0,-11769.0,-10815.0,,-11986.1,-25890.0,-9149.7,,-16205.0,-12724.9,-14925.5,-11176.0,-20659.6,-9023.2,-14048.5,-6375.1,-6925.8,-2183.0,,-9017.3,-25125.0,-14985.5,-1735.9,-8873.0,False,True,False,False,,False,False,True,,False,False,False,False,False,True,False,True,True,True,,True,False,False,True,True
Arkansas,22406,18606.0,18720.7,18625.2,18652.0,18836.0,,17439.1,13751.0,20082.8,,21260.0,21151.0,19541.8,20402.0,8351.2,21735.1,13834.5,18792.1,18399.1,23238.0,,19643.6,4150.9,11046.4,18315.0,17666.0,-3800.0,-3685.3,-3780.8,-3754.0,-3570.0,,-4966.9,-8655.0,-2323.2,,-1146.0,-1255.0,-2864.2,-2004.0,-14054.8,-670.9,-8571.5,-3613.9,-4006.9,832.0,,-2762.4,-18255.1,-11359.6,-4091.0,-4740.0,True,True,True,True,,False,False,True,,True,True,True,True,False,True,False,True,False,True,,True,False,False,False,False
California,97021,63612.0,82022.3,64110.2,59861.0,59861.0,,62327.6,44889.0,66944.5,,49969.0,73737.6,61622.4,68761.7,53610.8,70529.2,38704.5,54672.0,65369.2,67553.0,,48929.1,0.0,45541.3,75677.6,61509.0,-33409.0,-14998.7,-32910.8,-37160.0,-37160.0,,-34693.4,-52132.0,-30076.5,,-47052.0,-23283.4,-35398.6,-28259.3,-43410.2,-26491.8,-58316.5,-42349.0,-31651.8,-29468.0,,-48091.9,-97021.0,-51479.7,-21343.4,-35512.0,True,True,False,False,,False,False,True,,False,True,False,True,False,True,False,False,True,True,,False,False,False,True,False
Colorado,43598,20184.0,26099.7,19991.1,20126.0,26226.0,,18374.1,24783.0,24808.4,,14859.0,17940.1,14839.2,21379.8,21589.9,24290.8,17238.3,24562.5,18389.3,31925.0,,25958.6,9547.4,13634.8,21103.4,23809.0,-23414.0,-17498.3,-23606.9,-23472.0,-17372.0,,-25223.9,-18815.0,-18789.6,,-28739.0,-25657.9,-28758.8,-22218.2,-22008.1,-19307.2,-26359.7,-19035.5,-25208.7,-11673.0,,-17639.4,-34050.6,-29963.2,-22494.6,-19789.0,True,False,False,True,,False,True,True,,False,False,False,True,True,True,False,True,False,True,,True,False,False,True,True
Connecticut,15295,8376.0,5531.3,8320.3,6224.0,11264.0,,6223.9,1717.0,33574.2,,5410.0,5692.9,5662.3,10424.0,10397.4,15260.3,2999.2,7620.3,8781.9,9857.0,,6095.2,8360.1,6125.7,4879.5,7945.0,-6919.0,-9763.7,-6974.7,-9071.0,-4031.0,,-9071.1,-13578.0,18279.2,,-9885.0,-9602.1,-9632.7,-4871.0,-4897.6,-34.7,-12295.8,-7674.7,-6513.1,-5438.0,,-9199.8,-6934.9,-9169.3,-10415.5,-7350.0,False,False,False,True,,False,False,False,,False,False,False,True,True,True,False,False,True,True,,False,False,False,False,False
Delaware,3316,2832.0,1978.5,2807.2,2520.0,3254.0,,2343.2,3269.0,4738.4,,1988.0,3083.2,2207.9,2853.4,2102.0,3448.8,2212.2,3123.9,3860.3,3132.0,,2502.5,344.3,2094.7,2424.3,2854.0,-484.0,-1337.5,-508.8,-796.0,-62.0,,-972.8,-47.0,1422.4,,-1328.0,-232.8,-1108.1,-462.6,-1214.0,132.8,-1103.8,-192.1,544.3,-184.0,,-813.5,-2971.7,-1221.3,-891.7,-462.0,False,False,False,True,,False,True,False,,False,True,False,True,False,True,False,True,False,True,,False,False,False,False,True
District of Columbia,1557,1248.0,1275.9,1298.0,1128.0,916.0,,1140.4,159.0,1487.5,,974.0,1049.3,1036.7,1518.1,1036.6,1836.4,888.8,1288.5,,1876.0,,1580.0,504.6,885.1,,1638.0,-309.0,-281.1,-259.0,-429.0,-641.0,,-416.6,-1398.0,-69.5,,-583.0,-507.7,-520.3,-38.9,-520.4,279.4,-668.2,-268.5,,319.0,,23.0,-1052.4,-671.9,,81.0,True,True,False,False,,False,False,True,,False,False,False,True,False,True,False,True,,False,,True,False,False,,True
Florida,84596,70680.0,77879.8,74496.6,54362.0,108319.0,,52898.9,10301.0,55782.4,,39685.0,56136.7,46100.4,65188.7,47084.4,42892.6,46986.0,71849.4,47991.8,92308.0,,64849.1,13459.0,49019.3,90223.5,58066.0,-13916.0,-6716.2,-10099.4,-30234.0,23723.0,,-31697.1,-74295.0,-28813.6,,-44911.0,-28459.3,-38495.6,-19407.3,-37511.6,-41703.4,-37610.0,-12746.6,-36604.2,7712.0,,-19746.9,-71137.0,-35576.7,5627.5,-26530.0,True,True,False,False,,False,False,False,,False,False,False,False,False,False,False,True,False,True,,False,False,False,True,False
