,predicted_cases,actual_cases,error,perc_error
OliverWyman-Navigator,1574133.0,1855726,-281593.0,-15.2%
DDS-NBDS,1433038.4,1855726,-422687.6,-22.8%
Karlen-pypm,1414681.9,1855726,-441044.1,-23.8%
BPagano-RtDriven,1409007.0,1855726,-446719.0,-24.1%
QJHong-Encounter,1394904.3,1855726,-460821.7,-24.8%
CU-select,1376152.0,1855726,-479574.0,-25.8%
LNQ-ens1,1351979.8,1855726,-503746.2,-27.1%
Columbia_UNC-SurvCon,1303559.5,1855726,-552166.5,-29.8%
UMich-RidgeTfReg,1291576.6,1855726,-564149.4,-30.4%
RobertWalraven-ESG,1277064.3,1855726,-578661.7,-31.2%
IBF-TimeSeries,1183083.0,1855726,-672643.0,-36.2%
JHUAPL-Bucky,1175723.9,1855726,-680002.1,-36.6%
CEID-Walk,1170746.5,1855726,-684979.5,-36.9%
USC-SI_kJalpha,1169977.0,1855726,-685749.0,-37.0%
COVIDhub-ensemble,1169300.0,1855726,-686426.0,-37.0%
COVIDhub-baseline,1165356.0,1855726,-690370.0,-37.2%
JCB-PRM,1163696.7,1855726,-692029.3,-37.3%
MSRA-DeepST,980634.6,1855726,-875091.4,-47.2%
IowaStateLW-STEM,946423.0,1855726,-909303.0,-49.0%
Covid19Sim-Simulator,939249.0,1855726,-916477.0,-49.4%
UCLA-SuEIR,898121.2,1855726,-957604.8,-51.6%
JHU_IDD-CovidSP,872819.6,1855726,-982906.4,-53.0%
LANL-GrowthRate,796079.0,1855726,-1059647.0,-57.1%
CovidAnalytics-DELPHI,534616.0,1855726,-1321110.0,-71.2%
TTU-squider,506467.4,1855726,-1349258.6,-72.7%
JHU_CSSE-DECOM,,1855726,,
