,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,45337,33945.0,36319.0,,33262.6,14795.0,23245.0,27884.9,25426.1,17423.8,18429.0,23770.9,,18821.5,18124.4,28862.0,-11392.0,-9018.0,,-12074.4,-30542.0,-22092.0,-17452.1,-19910.9,-27913.2,-26908.0,-21566.1,,-26515.5,-27212.6,-16475.0,True,,False,False,False,False,False,False,False,False,,False,False,False
Alaska,10036,4250.0,4756.0,,3575.8,2859.0,,6138.1,4803.5,2568.1,6003.8,3637.7,,3777.9,2416.3,3131.0,-5786.0,-5280.0,,-6460.2,-7177.0,,-3897.9,-5232.5,-7467.9,-4032.2,-6398.3,,-6258.1,-7619.7,-6905.0,True,,False,False,,True,True,False,True,False,,False,False,False
Arizona,36985,17865.0,20240.0,,19845.5,2226.0,10532.0,23006.3,13599.8,9501.5,17462.4,10320.5,,6389.1,14810.2,12408.0,-19120.0,-16745.0,,-17139.5,-34759.0,-26453.0,-13978.7,-23385.2,-27483.5,-19522.6,-26664.5,,-30595.9,-22174.8,-24577.0,True,,True,False,False,True,False,False,False,False,,False,False,False
Arkansas,34303,28850.0,26409.0,,30581.1,20204.0,31513.0,43226.5,28659.9,12507.7,40361.1,16719.3,,10748.8,19783.3,24310.0,-5453.0,-7894.0,,-3721.9,-14099.0,-2790.0,8923.5,-5643.1,-21795.3,6058.1,-17583.7,,-23554.2,-14519.7,-9993.0,False,,True,False,True,False,False,False,False,False,,False,False,False
California,139841,110350.0,102000.0,,107495.9,49715.0,65579.0,105597.6,91847.7,106326.7,68576.2,70565.8,,67102.1,71953.7,96110.0,-29491.0,-37841.0,,-32345.1,-90126.0,-74262.0,-34243.4,-47993.3,-33514.3,-71264.8,-69275.2,,-72738.9,-67887.3,-43731.0,False,,False,False,False,False,False,False,False,False,,False,False,False
Colorado,55412,20220.0,20879.0,,22045.4,12925.0,15444.0,38194.1,15356.8,21558.4,17132.9,13634.6,,11317.5,11986.9,17591.0,-35192.0,-34533.0,,-33366.6,-42487.0,-39968.0,-17217.9,-40055.2,-33853.6,-38279.1,-41777.4,,-44094.5,-43425.1,-37821.0,True,,True,False,False,True,False,True,False,False,,False,False,False
Connecticut,19828,8550.0,17636.0,,7703.7,1974.0,5061.0,5674.6,6801.7,13112.2,7096.2,3711.3,,990.0,6523.4,8882.0,-11278.0,-2192.0,,-12124.3,-17854.0,-14767.0,-14153.4,-13026.3,-6715.8,-12731.8,-16116.7,,-18838.0,-13304.6,-10946.0,True,,False,False,False,False,False,True,False,False,,False,False,True
Delaware,5133,4845.0,8194.0,,4135.8,1167.0,2347.0,4232.7,3271.3,4106.0,3375.8,3123.8,,4777.4,3309.0,5002.0,-288.0,3061.0,,-997.2,-3966.0,-2786.0,-900.3,-1861.7,-1027.0,-1757.2,-2009.2,,-355.6,-1824.0,-131.0,False,,False,False,False,False,False,False,False,False,,False,False,True
District of Columbia,2418,1290.0,1061.0,,1399.2,90.0,861.0,1590.8,933.2,2417.0,1049.8,905.6,,597.8,987.8,1032.0,-1128.0,-1357.0,,-1018.8,-2328.0,-1557.0,-827.2,-1484.8,-1.0,-1368.2,-1512.4,,-1820.2,-1430.2,-1386.0,False,,True,False,False,True,False,True,False,False,,False,False,False
Florida,122486,79545.0,76271.0,,79119.4,19656.0,50197.0,92253.1,62706.1,92469.0,30872.0,46678.0,,37454.8,55075.6,58927.0,-42941.0,-46215.0,,-43366.6,-102830.0,-72289.0,-30232.9,-59779.9,-30017.0,-91614.0,-75808.0,,-85031.2,-67410.4,-63559.0,False,,False,False,False,True,False,True,False,False,,False,False,False
