,predicted_cases,actual_cases,error,perc_error
Columbia_UNC-SurvCon,787980.0,806617,-18637.0,-2.3%
DDS-NBDS,686961.3,806617,-119655.7,-14.8%
RobertWalraven-ESG,686502.3,806617,-120114.7,-14.9%
Karlen-pypm,655931.4,806617,-150685.6,-18.7%
LNQ-ens1,650137.2,806617,-156479.8,-19.4%
LANL-GrowthRate,643586.0,806617,-163031.0,-20.2%
Geneva-DetGrowth,630219.1,806617,-176397.9,-21.9%
UMich-RidgeTfReg,601294.8,806617,-205322.2,-25.5%
QJHong-Encounter,594298.7,806617,-212318.3,-26.3%
OliverWyman-Navigator,591788.0,806617,-214829.0,-26.6%
MSRA-DeepST,587212.2,806617,-219404.8,-27.2%
USC-SI_kJalpha_RF,577180.7,806617,-229436.3,-28.4%
USC-SI_kJalpha,577174.0,806617,-229443.0,-28.4%
CU-select,576734.0,806617,-229883.0,-28.5%
IBF-TimeSeries,570354.0,806617,-236263.0,-29.3%
JHUAPL-Bucky,570072.6,806617,-236544.4,-29.3%
UCLA-SuEIR,568680.2,806617,-237936.8,-29.5%
COVIDhub-ensemble,568680.0,806617,-237937.0,-29.5%
IowaStateLW-STEM,566567.0,806617,-240050.0,-29.8%
JCB-PRM,565599.5,806617,-241017.5,-29.9%
Covid19Sim-Simulator,562019.0,806617,-244598.0,-30.3%
CEID-Walk,550602.0,806617,-256015.0,-31.7%
COVIDhub-baseline,548664.0,806617,-257953.0,-32.0%
IQVIA_ACOE-STAN,547221.0,806617,-259396.0,-32.2%
BPagano-RtDriven,510643.4,806617,-295973.6,-36.7%
TTU-squider,403586.1,806617,-403030.9,-50.0%
CovidAnalytics-DELPHI,331130.0,806617,-475487.0,-58.9%
JHU_IDD-CovidSP,286757.8,806617,-519859.2,-64.4%
Google_Harvard-CPF,,806617,,
JHU_CSSE-DECOM,,806617,,
JHU_UNC_GAS-StatMechPool,,806617,,
UCSB-ACTS,,806617,,
